Chidamber-Kemerer metrics,Qui, 26 out 2017 16:08:26 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"AddEventRequest",5,1,1,0,14,9
"CalEvent",6,0,1,0,12,12
"CalendarController",6,0,3,0,43,31
"DatabaseManager",4,0,2,0,18,24
"DeleteEventRequest",3,1,2,0,10,7
"EventManager",5,0,1,0,17,15
"GCalendar",8,0,1,0,17,24
"GCalendarRequest",5,0,2,3,5,3
"NetworkDownException",3,0,0,0,2,2
"RequestManager",9,0,1,0,22,20
"SimpleApp",1,0,1,0,6,22
"SimpleMobileApp",1,0,1,0,10,19
"SimpleNetworkClientSample",1,0,1,0,8,19
"SimpleNetworkServerSample",1,0,1,0,9,14
"UpdateEventRequest",5,1,1,0,12,8
"WwdClientExample",1,0,1,0,5,12
"WwdEmbedded",1,0,1,0,5,12
"WwdUtils",2,0,2,0,3,9
"nserverdemo.NetworkServerUtil",1,0,1,0,9,5
"nserverdemo.NsSample",1,0,2,0,3,11
"nserverdemo.NsSampleClientThread",1,0,1,0,4,2
"nserverdemo.NsSampleWork",1,0,2,0,14,40
"org.apache.derby.PackagePrivateTestSuite",1,1,1,0,3,2
"org.apache.derby.authentication.SystemPrincipal",3,0,1,0,5,9
"org.apache.derby.authentication.UserAuthenticator",n/a,n/a,n/a,n/a,1,n/a
"org.apache.derby.catalog.AliasInfo",n/a,n/a,n/a,n/a,2,n/a
"org.apache.derby.catalog.DefaultInfo",n/a,n/a,n/a,n/a,2,n/a
"org.apache.derby.catalog.Dependable",n/a,n/a,n/a,n/a,5,n/a
"org.apache.derby.catalog.DependableFinder",n/a,n/a,n/a,n/a,2,n/a
"org.apache.derby.catalog.GetProcedureColumns",8,0,3,0,27,45
"org.apache.derby.catalog.IndexDescriptor",n/a,n/a,n/a,n/a,12,n/a
"org.apache.derby.catalog.ReferencedColumns",n/a,n/a,n/a,n/a,1,n/a
"org.apache.derby.catalog.Statistics",n/a,n/a,n/a,n/a,1,n/a
"org.apache.derby.catalog.SystemProcedures",25,0,26,0,109,128
"org.apache.derby.catalog.TriggerNewTransitionRows",2,0,2,0,7,7
"org.apache.derby.catalog.TriggerOldTransitionRows",2,0,2,0,6,6
"org.apache.derby.catalog.TypeDescriptor",n/a,n/a,n/a,n/a,13,n/a
"org.apache.derby.catalog.UUID",n/a,n/a,n/a,n/a,4,n/a
"org.apache.derby.catalog.types.BaseTypeIdImpl",9,0,2,0,18,41
"org.apache.derby.catalog.types.DecimalTypeIdImpl",2,0,2,0,4,6
"org.apache.derby.catalog.types.DefaultInfoImpl",10,0,2,0,11,13
"org.apache.derby.catalog.types.IndexDescriptorImpl",6,0,2,0,26,38
"org.apache.derby.catalog.types.MethodAliasInfo",3,0,3,0,8,8
"org.apache.derby.catalog.types.OldRoutineType",5,0,3,0,4,5
"org.apache.derby.catalog.types.ReferencedColumnsDescriptorImpl",14,0,2,0,7,11
"org.apache.derby.catalog.types.RoutineAliasInfo",18,0,3,0,27,51
"org.apache.derby.catalog.types.RowMultiSetImpl",4,0,3,0,10,16
"org.apache.derby.catalog.types.StatisticsImpl",8,0,2,0,10,8
"org.apache.derby.catalog.types.SynonymAliasInfo",6,0,4,0,10,10
"org.apache.derby.catalog.types.TypeDescriptorImpl",5,0,2,0,33,48
"org.apache.derby.catalog.types.TypesImplInstanceGetter",2,1,1,0,1,5
"org.apache.derby.catalog.types.UserDefinedTypeIdImpl",3,0,3,0,7,7
"org.apache.derby.client.ClientDataSourceFactory",1,0,1,0,3,6
"org.apache.derby.client.ClientPooledConnection",23,0,4,0,26,34
"org.apache.derby.client.ClientPooledConnection40",2,0,1,0,6,13
"org.apache.derby.client.ClientXAConnection",7,0,7,0,11,14
