Martin packaging metrics,Qui, 26 out 2017 16:05:48 BRST
Package,A,Ca,Ce,D,I
"build.org.apache.derbyBuild","0,00",6,8,"0,43","0,86"
"build.org.apache.derbyBuild.eclipse","0,00",0,1,"0,00","1,00"
"build.org.apache.derbyBuild.javadoc","0,00",0,0,"0,00","1,00"
"build.org.apache.derbyPreBuild","0,00",2,1,"0,67","1,00"
"client.org.apache.derby.client","0,00",9,11,"0,45","0,55"
"client.org.apache.derby.client.am","0,21",71,99,"0,21","0,58"
"client.org.apache.derby.client.am.stmtcache","0,00",13,4,"0,76","0,20"
"client.org.apache.derby.client.net","0,13",11,92,"0,02","0,90"
"client.org.apache.derby.jdbc","0,12",14,21,"0,28","0,60"
"demo.localcal.src","0,09",10,9,"0,44","0,47"
"demo.nserverdemo","0,00",1,3,"0,25","0,75"
"demo.scores.java.client.org.apache.derbyDemo.scores.app","0,00",0,0,"0,00","1,00"
"demo.scores.java.client.org.apache.derbyDemo.scores.data","0,11",7,8,"0,36","1,00"
"demo.scores.java.common.org.apache.derbyDemo.scores.util","0,00",0,0,"0,00","1,00"
"demo.scores.java.server.org.apache.derbyDemo.scores.proc","0,00",0,0,"0,00","1,00"
"demo.simple","0,00",0,0,"0,00","1,00"
"demo.simplemobile","0,00",0,1,"0,00","1,00"
"demo.toursdb","0,00",1,0,"1,00","0,00"
"demo.vtis.java.org.apache.derbyDemo.vtis.core","0,70",2,1,"0,03","1,00"
"demo.vtis.java.org.apache.derbyDemo.vtis.example","0,00",0,0,"0,00","1,00"
"demo.vtis.java.org.apache.derbyDemo.vtis.snapshot","0,75",1,1,"0,25","1,00"
"demo.workingwithderby","0,00",1,2,"0,33","0,67"
"drda.org.apache.derby.drda","0,00",9,5,"0,64","0,36"
"drda.org.apache.derby.impl.drda","0,04",8,73,"0,05","0,95"
"drda.org.apache.derby.mbeans.drda","1,00",1,0,"0,00","0,00"
"engine.org.apache.derby.authentication","0,50",3,0,"0,50","0,00"
"engine.org.apache.derby.catalog","0,69",72,25,"0,05","0,26"
"engine.org.apache.derby.catalog.types","0,00",22,36,"0,38","0,62"
"engine.org.apache.derby.database","1,00",0,1,"1,00","1,00"
"engine.org.apache.derby.diag","0,00",1,51,"0,02","0,98"
"engine.org.apache.derby.iapi.db","0,50",15,27,"0,14","0,64"
"engine.org.apache.derby.iapi.error","0,22",125,7,"0,72","0,05"
"engine.org.apache.derby.iapi.jdbc","0,56",39,24,"0,06","0,38"
"engine.org.apache.derby.iapi.reference","1,00",169,0,"0,00","0,00"
"engine.org.apache.derby.iapi.security","0,00",1,3,"0,25","0,75"
"engine.org.apache.derby.iapi.services.cache","0,83",37,5,"0,05","0,12"
"engine.org.apache.derby.iapi.services.classfile","0,16",10,13,"0,28","0,57"
"engine.org.apache.derby.iapi.services.compiler","1,00",13,4,"0,24","0,24"
"engine.org.apache.derby.iapi.services.context","0,33",85,16,"0,51","0,16"
"engine.org.apache.derby.iapi.services.crypto","1,00",6,4,"0,40","0,40"
"engine.org.apache.derby.iapi.services.daemon","1,00",31,4,"0,11","0,11"
"engine.org.apache.derby.iapi.services.diag","0,50",18,2,"0,40","0,10"
"engine.org.apache.derby.iapi.services.i18n","0,67",30,2,"0,27","0,06"
"engine.org.apache.derby.iapi.services.info","0,60",31,2,"0,34","0,06"
"engine.org.apache.derby.iapi.services.io","0,38",190,28,"0,49","0,13"
"engine.org.apache.derby.iapi.services.jmx","1,00",4,2,"0,33","0,33"
"engine.org.apache.derby.iapi.services.loader","0,78",43,16,"0,05","0,27"
"engine.org.apache.derby.iapi.services.locks","0,78",56,6,"0,13","0,10"
