Method,ev(G),iv(G),v(G)
"AddEventRequest.AddEventRequest(int,String,String,String)",1,1,1
"AddEventRequest.getDate()",1,1,1
"AddEventRequest.getEventId()",1,1,1
"AddEventRequest.getTitle()",1,1,1
"AddEventRequest.setDate(String)",1,1,1
"AddEventRequest.setEventId(String)",1,1,1
"AddEventRequest.setTitle(String)",1,1,1
"AddEventRequest.submit(GCalendar)",1,1,1
"AddEventRequest.toString()",1,1,1
"CalEvent.CalEvent(String,String,String,String,String)",1,1,1
"CalEvent.getDate()",1,1,1
"CalEvent.getDay()",1,1,1
"CalEvent.getEditURL()",1,1,1
"CalEvent.getId()",1,1,1
"CalEvent.getJSONObject()",1,1,1
"CalEvent.getTitle()",1,1,1
"CalEvent.getVersionId()",1,1,1
"CalEvent.setDate(String)",1,1,1
"CalEvent.setId(String)",1,1,1
"CalEvent.setTitle(String)",1,1,1
"CalEvent.toString()",1,1,1
"CalendarController.addEvent(String,String,String)",1,5,5
"CalendarController.clearCalendar()",1,1,1
"CalendarController.deleteEvent(String)",3,5,6
"CalendarController.destroy()",1,1,1
"CalendarController.getConflicts()",3,3,3
"CalendarController.goOffline()",1,1,1
"CalendarController.goOnline()",1,2,2
"CalendarController.init()",1,2,2
"CalendarController.isOnline()",1,1,1
"CalendarController.log(String)",1,1,1
"CalendarController.logSql()",1,1,1
"CalendarController.login(String,String,String,String,String,String,boolean)",1,1,1
"CalendarController.refresh()",1,5,5
"CalendarController.start()",1,1,1
"CalendarController.startConsole(String)",1,1,1
"CalendarController.stop()",1,1,1
"CalendarController.updateEvent(String,String)",1,5,5
"DatabaseManager.beginTransaction()",2,1,2
"DatabaseManager.clearTables()",1,1,1
"DatabaseManager.commitTransaction()",2,1,2
"DatabaseManager.createTables()",1,1,1
"DatabaseManager.dropTables()",3,3,5
"DatabaseManager.executeQueryNoParams(Connection,String)",1,1,1
"DatabaseManager.executeUpdate(String)",1,1,1
"DatabaseManager.getConnection()",2,2,2
"DatabaseManager.initDataSource(String,String,String)",1,1,1
"DatabaseManager.initDatabase(String,String,String,boolean)",1,3,3
"DatabaseManager.logSql()",1,1,1
"DatabaseManager.releaseConnection(Connection)",1,2,2
"DatabaseManager.rollbackTransaction()",2,1,2
"DatabaseManager.tableDoesntExist(String)",1,2,2
"DatabaseManager.tableExists(String)",1,1,1
"DeleteEventRequest.DeleteEventRequest(int,String,String)",1,1,1
"DeleteEventRequest.getEditURL()",1,1,1
"DeleteEventRequest.getEventId()",1,1,1
"DeleteEventRequest.setEditURL(String)",1,1,1
"DeleteEventRequest.setEventId(String)",1,1,1
"DeleteEventRequest.submit(GCalendar)",1,1,1
"DeleteEventRequest.toString()",1,1,1
"EventManager.addEvent(CalEvent)",1,3,3
"EventManager.deleteEvent(String)",1,1,1
"EventManager.getEvent(String)",2,1,2
"EventManager.getEvents()",1,2,2
"EventManager.refresh(Collection<CalEvent>)",1,2,2
"EventManager.updateEvent(CalEvent)",2,4,4
"EventManager.updateEventId(String,String)",1,1,1
"GCalendar.GCalendar(String,String,String,String,String,String)",1,2,2
"GCalendar.addEvent(String,String)",1,2,2
"GCalendar.clearCalendar()",1,2,2
"GCalendar.createDerbyCalEvent(EventEntry)",1,1,1
"GCalendar.createEventEntry(CalEvent)",1,1,1
"GCalendar.deleteEvent(String)",1,2,2
"GCalendar.getEvents()",1,3,3
"GCalendar.getNextDay(String)",1,1,1
"GCalendar.handleException(Exception,String,EventEntry)",2,7,8
"GCalendar.parseId(String)",2,1,2
"GCalendar.updateEvent(CalEvent)",1,2,2
"GCalendarRequest.GCalendarRequest(int)",1,1,1
"GCalendarRequest.getId()",1,1,1
"GCalendarRequest.setId(int)",1,1,1
"NetworkDownException.NetworkDownException(String,Throwable)",1,1,1
"NetworkDownException.NetworkDownException(Throwable)",1,1,1
"RequestManager.createRequestFromRow(ResultSet)",2,2,5
"RequestManager.deleteRequest(GCalendarRequest)",1,1,1
"RequestManager.deleteRequestsForEvent(String)",1,1,1
"RequestManager.findAddRequest(String)",2,2,2
"RequestManager.getConflicts()",1,1,1
"RequestManager.getRequests()",1,2,2
"RequestManager.storeAddEvent(String,String,String)",1,1,1
"RequestManager.storeDeleteEvent(String,String)",1,2,2
"RequestManager.storeUpdateEvent(CalEvent)",1,2,2
"RequestManager.submitRequests(GCalendar)",2,3,5
"RequestManager.updateAddRequest(int,String)",1,1,1
"SimpleApp.go(String[])",1,19,19
"SimpleApp.loadDriver()",1,4,4
"SimpleApp.main(String[])",1,1,1
"SimpleApp.parseArguments(String[])",1,3,4
"SimpleApp.printSQLException(SQLException)",1,2,2
"SimpleApp.reportFailure(String)",1,1,1
"SimpleMobileApp.haveClass(String)",1,1,2
"SimpleMobileApp.main(String[])",1,2,2
"SimpleMobileApp.printSQLException(SQLException)",1,2,2
"SimpleMobileApp.runDemo()",1,19,21
"SimpleMobileApp.vmSupportsJSR169()",2,1,2
"SimpleNetworkClientSample.getClientDataSource(String,String,String)",1,4,4
