Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"com.google.common.annotations.Beta",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"com.google.common.annotations.GwtCompatible",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"com.google.common.annotations.GwtIncompatible",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.google.common.annotations.VisibleForTesting",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"com.google.common.base.Absent",5,2,36,38,8,2,1,9,47,44,0,8,0,"1,00",12,18,12
"com.google.common.base.Absent_CustomFieldSerializer",1,0,15,15,9,1,0,3,17,8,0,11,0,"1,00",1,3,3
"com.google.common.base.AbstractIterator",6,2,23,25,3,1,1,2,47,43,8,12,1,"1,83",5,10,11
"com.google.common.base.AbstractIterator.State",1,6,25,31,0,n/a,2,0,3,3,n/a,20,0,n/a,0,0,0
"com.google.common.base.Ascii",9,40,19,59,0,1,0,2,420,72,0,11,0,"1,57",6,12,11
"com.google.common.base.CaseFormat",3,9,30,39,14,n/a,2,1,131,102,n/a,20,0,"5,60",4,22,28
"com.google.common.base.CharMatcher",27,16,51,67,12,1,1,5,1.011,629,23,10,1,"1,67",34,76,150
"com.google.common.base.CharMatcher.And",2,3,47,50,12,2,1,1,30,30,0,34,2,"1,00",2,12,5
"com.google.common.base.CharMatcher.BitSetMatcher",2,2,49,51,12,3,1,1,15,15,0,37,1,"1,00",1,6,3
"com.google.common.base.CharMatcher.FastMatcher",5,1,46,47,12,2,1,2,19,16,10,34,2,"1,00",2,7,4
"com.google.common.base.CharMatcher.NegatedFastMatcher",3,2,55,57,12,3,1,2,16,16,0,40,2,"1,00",2,6,4
"com.google.common.base.CharMatcher.NegatedMatcher",2,2,51,53,12,2,1,1,37,37,1,30,6,"1,00",6,19,9
"com.google.common.base.CharMatcher.Or",2,3,47,50,12,2,1,1,26,26,0,34,2,"1,00",2,9,5
"com.google.common.base.Charsets",11,6,13,19,0,1,0,0,53,15,0,11,0,"1,00",0,2,1
"com.google.common.base.Defaults",2,1,15,16,0,1,0,2,34,23,0,11,0,"1,00",1,7,3
"com.google.common.base.Enums",5,0,16,16,10,1,0,3,57,26,0,11,0,"1,00",3,13,4
"com.google.common.base.Enums.ValueOfFunction",3,2,19,21,3,1,2,1,30,26,0,8,3,"1,00",4,9,5
"com.google.common.base.Equivalence",39,0,23,23,13,1,0,7,171,41,8,11,0,"1,33",10,15,12
"com.google.common.base.Equivalence.Equals",1,2,24,26,13,2,1,3,14,14,0,17,0,"1,00",3,5,3
"com.google.common.base.Equivalence.EquivalentToPredicate",4,3,19,22,13,1,2,1,29,29,0,8,3,"1,40",4,10,7
"com.google.common.base.Equivalence.Identity",1,2,24,26,13,2,1,3,14,14,0,17,0,"1,00",3,4,3
"com.google.common.base.Equivalence.Wrapper",3,3,17,20,13,1,1,1,69,31,0,8,3,"1,40",4,9,7
"com.google.common.base.FinalizablePhantomReference",2,4,22,26,6,3,1,0,23,7,0,16,0,"1,00",0,3,1
"com.google.common.base.FinalizableReference",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.google.common.base.FinalizableReferenceQueue",13,6,19,25,5,1,2,3,142,68,0,11,0,"1,80",2,19,9
"com.google.common.base.FinalizableReferenceQueue.DecoupledLoader",3,1,16,17,5,1,1,1,55,32,1,11,0,"1,67",3,17,5
"com.google.common.base.FinalizableReferenceQueue.DirectLoader",2,0,14,14,5,1,1,1,14,10,0,11,0,"1,00",1,3,1
"com.google.common.base.FinalizableReferenceQueue.FinalizerLoader",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.google.common.base.FinalizableReferenceQueue.SystemLoader",3,1,14,15,5,1,1,1,33,26,0,11,0,"3,00",1,4,3
"com.google.common.base.FinalizableSoftReference",2,5,23,28,6,3,1,0,21,7,0,16,0,"1,00",0,3,1
"com.google.common.base.FinalizableWeakReference",5,4,22,26,6,3,1,0,21,7,4,15,0,"1,00",0,3,1
"com.google.common.base.Function",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"com.google.common.base.FunctionalEquivalence",4,3,27,30,13,2,1,1,42,36,0,14,3,"1,33",5,13,8
"com.google.common.base.Functions",31,0,21,21,16,1,0,8,95,30,0,11,0,"1,00",8,15,9
"com.google.common.base.Functions.ConstantFunction",3,2,19,21,6,1,2,1,24,24,0,8,3,"1,40",4,7,7
"com.google.common.base.Functions.ForMapWithDefault",4,3,19,22,6,1,2,1,27,27,0,8,3,"1,40",4,11,7
"com.google.common.base.Functions.FunctionComposition",3,3,19,22,3,1,2,1,26,26,0,8,3,"1,20",4,10,6
"com.google.common.base.Functions.FunctionForMapNoDefault",3,2,19,21,3,1,2,1,26,26,0,8,3,"1,20",4,11,6
"com.google.common.base.Functions.IdentityFunction",2,3,29,32,1,n/a,3,1,11,10,n/a,18,1,"1,00",2,2,2
"com.google.common.base.Functions.PredicateFunction",4,2,19,21,4,1,2,1,25,24,0,8,3,"1,20",4,9,6
"com.google.common.base.Functions.SupplierFunction",4,2,19,21,4,1,2,1,24,23,0,8,3,"1,20",4,9,6
"com.google.common.base.Functions.ToStringFunction",3,3,29,32,3,n/a,3,1,12,11,n/a,18,1,"1,00",2,4,2
"com.google.common.base.GwtSerializationDependencies",0,0,13,13,0,1,0,0,15,5,0,11,0,"1,00",0,1,1
"com.google.common.base.GwtSerializationDependencies.OptionalDependencies",3,1,36,37,9,2,1,8,40,40,0,8,0,"1,00",11,14,12
"com.google.common.base.Joiner",37,1,36,37,3,1,0,5,294,164,2,11,0,"1,34",22,37,43
"com.google.common.base.Joiner.MapJoiner",8,2,26,28,3,1,0,1,191,91,0,11,0,"1,14",13,27,16
"com.google.common.base.MediumCharMatcher",5,6,52,58,12,3,1,1,108,82,0,37,1,"3,17",4,12,19
"com.google.common.base.Objects",77,0,20,20,4,1,0,4,152,31,0,11,0,"1,25",7,17,10
"com.google.common.base.Objects.ToStringHelper",13,3,32,35,3,1,0,2,223,103,0,10,1,"1,15",19,34,23
"com.google.common.base.Objects.ToStringHelper.ValueHolder",1,2,12,14,0,1,0,0,4,4,0,11,0,n/a,0,1,0
