Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"com.google.common.annotations.GwtCompatible.emulated()",n/a,280,0,n/a,n/a,0,n/a,n/a
"com.google.common.annotations.GwtCompatible.serializable()",n/a,111,0,n/a,n/a,0,n/a,n/a
"com.google.common.annotations.GwtIncompatible.value()",n/a,870,0,n/a,n/a,0,n/a,n/a
"com.google.common.base.Absent.asSet()",1,4,n/a,3,0,0,1,1
"com.google.common.base.Absent.equals(Object)",0,197,n/a,3,0,1,1,1
"com.google.common.base.Absent.get()",1,19,n/a,3,0,0,1,1
"com.google.common.base.Absent.hashCode()",0,151,n/a,3,0,0,1,1
"com.google.common.base.Absent.isPresent()",0,13,n/a,3,0,0,1,1
"com.google.common.base.Absent.or(Object)",1,6,n/a,3,0,1,1,1
"com.google.common.base.Absent.or(Optional<?>)",1,2,n/a,4,0,1,1,1
"com.google.common.base.Absent.or(Supplier<?>)",2,4,n/a,4,0,1,1,1
"com.google.common.base.Absent.orNull()",0,5,n/a,3,0,0,1,1
"com.google.common.base.Absent.readResolve()",0,0,n/a,3,0,0,1,1
"com.google.common.base.Absent.toString()",0,313,n/a,3,0,0,1,1
"com.google.common.base.Absent.transform(Function<Object, V>)",2,0,n/a,4,0,1,2,1
"com.google.common.base.Absent_CustomFieldSerializer.deserialize(SerializationStreamReader,Absent)",0,0,n/a,1,0,2,0,1
"com.google.common.base.Absent_CustomFieldSerializer.instantiate(SerializationStreamReader)",0,0,n/a,3,0,1,1,1
"com.google.common.base.Absent_CustomFieldSerializer.serialize(SerializationStreamWriter,Absent)",0,0,n/a,1,0,2,0,1
"com.google.common.base.AbstractIterator.AbstractIterator()",0,8,n/a,1,0,0,0,1
"com.google.common.base.AbstractIterator.computeNext()",n/a,1,8,n/a,n/a,0,n/a,n/a
"com.google.common.base.AbstractIterator.endOfData()",0,6,n/a,4,0,0,2,1
"com.google.common.base.AbstractIterator.hasNext()",2,502,n/a,12,1,0,8,4
"com.google.common.base.AbstractIterator.next()",2,707,n/a,8,1,0,4,2
"com.google.common.base.AbstractIterator.remove()",1,209,n/a,3,0,0,1,1
"com.google.common.base.AbstractIterator.tryToComputeNext()",1,1,n/a,9,1,0,6,2
"com.google.common.base.Ascii.Ascii()",0,0,n/a,1,0,0,0,1
"com.google.common.base.Ascii.isLowerCase(char)",0,6,n/a,8,0,1,1,2
"com.google.common.base.Ascii.isUpperCase(char)",0,6,n/a,8,0,1,1,2
"com.google.common.base.Ascii.toLowerCase(String)",6,19,n/a,13,1,1,7,2
"com.google.common.base.Ascii.toLowerCase(char)",1,4,n/a,7,0,1,1,2
"com.google.common.base.Ascii.toUpperCase(String)",6,9,n/a,13,1,1,7,2
"com.google.common.base.Ascii.toUpperCase(char)",1,5,n/a,7,0,1,1,2
"com.google.common.base.CaseFormat.CaseFormat(CharMatcher,String)",0,5,n/a,4,0,2,2,1
"com.google.common.base.CaseFormat.firstCharOnlyToUpper(String)",9,2,n/a,10,1,1,4,2
"com.google.common.base.CaseFormat.normalizeFirstWord(String)",2,2,n/a,8,1,1,5,3
"com.google.common.base.CaseFormat.normalizeWord(String)",6,3,n/a,15,1,1,12,6
"com.google.common.base.CaseFormat.to(CaseFormat,String)",27,60,n/a,63,2,2,42,16
"com.google.common.base.CharMatcher.And.And(CharMatcher,CharMatcher)",1,1,n/a,3,0,2,1,1
"com.google.common.base.CharMatcher.And.And(CharMatcher,CharMatcher,String)",3,2,n/a,5,0,3,3,1
"com.google.common.base.CharMatcher.And.matches(char)",2,109,n/a,4,0,1,1,2
"com.google.common.base.CharMatcher.And.setBits(BitSet)",6,8,n/a,10,0,1,6,1
"com.google.common.base.CharMatcher.And.withToString(String)",1,5,n/a,4,0,1,1,1
"com.google.common.base.CharMatcher.BitSetMatcher.BitSetMatcher(BitSet,String)",1,1,n/a,4,0,2,2,1
"com.google.common.base.CharMatcher.BitSetMatcher.matches(char)",1,109,n/a,3,0,1,1,1
"com.google.common.base.CharMatcher.BitSetMatcher.setBits(BitSet)",1,8,n/a,4,0,1,1,1
"com.google.common.base.CharMatcher.CharMatcher()",0,3,n/a,7,0,0,1,1
"com.google.common.base.CharMatcher.CharMatcher(String)",0,11,n/a,6,0,1,1,1
"com.google.common.base.CharMatcher.FastMatcher.FastMatcher()",1,0,n/a,3,0,0,1,1
"com.google.common.base.CharMatcher.FastMatcher.FastMatcher(String)",1,10,n/a,3,0,1,1,1
"com.google.common.base.CharMatcher.FastMatcher.negate()",1,39,n/a,4,0,0,1,1
"com.google.common.base.CharMatcher.FastMatcher.precomputed()",0,37,n/a,4,0,0,1,1
"com.google.common.base.CharMatcher.NegatedFastMatcher.NegatedFastMatcher(CharMatcher)",1,1,n/a,3,0,1,1,1
"com.google.common.base.CharMatcher.NegatedFastMatcher.NegatedFastMatcher(String,CharMatcher)",1,2,n/a,3,0,2,1,1
"com.google.common.base.CharMatcher.NegatedFastMatcher.precomputed()",0,37,n/a,4,0,0,1,1
"com.google.common.base.CharMatcher.NegatedFastMatcher.withToString(String)",1,5,n/a,4,0,1,1,1
"com.google.common.base.CharMatcher.NegatedMatcher.NegatedMatcher(CharMatcher)",1,2,n/a,3,0,1,1,1
"com.google.common.base.CharMatcher.NegatedMatcher.NegatedMatcher(String,CharMatcher)",1,3,n/a,4,0,2,2,1
"com.google.common.base.CharMatcher.NegatedMatcher.countIn(CharSequence)",2,9,n/a,3,0,1,1,1
"com.google.common.base.CharMatcher.NegatedMatcher.matches(char)",1,109,n/a,3,0,1,1,1
"com.google.common.base.CharMatcher.NegatedMatcher.matchesAllOf(CharSequence)",1,14,n/a,3,0,1,1,1
"com.google.common.base.CharMatcher.NegatedMatcher.matchesNoneOf(CharSequence)",1,11,n/a,3,0,1,1,1
