Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.apache.commons.io.ByteOrderMark",5,6,20,26,1,1,1,2,136,76,0,8,3,"2,25",7,20,18
"org.apache.commons.io.CopyUtils",2,1,23,24,0,1,0,3,281,84,0,11,0,"1,18",2,23,13
"org.apache.commons.io.DirectoryWalker",12,2,28,30,30,1,0,1,533,93,8,11,0,"1,69",3,24,27
"org.apache.commons.io.DirectoryWalker.CancelException",7,8,51,59,0,4,1,2,52,19,0,26,0,"1,00",2,5,4
"org.apache.commons.io.EndianUtils",2,0,43,43,0,1,0,14,424,202,0,11,0,"1,06",20,39,33
"org.apache.commons.io.FileCleaner",3,1,19,20,34,1,0,1,134,31,0,11,0,"1,00",2,13,7
"org.apache.commons.io.FileCleaningTracker",6,4,19,23,33,1,0,1,153,45,0,11,0,"1,71",1,19,12
"org.apache.commons.io.FileCleaningTracker.Reaper",2,24,68,92,33,2,1,1,30,20,0,42,1,"1,50",0,10,3
"org.apache.commons.io.FileCleaningTracker.Tracker",3,6,22,28,31,3,0,1,35,12,0,16,0,"1,50",1,5,3
"org.apache.commons.io.FileDeleteStrategy",6,3,17,20,30,1,0,1,102,30,1,10,1,"1,40",3,9,7
"org.apache.commons.io.FileDeleteStrategy.ForceFileDeleteStrategy",2,1,19,20,30,2,0,1,25,10,0,14,1,"1,00",1,4,2
"org.apache.commons.io.FileExistsException",2,6,50,56,0,4,1,0,34,12,0,26,0,"1,00",0,5,3
"org.apache.commons.io.FileSystemUtils",6,8,25,33,10,1,0,1,480,236,3,11,0,"3,62",12,59,47
"org.apache.commons.io.FileUtils",35,6,88,94,28,1,0,14,2.040,897,0,11,0,"3,05",38,174,232
"org.apache.commons.io.FilenameUtils",9,6,50,56,2,1,0,1,1.279,490,0,11,0,"3,84",37,75,146
"org.apache.commons.io.HexDump",2,3,16,19,1,1,0,1,132,71,0,11,0,"3,50",2,16,14
"org.apache.commons.io.IOCase",15,6,24,30,2,1,1,2,218,70,0,10,1,"1,83",11,21,22
"org.apache.commons.io.IOExceptionWithCause",3,6,49,55,0,4,1,0,44,11,1,26,0,"1,50",0,5,3
"org.apache.commons.io.IOUtils",23,10,73,83,5,1,0,22,1.528,473,0,11,0,"2,05",30,109,125
"org.apache.commons.io.LineIterator",3,3,24,27,5,1,1,2,147,65,1,12,1,"2,12",4,16,17
"org.apache.commons.io.TaggedIOException",6,7,54,61,1,5,1,1,106,26,0,25,1,"1,20",3,9,6
"org.apache.commons.io.ThreadMonitor",2,2,18,20,0,1,1,3,90,33,0,11,0,"1,40",2,12,7
