Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.apache.james.mime4j.MimeException",25,6,46,52,0,3,1,0,32,13,3,26,0,"1,00",0,6,3
"org.apache.james.mime4j.MimeIOException",4,6,49,55,1,4,1,0,25,10,1,26,0,"1,00",0,6,2
"org.apache.james.mime4j.codec.Base64InputStream",10,14,34,48,4,2,2,1,196,184,0,16,3,"4,80",5,19,48
"org.apache.james.mime4j.codec.Base64OutputStream",6,17,41,58,1,3,3,1,232,168,0,11,5,"3,14",0,25,44
"org.apache.james.mime4j.codec.ByteQueue",3,2,22,24,2,1,1,1,29,29,0,13,0,"1,14",3,13,8
"org.apache.james.mime4j.codec.CodecUtil",13,1,18,19,4,1,0,3,73,29,0,11,0,"1,17",2,13,7
"org.apache.james.mime4j.codec.DecoderUtil",6,1,18,19,8,1,0,1,194,139,0,11,0,"4,83",6,31,29
"org.apache.james.mime4j.codec.EncoderUtil",9,10,36,46,6,1,0,2,479,291,0,11,0,"3,21",23,45,77
"org.apache.james.mime4j.codec.EncoderUtil.Encoding",2,4,25,29,0,n/a,2,0,9,4,n/a,20,0,n/a,0,0,0
"org.apache.james.mime4j.codec.EncoderUtil.Usage",3,4,25,29,0,n/a,2,0,16,4,n/a,20,0,n/a,0,0,0
"org.apache.james.mime4j.codec.QuotedPrintableEncoder",3,18,26,44,1,1,0,1,162,160,0,11,0,"2,64",0,17,37
"org.apache.james.mime4j.codec.QuotedPrintableInputStream",9,6,30,36,3,2,2,1,191,150,0,18,1,"6,00",2,14,36
"org.apache.james.mime4j.codec.QuotedPrintableOutputStream",3,3,32,35,4,3,3,1,38,34,0,13,4,"1,40",0,12,7
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer",2,3,22,25,1,1,0,1,209,124,0,11,0,"2,23",8,12,29
"org.apache.james.mime4j.descriptor.BodyDescriptor",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.james.mime4j.descriptor.ContentDescriptor",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,n/a
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor",8,19,34,53,8,1,3,1,181,134,1,10,1,"2,08",9,32,27
