Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"null.initialValue()",1,0,n/a,4,0,0,1,1
"null.parse(String,String,ByteSequence)",1,2,n/a,4,0,3,1,1
"org.apache.james.mime4j.MimeException.MimeException(String)",1,5,n/a,8,0,1,1,1
"org.apache.james.mime4j.MimeException.MimeException(String,Throwable)",2,3,n/a,10,0,2,2,1
"org.apache.james.mime4j.MimeException.MimeException(Throwable)",1,1,n/a,8,0,1,1,1
"org.apache.james.mime4j.MimeIOException.MimeIOException(MimeException)",3,3,n/a,10,0,1,2,1
"org.apache.james.mime4j.MimeIOException.MimeIOException(String)",2,1,n/a,9,0,1,1,1
"org.apache.james.mime4j.codec.Base64InputStream.Base64InputStream(InputStream)",1,19,n/a,3,0,1,1,1
"org.apache.james.mime4j.codec.Base64InputStream.Base64InputStream(InputStream,boolean)",1,5,n/a,6,0,2,4,2
"org.apache.james.mime4j.codec.Base64InputStream.close()",0,5,n/a,6,0,0,3,2
"org.apache.james.mime4j.codec.Base64InputStream.decodePad(int,int,byte[],int,int)",5,1,n/a,31,2,5,19,6
"org.apache.james.mime4j.codec.Base64InputStream.handleUnexpecedPad(int)",2,1,n/a,7,0,1,3,2
"org.apache.james.mime4j.codec.Base64InputStream.handleUnexpectedEof(int)",2,1,n/a,7,0,1,3,2
"org.apache.james.mime4j.codec.Base64InputStream.read()",2,32,n/a,12,1,0,8,5
"org.apache.james.mime4j.codec.Base64InputStream.read(byte[])",3,8,n/a,10,0,1,7,4
"org.apache.james.mime4j.codec.Base64InputStream.read(byte[],int,int)",4,7,n/a,12,0,3,9,7
"org.apache.james.mime4j.codec.Base64InputStream.read0(byte[],int,int)",11,3,n/a,77,5,3,55,19
"org.apache.james.mime4j.codec.Base64OutputStream.Base64OutputStream(OutputStream)",1,7,n/a,11,0,1,1,1
"org.apache.james.mime4j.codec.Base64OutputStream.Base64OutputStream(OutputStream,int)",1,1,n/a,16,0,2,1,1
"org.apache.james.mime4j.codec.Base64OutputStream.Base64OutputStream(OutputStream,int,byte[])",5,3,n/a,33,0,3,10,3
"org.apache.james.mime4j.codec.Base64OutputStream.checkLineSeparator(byte[])",3,1,n/a,12,2,1,5,4
"org.apache.james.mime4j.codec.Base64OutputStream.close()",1,10,n/a,7,0,0,4,2
"org.apache.james.mime4j.codec.Base64OutputStream.close0()",3,1,n/a,9,1,0,5,4
"org.apache.james.mime4j.codec.Base64OutputStream.flush()",2,5,n/a,6,0,0,3,2
"org.apache.james.mime4j.codec.Base64OutputStream.flush0()",1,6,n/a,6,1,0,3,2
"org.apache.james.mime4j.codec.Base64OutputStream.write(byte[])",3,21,n/a,10,0,1,7,4
"org.apache.james.mime4j.codec.Base64OutputStream.write(byte[],int,int)",4,8,n/a,13,0,3,9,7
"org.apache.james.mime4j.codec.Base64OutputStream.write(int)",2,3,n/a,7,0,1,4,2
"org.apache.james.mime4j.codec.Base64OutputStream.write0(byte[],int,int)",2,3,n/a,26,3,3,19,8
"org.apache.james.mime4j.codec.Base64OutputStream.writeLineSeparator()",1,2,n/a,7,0,0,5,3
"org.apache.james.mime4j.codec.Base64OutputStream.writePad()",2,1,n/a,22,1,0,15,5
"org.apache.james.mime4j.codec.ByteQueue.ByteQueue()",1,3,n/a,3,0,0,1,1
"org.apache.james.mime4j.codec.ByteQueue.ByteQueue(int)",1,0,n/a,4,0,1,2,1
"org.apache.james.mime4j.codec.ByteQueue.clear()",2,2,n/a,6,0,0,3,2
"org.apache.james.mime4j.codec.ByteQueue.count()",1,6,n/a,3,0,0,1,1
"org.apache.james.mime4j.codec.ByteQueue.dequeue()",1,3,n/a,3,0,0,1,1
"org.apache.james.mime4j.codec.ByteQueue.enqueue(byte)",1,25,n/a,3,0,1,1,1
"org.apache.james.mime4j.codec.ByteQueue.iterator()",1,0,n/a,3,0,0,1,1
"org.apache.james.mime4j.codec.CodecUtil.copy(InputStream,OutputStream)",2,16,n/a,13,1,2,4,2
"org.apache.james.mime4j.codec.CodecUtil.encodeBase64(InputStream,OutputStream)",3,2,n/a,12,0,2,3,1
"org.apache.james.mime4j.codec.CodecUtil.encodeQuotedPrintable(InputStream,OutputStream)",2,2,n/a,12,0,2,2,1
"org.apache.james.mime4j.codec.CodecUtil.encodeQuotedPrintableBinary(InputStream,OutputStream)",2,4,n/a,12,0,2,2,1
"org.apache.james.mime4j.codec.CodecUtil.wrapBase64(OutputStream)",1,1,n/a,9,0,1,1,1
"org.apache.james.mime4j.codec.CodecUtil.wrapQuotedPrintable(OutputStream,boolean)",1,1,n/a,9,0,2,1,1
"org.apache.james.mime4j.codec.DecoderUtil.decodeB(String,String)",2,2,n/a,14,0,2,1,1
"org.apache.james.mime4j.codec.DecoderUtil.decodeBase64(String)",8,1,n/a,24,2,1,9,3
"org.apache.james.mime4j.codec.DecoderUtil.decodeBaseQuotedPrintable(String)",8,1,n/a,24,2,1,9,3
"org.apache.james.mime4j.codec.DecoderUtil.decodeEncodedWord(String,int,int)",30,1,n/a,62,3,3,36,16
"org.apache.james.mime4j.codec.DecoderUtil.decodeEncodedWords(String)",14,27,n/a,38,3,1,22,8
"org.apache.james.mime4j.codec.DecoderUtil.decodeQ(String,String)",8,2,n/a,26,2,2,9,3
"org.apache.james.mime4j.codec.EncoderUtil.EncoderUtil()",0,0,n/a,2,0,0,0,1
"org.apache.james.mime4j.codec.EncoderUtil.bEncodedLength(byte[])",0,1,n/a,3,0,1,1,1
"org.apache.james.mime4j.codec.EncoderUtil.determineCharset(String)",2,1,n/a,16,2,1,11,5
"org.apache.james.mime4j.codec.EncoderUtil.determineEncoding(byte[],Usage)",1,1,n/a,15,2,2,12,7
"org.apache.james.mime4j.codec.EncoderUtil.encode(String,Charset)",3,5,n/a,6,0,2,4,1
"org.apache.james.mime4j.codec.EncoderUtil.encodeAddressDisplayName(String)",4,11,n/a,24,1,1,5,3
"org.apache.james.mime4j.codec.EncoderUtil.encodeAddressLocalPart(String)",2,3,n/a,20,1,1,3,2
"org.apache.james.mime4j.codec.EncoderUtil.encodeB(String,String,int,Charset,byte[])",12,3,n/a,18,1,5,11,2
"org.apache.james.mime4j.codec.EncoderUtil.encodeB(byte[])",14,2,n/a,35,1,1,23,4
"org.apache.james.mime4j.codec.EncoderUtil.encodeEncodedWord(String,Usage)",1,6,n/a,23,0,2,1,1
"org.apache.james.mime4j.codec.EncoderUtil.encodeEncodedWord(String,Usage,int)",1,1,n/a,23,0,3,1,1
"org.apache.james.mime4j.codec.EncoderUtil.encodeEncodedWord(String,Usage,int,Charset,Encoding)",10,11,n/a,48,1,5,17,8
"org.apache.james.mime4j.codec.EncoderUtil.encodeHeaderParameter(String,String)",3,7,n/a,20,1,2,4,2
"org.apache.james.mime4j.codec.EncoderUtil.encodeIfNecessary(String,Usage,int)",2,1,n/a,21,0,3,3,2
"org.apache.james.mime4j.codec.EncoderUtil.encodeQ(String,String,Usage,int,Charset,byte[])",12,3,n/a,18,1,6,11,2
"org.apache.james.mime4j.codec.EncoderUtil.encodeQ(byte[],Usage)",10,3,n/a,30,2,2,15,5
"org.apache.james.mime4j.codec.EncoderUtil.hasToBeEncoded(String,int)",4,12,n/a,41,3,2,17,10
"org.apache.james.mime4j.codec.EncoderUtil.hexDigit(int)",0,2,n/a,3,0,1,1,2
"org.apache.james.mime4j.codec.EncoderUtil.initChars(String)",3,4,n/a,9,2,1,7,3
"org.apache.james.mime4j.codec.EncoderUtil.isAtomPhrase(String)",4,1,n/a,14,2,1,11,4
"org.apache.james.mime4j.codec.EncoderUtil.isDotAtomText(String)",3,1,n/a,22,2,1,15,7
"org.apache.james.mime4j.codec.EncoderUtil.isToken(String)",3,4,n/a,24,1,1,10,4
"org.apache.james.mime4j.codec.EncoderUtil.qEncodedLength(byte[],Usage)",1,1,n/a,16,2,2,12,5
"org.apache.james.mime4j.codec.EncoderUtil.quote(String)",1,3,n/a,11,0,1,2,1
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.QuotedPrintableEncoder(int,boolean)",0,3,n/a,11,0,2,9,1
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.clearPending()",0,2,n/a,5,0,0,3,1
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.completeEncoding()",2,2,n/a,4,0,0,2,1
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.encode(InputStream,OutputStream)",4,2,n/a,8,1,2,5,2
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.encode(byte)",16,1,n/a,52,4,1,33,15
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.encodeChunk(byte[],int,int)",1,2,n/a,5,1,3,4,2
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.escape(byte)",4,9,n/a,11,1,1,8,2
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.flushOutput()",2,3,n/a,8,1,0,4,2
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.initEncoding(OutputStream)",0,2,n/a,7,0,1,5,1
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.lineBreak()",2,2,n/a,5,0,0,3,1
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.plain(byte)",2,5,n/a,6,1,1,3,2
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.softBreak()",2,2,n/a,4,0,0,2,1
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.write(byte)",1,7,n/a,6,1,1,3,2
"org.apache.james.mime4j.codec.QuotedPrintableEncoder.writePending()",4,4,n/a,10,1,0,7,4
"org.apache.james.mime4j.codec.QuotedPrintableInputStream.QuotedPrintableInputStream(InputStream)",0,13,n/a,3,0,1,1,1
"org.apache.james.mime4j.codec.QuotedPrintableInputStream.asciiCharToNumericValue(byte)",1,2,n/a,21,1,1,7,7
"org.apache.james.mime4j.codec.QuotedPrintableInputStream.close()",0,5,n/a,10,0,0,1,1
"org.apache.james.mime4j.codec.QuotedPrintableInputStream.fillBuffer()",28,1,n/a,95,4,0,63,29
"org.apache.james.mime4j.codec.QuotedPrintableInputStream.populatePushbackQueue()",7,1,n/a,35,2,0,20,7
"org.apache.james.mime4j.codec.QuotedPrintableInputStream.read()",4,31,n/a,16,1,0,9,4
"org.apache.james.mime4j.codec.QuotedPrintableOutputStream.QuotedPrintableOutputStream(OutputStream,boolean)",3,3,n/a,5,0,2,3,1
"org.apache.james.mime4j.codec.QuotedPrintableOutputStream.close()",1,4,n/a,11,1,0,5,2
"org.apache.james.mime4j.codec.QuotedPrintableOutputStream.flush()",1,3,n/a,4,0,0,1,1
"org.apache.james.mime4j.codec.QuotedPrintableOutputStream.write(byte[],int,int)",2,7,n/a,7,1,3,3,2
"org.apache.james.mime4j.codec.QuotedPrintableOutputStream.write(int)",1,2,n/a,4,0,1,1,1
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer.UnboundedFifoByteBuffer()",1,2,n/a,11,0,0,1,1
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer.UnboundedFifoByteBuffer(int)",1,3,n/a,15,1,1,5,2
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer.add(byte)",1,1,n/a,30,3,1,19,5
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer.decrement(int)",0,2,n/a,13,1,1,4,2
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer.get()",2,1,n/a,12,1,0,3,2
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer.increment(int)",0,1,n/a,13,1,1,4,2
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer.isEmpty()",1,2,n/a,8,0,0,1,1
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer.iterator()",9,1,n/a,26,4,0,24,6
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer.remove()",2,3,n/a,17,1,0,7,3
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer.size()",0,3,n/a,14,1,0,5,2
"org.apache.james.mime4j.descriptor.BodyDescriptor.getBoundary()",n/a,9,1,n/a,n/a,0,n/a,n/a
"org.apache.james.mime4j.descriptor.ContentDescriptor.getCharset()",n/a,14,1,n/a,n/a,0,n/a,n/a
"org.apache.james.mime4j.descriptor.ContentDescriptor.getContentLength()",n/a,3,1,n/a,n/a,0,n/a,n/a
"org.apache.james.mime4j.descriptor.ContentDescriptor.getContentTypeParameters()",n/a,13,1,n/a,n/a,0,n/a,n/a
"org.apache.james.mime4j.descriptor.ContentDescriptor.getMediaType()",n/a,1,1,n/a,n/a,0,n/a,n/a
"org.apache.james.mime4j.descriptor.ContentDescriptor.getMimeType()",n/a,23,1,n/a,n/a,0,n/a,n/a
"org.apache.james.mime4j.descriptor.ContentDescriptor.getSubType()",n/a,2,1,n/a,n/a,0,n/a,n/a
"org.apache.james.mime4j.descriptor.ContentDescriptor.getTransferEncoding()",n/a,5,1,n/a,n/a,0,n/a,n/a
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.DefaultBodyDescriptor()",1,1,n/a,6,0,0,1,1
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.DefaultBodyDescriptor(BodyDescriptor)",2,4,n/a,17,1,1,7,3
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.addField(Field)",14,31,n/a,26,2,1,14,9
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.getBoundary()",0,9,n/a,8,0,0,1,1
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.getCharset()",0,14,n/a,8,0,0,1,1
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.getContentLength()",0,3,n/a,3,0,0,1,1
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.getContentTypeParameters()",0,13,n/a,8,0,0,1,1
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.getMediaType()",0,1,n/a,3,0,0,1,1
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.getMimeType()",0,23,n/a,8,0,0,1,1
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.getSubType()",0,2,n/a,3,0,0,1,1
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.getTransferEncoding()",0,5,n/a,8,0,0,1,1
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.parseContentType(String)",24,1,n/a,54,3,1,38,15
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor.toString()",0,1,n/a,4,0,0,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.MaximalBodyDescriptor()",1,1,n/a,3,0,0,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.MaximalBodyDescriptor(BodyDescriptor)",2,3,n/a,29,0,1,27,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.addField(Field)",19,31,n/a,23,1,1,18,15
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getContentDescription()",0,1,n/a,9,0,0,1,1
