Package,C(rec),LOC(rec),METH(rec)
"",136,18.391,946
"appended-resources",n/a,92,n/a
"javacc",6,2.459,36
"javacc.org",6,2.459,36
"javacc.org.apache",6,2.459,36
"javacc.org.apache.james",6,2.459,36
"javacc.org.apache.james.mime4j",6,2.459,36
"javacc.org.apache.james.mime4j.field",6,2.459,36
"javacc.org.apache.james.mime4j.field.contentdisposition",1,399,6
"javacc.org.apache.james.mime4j.field.contenttype",1,399,6
"javacc.org.apache.james.mime4j.field.datetime",1,506,6
"javacc.org.apache.james.mime4j.field.language",1,388,6
"javacc.org.apache.james.mime4j.field.mimeversion",1,359,6
"javacc.org.apache.james.mime4j.field.structured",1,408,6
"javadoc",n/a,29,n/a
"jjtree",1,517,6
"jjtree.org",1,517,6
"jjtree.org.apache",1,517,6
"jjtree.org.apache.james",1,517,6
"jjtree.org.apache.james.mime4j",1,517,6
"jjtree.org.apache.james.mime4j.field",1,517,6
"jjtree.org.apache.james.mime4j.field.address",1,517,6
"org",129,15.294,904
"org.apache",129,15.294,904
"org.apache.james",129,15.294,904
"org.apache.james.mime4j",129,15.294,904
"org.apache.james.mime4j.codec",13,2.055,105
"org.apache.james.mime4j.descriptor",5,766,54
"org.apache.james.mime4j.field",34,2.986,201
"org.apache.james.mime4j.field.address",9,991,65
"org.apache.james.mime4j.field.address.parser",1,23,0
"org.apache.james.mime4j.field.datetime",1,143,15
"org.apache.james.mime4j.io",11,1.093,77
"org.apache.james.mime4j.message",19,2.856,190
"org.apache.james.mime4j.parser",15,2.140,130
"org.apache.james.mime4j.storage",18,1.011,64
"org.apache.james.mime4j.util",12,2.291,78

