Chidamber-Kemerer metrics,Qui, 26 out 2017 14:38:07 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"org.apache.commons.lang3.AnnotationUtils",6,1,2,0,51,54
"org.apache.commons.lang3.ArrayUtils",31,1,4,0,278,602
"org.apache.commons.lang3.BitField",1,1,1,0,18,23
"org.apache.commons.lang3.BooleanUtils",5,1,19,0,50,125
"org.apache.commons.lang3.CharEncoding",1,1,1,0,2,2
"org.apache.commons.lang3.CharRange",4,1,6,0,20,25
"org.apache.commons.lang3.CharRange.CharacterIterator",1,1,2,0,8,14
"org.apache.commons.lang3.CharSequenceUtils",2,1,7,0,19,21
"org.apache.commons.lang3.CharSet",5,1,2,0,28,21
"org.apache.commons.lang3.CharSetUtils",4,1,1,0,17,21
"org.apache.commons.lang3.CharUtils",5,1,15,0,32,39
"org.apache.commons.lang3.ClassUtils",15,1,6,0,91,125
"org.apache.commons.lang3.EnumUtils",3,1,5,0,24,15
"org.apache.commons.lang3.JavaVersion",10,n/a,2,n/a,6,14
"org.apache.commons.lang3.LocaleUtils",2,1,4,0,32,30
"org.apache.commons.lang3.LocaleUtils.SyncAvoid",1,1,0,0,7,0
"org.apache.commons.lang3.ObjectUtils",15,1,10,0,66,55
"org.apache.commons.lang3.ObjectUtils.Null",2,1,1,0,3,2
"org.apache.commons.lang3.RandomStringUtils",2,1,1,0,20,26
"org.apache.commons.lang3.Range",2,1,1,0,36,47
"org.apache.commons.lang3.Range.ComparableComparator",1,n/a,1,n/a,2,1
"org.apache.commons.lang3.SerializationException",2,4,0,0,8,4
"org.apache.commons.lang3.SerializationUtils",9,1,2,0,22,13
"org.apache.commons.lang3.SerializationUtils.ClassLoaderAwareObjectInputStream",1,3,1,0,7,2
"org.apache.commons.lang3.StringEscapeUtils",12,1,12,0,30,13
"org.apache.commons.lang3.StringEscapeUtils.CsvEscaper",4,2,1,0,9,3
"org.apache.commons.lang3.StringEscapeUtils.CsvUnescaper",4,2,1,0,10,4
"org.apache.commons.lang3.StringUtils",28,1,26,0,251,604
"org.apache.commons.lang3.SystemUtils",15,1,9,0,23,19
"org.apache.commons.lang3.Validate",12,1,21,0,62,73
"org.apache.commons.lang3.builder.Builder",n/a,n/a,n/a,n/a,1,n/a
"org.apache.commons.lang3.builder.CompareToBuilder",6,1,1,0,53,134
"org.apache.commons.lang3.builder.EqualsBuilder",10,1,1,0,66,114
"org.apache.commons.lang3.builder.HashCodeBuilder",8,1,1,0,64,76
"org.apache.commons.lang3.builder.IDKey",2,1,0,0,4,5
"org.apache.commons.lang3.builder.ReflectionToStringBuilder",10,2,2,0,59,41
"org.apache.commons.lang3.builder.StandardToStringStyle",2,2,40,0,82,41
"org.apache.commons.lang3.builder.ToStringBuilder",22,1,8,1,95,69
"org.apache.commons.lang3.builder.ToStringStyle",22,1,1,8,155,209
"org.apache.commons.lang3.builder.ToStringStyle.DefaultToStringStyle",1,2,1,0,3,2
"org.apache.commons.lang3.builder.ToStringStyle.MultiLineToStringStyle",2,2,1,0,7,2
"org.apache.commons.lang3.builder.ToStringStyle.NoFieldNameToStringStyle",1,2,1,0,4,2
"org.apache.commons.lang3.builder.ToStringStyle.ShortPrefixToStringStyle",1,2,1,0,5,2
"org.apache.commons.lang3.builder.ToStringStyle.SimpleToStringStyle",1,2,1,0,8,2
"org.apache.commons.lang3.concurrent.AtomicInitializer",2,1,1,1,5,3
"org.apache.commons.lang3.concurrent.AtomicSafeInitializer",3,1,1,1,6,3
"org.apache.commons.lang3.concurrent.BackgroundInitializer",12,1,2,4,22,16
"org.apache.commons.lang3.concurrent.BackgroundInitializer.InitializationTask",1,1,1,0,4,3
