Package,C(rec),LOC(rec),METH(rec)
"",149,52.210,2.232
"org",149,52.210,2.232
"org.apache",149,52.210,2.232
"org.apache.commons",149,52.210,2.232
"org.apache.commons.lang3",149,52.210,2.232
"org.apache.commons.lang3.builder",14,7.121,355
"org.apache.commons.lang3.concurrent",18,2.465,103
"org.apache.commons.lang3.event",4,427,20
"org.apache.commons.lang3.exception",6,1.434,70
"org.apache.commons.lang3.math",3,2.501,93
"org.apache.commons.lang3.mutable",9,1.923,161
"org.apache.commons.lang3.reflect",5,2.491,85
"org.apache.commons.lang3.text",30,7.608,384
"org.apache.commons.lang3.text.translate",11,1.197,41
"org.apache.commons.lang3.time",26,4.584,214
"org.apache.commons.lang3.tuple",3,386,23

