Chidamber-Kemerer metrics,Qui, 26 out 2017 14:56:21 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"org.apache.commons.logging.Log",n/a,n/a,n/a,n/a,18,n/a
"org.apache.commons.logging.LogConfigurationException",3,0,1,0,5,6
"org.apache.commons.logging.LogFactory",4,0,4,1,35,133
"org.apache.commons.logging.LogSource",2,0,2,0,8,15
"org.apache.commons.logging.impl.AvalonLogger",1,0,2,0,22,35
"org.apache.commons.logging.impl.Jdk13LumberjackLogger",1,0,1,0,22,28
"org.apache.commons.logging.impl.Jdk14Logger",2,0,1,0,21,25
"org.apache.commons.logging.impl.Log4JLogger",1,0,1,0,22,24
"org.apache.commons.logging.impl.LogFactoryImpl",4,1,2,0,39,113
"org.apache.commons.logging.impl.LogKitLogger",1,0,1,0,20,31
"org.apache.commons.logging.impl.NoOpLog",2,0,18,0,20,20
"org.apache.commons.logging.impl.ServletContextCleaner",1,0,2,0,3,3
"org.apache.commons.logging.impl.SimpleLog",2,0,3,0,30,72
"org.apache.commons.logging.impl.WeakHashtable",3,0,3,0,22,33
"org.apache.commons.logging.impl.WeakHashtable.Entry",1,0,3,0,6,11
"org.apache.commons.logging.impl.WeakHashtable.Referenced",2,0,1,0,6,8
"org.apache.commons.logging.impl.WeakHashtable.WeakKey",2,0,1,0,2,2

