Class,OCavg,WMC
"org.apache.commons.logging.LogConfigurationException","1,20",6
"org.apache.commons.logging.LogFactory","4,16",133
"org.apache.commons.logging.LogSource","2,14",15
"org.apache.commons.logging.impl.AvalonLogger","1,59",35
"org.apache.commons.logging.impl.Jdk13LumberjackLogger","1,27",28
"org.apache.commons.logging.impl.Jdk14Logger","1,19",25
"org.apache.commons.logging.impl.Log4JLogger","1,09",24
"org.apache.commons.logging.impl.LogFactoryImpl","3,65",113
"org.apache.commons.logging.impl.LogKitLogger","1,55",31
"org.apache.commons.logging.impl.NoOpLog","1,00",20
"org.apache.commons.logging.impl.ServletContextCleaner","1,50",3
"org.apache.commons.logging.impl.SimpleLog","2,40",72
"org.apache.commons.logging.impl.WeakHashtable","1,74",33
"org.apache.commons.logging.impl.WeakHashtable.Entry","1,83",11
"org.apache.commons.logging.impl.WeakHashtable.Referenced","1,60",8
"org.apache.commons.logging.impl.WeakHashtable.WeakKey","1,00",2

