Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"javax.annotation.Generated",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"javax.annotation.PostConstruct",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"javax.annotation.PreDestroy",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"javax.annotation.Resource",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
"javax.annotation.Resource.AuthenticationType",2,2,0,2,0,n/a,0,0,4,4,n/a,0,0,n/a,0,0,0
"javax.annotation.Resources",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"javax.annotation.security.DeclareRoles",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"javax.annotation.security.DenyAll",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"javax.annotation.security.PermitAll",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"javax.annotation.security.RolesAllowed",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"javax.annotation.security.RunAs",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"javax.ejb.EJB",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a
"javax.ejb.EJBs",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"javax.el.ArrayELResolver",8,1,17,18,11,1,0,3,127,127,0,1,0,"3,10",6,13,31
"javax.el.BeanELResolver",13,2,18,20,18,1,0,3,252,242,0,0,1,"4,00",8,28,44
"javax.el.BeanELResolver.BeanProperties",7,2,4,6,18,0,0,1,33,33,0,0,0,"1,50",3,7,6
"javax.el.BeanELResolver.BeanProperty",5,5,7,12,18,0,0,1,48,47,0,0,0,"1,57",6,10,11
"javax.el.BeanELResolver.ConcurrentCache",1,3,3,6,0,0,0,1,27,27,0,0,0,"2,00",1,3,6
"javax.el.CompositeELResolver",9,2,16,18,12,1,0,1,110,107,0,0,1,"2,56",6,18,23
"javax.el.CompositeELResolver.FeatureIterator",3,7,5,12,10,0,0,2,51,51,0,0,0,"2,20",2,6,11
"javax.el.ELContext",40,3,10,13,9,0,0,6,47,39,3,0,0,"1,43",6,10,10
"javax.el.ELContextEvent",3,1,2,3,10,0,0,1,15,9,0,0,0,"1,00",1,2,2
