Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.cassandra.auth.IAuthenticator",0,1,1,2,315
"org.apache.cassandra.auth.IAuthority",0,1,1,2,315
"org.apache.cassandra.cache.ICache",0,0,0,1,315
"org.apache.cassandra.cache.IRowCacheProvider",109,2,200,3,314
"org.apache.cassandra.cache.InstrumentingCacheMBean",0,0,0,2,4
"org.apache.cassandra.concurrent.IExecutorMBean",0,0,0,3,3
"org.apache.cassandra.concurrent.JMXConfigurableThreadPoolExecutorMBean",0,0,0,0,0
"org.apache.cassandra.concurrent.JMXEnabledThreadPoolExecutorMBean",0,0,0,4,7
"org.apache.cassandra.db.ColumnFamilyStoreMBean",0,1,1,4,5
"org.apache.cassandra.db.HintedHandOffManagerMBean",0,0,0,0,0
"org.apache.cassandra.db.IColumn",109,4,200,17,314
"org.apache.cassandra.db.IColumnContainer",0,1,201,0,0
"org.apache.cassandra.db.IFlushable",0,1,201,0,0
"org.apache.cassandra.db.IMutation",0,0,0,4,4
"org.apache.cassandra.db.columniterator.IColumnIterator",109,3,200,15,314
"org.apache.cassandra.db.columniterator.IndexedSliceReader.BlockFetcher",0,0,0,3,3
"org.apache.cassandra.db.commitlog.BatchCommitLogExecutorServiceMBean",0,1,1,0,0
"org.apache.cassandra.db.commitlog.ICommitLogExecutorService",0,1,1,0,0
"org.apache.cassandra.db.commitlog.PeriodicCommitLogExecutorServiceMBean",0,1,1,0,0
"org.apache.cassandra.db.compaction.CompactionInfo.Holder",0,1,1,2,315
"org.apache.cassandra.db.compaction.CompactionManagerMBean",0,0,0,3,4
"org.apache.cassandra.db.context.IContext",0,1,1,0,0
"org.apache.cassandra.db.filter.IFilter",0,4,201,0,0
"org.apache.cassandra.db.marshal.AbstractCompositeType.ParsedComparator",0,0,0,1,1
"org.apache.cassandra.dht.IPartitioner",109,1,200,21,314
"org.apache.cassandra.gms.FailureDetectorMBean",0,0,0,0,0
"org.apache.cassandra.gms.IEndpointStateChangeSubscriber",0,0,0,0,0
"org.apache.cassandra.gms.IFailureDetectionEventListener",0,0,0,0,0
"org.apache.cassandra.gms.IFailureDetector",0,0,0,1,1
"org.apache.cassandra.gms.IFailureNotification",0,0,0,0,0
"org.apache.cassandra.io.IColumnSerializer",109,2,200,10,314
"org.apache.cassandra.io.ICompactSerializer",0,0,0,50,335
"org.apache.cassandra.io.ICompactSerializer2",0,0,0,13,321
"org.apache.cassandra.io.ICompactSerializer3",0,0,0,2,5
"org.apache.cassandra.io.sstable.SSTableLoader.OutputHandler",0,0,0,5,315
"org.apache.cassandra.io.util.FileDataInput",0,0,0,13,334
"org.apache.cassandra.io.util.FileMark",0,0,0,6,16
"org.apache.cassandra.io.util.IIterableColumns",109,2,200,3,314
"org.apache.cassandra.locator.DynamicEndpointSnitchMBean",0,0,0,0,0
"org.apache.cassandra.locator.EndpointSnitchInfoMBean",0,0,0,1,3
"org.apache.cassandra.locator.IEndpointSnitch",0,0,0,5,315
"org.apache.cassandra.locator.ILatencySubscriber",0,0,0,1,315
"org.apache.cassandra.locator.SeedProvider",0,0,0,0,0
"org.apache.cassandra.net.IAsyncCallback",0,0,0,8,16
"org.apache.cassandra.net.IAsyncResult",0,0,0,1,315
"org.apache.cassandra.net.IMessageCallback",0,0,0,0,0
"org.apache.cassandra.net.IVerbHandler",0,0,0,18,315
"org.apache.cassandra.net.MessageProducer",0,0,0,10,315
"org.apache.cassandra.net.MessagingServiceMBean",0,0,0,2,4
"org.apache.cassandra.net.sink.IMessageSink",0,1,201,0,0
"org.apache.cassandra.scheduler.IRequestScheduler",0,0,0,2,315
"org.apache.cassandra.service.CassandraDaemon",0,0,0,0,0
"org.apache.cassandra.service.IReadCommand",0,0,0,2,7
"org.apache.cassandra.service.IResponseResolver",0,1,201,0,0
"org.apache.cassandra.service.IWriteResponseHandler",0,1,1,0,0
"org.apache.cassandra.service.StorageProxy.WritePerformer",0,0,0,1,8
"org.apache.cassandra.service.StorageProxyMBean",0,0,0,0,0
"org.apache.cassandra.service.StorageServiceMBean",0,3,201,1,3
"org.apache.cassandra.streaming.StreamingServiceMBean",0,0,0,1,3
"org.apache.cassandra.utils.CloseableIterator",0,0,0,0,0

