Package,v(G)avg,v(G)tot
"java.org.apache.cassandra.auth","3,40",51
"java.org.apache.cassandra.cache","1,54",106
"java.org.apache.cassandra.cli","4,64",552
"java.org.apache.cassandra.client","2,80",14
"java.org.apache.cassandra.concurrent","1,31",88
"java.org.apache.cassandra.config","1,93",401
"java.org.apache.cassandra.cql","2,48",447
"java.org.apache.cassandra.db","2,16",1.418
"java.org.apache.cassandra.db.columniterator","3,20",112
"java.org.apache.cassandra.db.commitlog","2,23",163
"java.org.apache.cassandra.db.compaction","2,69",288
"java.org.apache.cassandra.db.context","3,92",141
"java.org.apache.cassandra.db.filter","2,12",89
"java.org.apache.cassandra.db.marshal","2,00",633
"java.org.apache.cassandra.db.migration","2,08",137
"java.org.apache.cassandra.dht","1,95",251
"java.org.apache.cassandra.gms","2,04",322
"java.org.apache.cassandra.hadoop","2,04",184
"java.org.apache.cassandra.io","1,00",8
"java.org.apache.cassandra.io.sstable","2,08",490
"java.org.apache.cassandra.io.util","1,68",274
"java.org.apache.cassandra.locator","2,19",283
"java.org.apache.cassandra.net","1,94",202
"java.org.apache.cassandra.net.sink","2,50",10
"java.org.apache.cassandra.scheduler","1,82",20
"java.org.apache.cassandra.security","1,25",5
"java.org.apache.cassandra.security.streaming","1,00",8
"java.org.apache.cassandra.service","2,63",988
"java.org.apache.cassandra.streaming","2,10",181
"java.org.apache.cassandra.thrift","3,67",455
"java.org.apache.cassandra.tools","2,71",409
"java.org.apache.cassandra.utils","1,95",630
"java.org.apache.cassandra.utils.obs","2,23",163

