Class,CBO,CSA,CSO,CSOA,Dcy,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.eclipse.jdt.core.BufferChangedEvent",4,4,5,9,1,0,0,4,97,24,0,0,0,"1,00",4,5,5
"org.eclipse.jdt.core.ClasspathContainerInitializer",6,0,6,6,2,0,0,5,163,20,1,0,0,"1,20",3,6,6
"org.eclipse.jdt.core.ClasspathVariableInitializer",1,0,2,2,0,0,0,1,37,5,0,0,0,"1,00",0,2,1
"org.eclipse.jdt.core.CompletionProposal",9,35,38,73,4,1,0,9,1.173,179,0,14,0,"1,62",14,29,39
"org.eclipse.jdt.core.CompletionRequestor",17,1,7,8,2,0,0,5,143,30,3,0,0,"1,50",1,7,9
"org.eclipse.jdt.core.CompletionRequestorAdapter",2,0,28,28,2,0,1,14,193,127,0,0,0,"1,00",0,14,14
"org.eclipse.jdt.core.CorrectionEngine",20,13,6,19,20,0,1,1,354,224,0,0,0,"5,29",1,24,37
"org.eclipse.jdt.core.ElementChangedEvent",5,5,3,8,1,0,0,2,105,17,0,0,0,"1,00",2,3,3
"org.eclipse.jdt.core.Flags",24,20,20,40,1,0,0,18,372,108,0,0,0,"1,60",19,20,32
"org.eclipse.jdt.core.IBuffer",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20,n/a
"org.eclipse.jdt.core.IBufferChangedListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.eclipse.jdt.core.IBufferFactory",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.eclipse.jdt.core.IClassFile",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
"org.eclipse.jdt.core.IClasspathContainer",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"org.eclipse.jdt.core.IClasspathEntry",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,n/a
"org.eclipse.jdt.core.ICodeAssist",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,n/a
"org.eclipse.jdt.core.ICodeCompletionRequestor",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11,n/a
"org.eclipse.jdt.core.ICodeFormatter",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.eclipse.jdt.core.ICompilationUnit",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,27,n/a
