Class,OCavg,WMC
"org.eclipse.jdt.core.BufferChangedEvent","1,00",5
"org.eclipse.jdt.core.CheckDebugAttributes","3,25",13
"org.eclipse.jdt.core.ClasspathContainerInitializer","1,20",6
"org.eclipse.jdt.core.ClasspathVariableInitializer","1,00",1
"org.eclipse.jdt.core.CompletionProposal","1,62",39
"org.eclipse.jdt.core.CompletionRequestor","1,50",9
"org.eclipse.jdt.core.CompletionRequestorAdapter","1,00",14
"org.eclipse.jdt.core.CorrectionEngine","5,29",37
"org.eclipse.jdt.core.ElementChangedEvent","1,00",3
"org.eclipse.jdt.core.Flags","1,60",32
"org.eclipse.jdt.core.JDTCompilerAdapter","17,00",51
"org.eclipse.jdt.core.JavaConventions","4,15",54
"org.eclipse.jdt.core.JavaCore","2,75",212
"org.eclipse.jdt.core.JavaModelException","1,67",15
"org.eclipse.jdt.core.NamingConventions","2,09",46
"org.eclipse.jdt.core.NamingConventions.NamingRequestor","3,80",19
"org.eclipse.jdt.core.Signature","4,87",370
"org.eclipse.jdt.core.ToolFactory","2,60",26
"org.eclipse.jdt.core.WorkingCopyOwner","1,00",2
"org.eclipse.jdt.core.compiler.CharOperation","5,35",278
"org.eclipse.jdt.core.compiler.InvalidInputException","1,00",2
"org.eclipse.jdt.core.dom.AST","1,44",181
"org.eclipse.jdt.core.dom.ASTConverter","6,25",981
"org.eclipse.jdt.core.dom.ASTMatcher","2,69",239
"org.eclipse.jdt.core.dom.ASTNode","3,75",199
"org.eclipse.jdt.core.dom.ASTNode.NodeList","2,18",24
"org.eclipse.jdt.core.dom.ASTNode.NodeList.Cursor","1,25",5
"org.eclipse.jdt.core.dom.ASTParser","3,45",69
"org.eclipse.jdt.core.dom.ASTRequestor","1,50",6
"org.eclipse.jdt.core.dom.ASTSyntaxErrorPropagator","1,75",14
"org.eclipse.jdt.core.dom.ASTVisitor","1,00",170
"org.eclipse.jdt.core.dom.AbstractTypeDeclaration","1,23",16
"org.eclipse.jdt.core.dom.Annotation","1,27",14
"org.eclipse.jdt.core.dom.AnnotationTypeDeclaration","1,53",26
"org.eclipse.jdt.core.dom.AnnotationTypeMemberDeclaration","2,05",43
"org.eclipse.jdt.core.dom.AnonymousClassDeclaration","1,17",14
"org.eclipse.jdt.core.dom.ArrayAccess","1,93",27
"org.eclipse.jdt.core.dom.ArrayCreation","1,69",27
"org.eclipse.jdt.core.dom.ArrayInitializer","1,18",13
"org.eclipse.jdt.core.dom.ArrayType","1,64",23
"org.eclipse.jdt.core.dom.AssertStatement","1,71",24
"org.eclipse.jdt.core.dom.Assignment","1,94",33
"org.eclipse.jdt.core.dom.Assignment.Operator","1,33",4
