Martin packaging metrics,Qui, 26 out 2017 17:46:13 BRST
Package,A,Ca,Ce,D,I
"org.eclipse.jdt.core","0,75",279,94,"0,01","0,25"
"org.eclipse.jdt.core.compiler","0,60",67,2,"0,37","0,03"
"org.eclipse.jdt.core.dom","0,14",257,218,"0,40","0,47"
"org.eclipse.jdt.core.dom.rewrite","0,33",4,6,"0,07","0,60"
"org.eclipse.jdt.core.eval","1,00",7,3,"0,30","0,30"
"org.eclipse.jdt.core.formatter","0,50",8,3,"0,23","0,27"
"org.eclipse.jdt.core.jdom","0,83",33,14,"0,13","0,30"
"org.eclipse.jdt.core.search","0,39",54,47,"0,14","0,46"
"org.eclipse.jdt.core.util","0,90",69,30,"0,21","0,30"
"org.eclipse.jdt.internal.antadapter","0,00",1,0,"1,00","0,00"
"org.eclipse.jdt.internal.codeassist","0,50",16,39,"0,21","0,71"
"org.eclipse.jdt.internal.codeassist.complete","0,03",62,100,"0,35","0,62"
"org.eclipse.jdt.internal.codeassist.impl","0,75",11,15,"0,33","0,58"
"org.eclipse.jdt.internal.codeassist.select","0,00",26,69,"0,27","0,73"
"org.eclipse.jdt.internal.compiler","0,35",101,60,"0,28","0,39"
"org.eclipse.jdt.internal.compiler.ast","0,15",805,605,"0,42","0,43"
"org.eclipse.jdt.internal.compiler.batch","0,12",10,24,"0,17","0,74"
"org.eclipse.jdt.internal.compiler.classfmt","0,29",38,28,"0,29","0,42"
"org.eclipse.jdt.internal.compiler.codegen","0,13",31,25,"0,42","0,45"
"org.eclipse.jdt.internal.compiler.env","0,88",154,15,"0,03","0,09"
"org.eclipse.jdt.internal.compiler.flow","0,09",21,41,"0,25","0,66"
"org.eclipse.jdt.internal.compiler.impl","0,23",67,35,"0,43","0,34"
"org.eclipse.jdt.internal.compiler.lookup","0,25",387,166,"0,44","0,30"
"org.eclipse.jdt.internal.compiler.parser","0,17",104,70,"0,43","0,40"
"org.eclipse.jdt.internal.compiler.parser.diagnose","0,00",10,14,"0,42","0,76"
"org.eclipse.jdt.internal.compiler.problem","0,10",68,34,"0,57","0,33"
"org.eclipse.jdt.internal.compiler.util","0,12",66,12,"0,73","0,15"
"org.eclipse.jdt.internal.core","0,13",292,523,"0,22","0,64"
"org.eclipse.jdt.internal.core.builder","0,08",30,76,"0,20","0,72"
"org.eclipse.jdt.internal.core.dom.rewrite","0,12",46,51,"0,35","0,50"
"org.eclipse.jdt.internal.core.eval","0,00",3,18,"0,14","0,86"
"org.eclipse.jdt.internal.core.hierarchy","0,17",16,56,"0,06","0,80"
"org.eclipse.jdt.internal.core.index","0,00",9,18,"0,33","0,69"
"org.eclipse.jdt.internal.core.jdom","0,20",18,71,"0,00","0,80"
"org.eclipse.jdt.internal.core.search","0,21",32,72,"0,09","0,69"
"org.eclipse.jdt.internal.core.search.indexing","0,19",31,75,"0,10","0,71"
"org.eclipse.jdt.internal.core.search.matching","0,08",76,263,"0,14","0,77"
"org.eclipse.jdt.internal.core.search.processing","1,00",9,2,"0,18","0,18"
"org.eclipse.jdt.internal.core.util","0,11",87,117,"0,32","0,59"
"org.eclipse.jdt.internal.eval","0,11",34,138,"0,09","0,81"
"org.eclipse.jdt.internal.formatter","0,00",14,41,"0,25","0,75"
"org.eclipse.jdt.internal.formatter.align","0,00",4,2,"0,67","0,33"
"org.eclipse.jdt.internal.formatter.old","0,00",1,5,"0,17","0,83"

