Chidamber-Kemerer metrics,Sex, 27 out 2017 11:24:10 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"com.google.common.annotations.Beta",n/a,n/a,n/a,n/a,0,n/a
"com.google.common.annotations.GwtCompatible",n/a,n/a,n/a,n/a,2,n/a
"com.google.common.annotations.GwtIncompatible",n/a,n/a,n/a,n/a,1,n/a
"com.google.common.annotations.VisibleForTesting",n/a,n/a,n/a,n/a,0,n/a
"com.google.common.base.Absent",5,2,9,0,18,12
"com.google.common.base.Absent_CustomFieldSerializer",1,1,3,0,3,3
"com.google.common.base.AbstractIterator",6,1,2,8,10,11
"com.google.common.base.AbstractIterator.State",1,n/a,0,n/a,0,0
"com.google.common.base.Ascii",9,1,2,0,12,11
"com.google.common.base.CaseFormat",3,n/a,1,n/a,22,28
"com.google.common.base.CharMatcher",27,1,5,23,76,150
"com.google.common.base.CharMatcher.And",2,2,1,0,12,5
"com.google.common.base.CharMatcher.BitSetMatcher",2,3,1,0,6,3
"com.google.common.base.CharMatcher.FastMatcher",5,2,2,10,7,4
"com.google.common.base.CharMatcher.NegatedFastMatcher",3,3,2,0,6,4
"com.google.common.base.CharMatcher.NegatedMatcher",2,2,1,1,19,9
"com.google.common.base.CharMatcher.Or",2,2,1,0,9,5
"com.google.common.base.Charsets",11,1,0,0,2,1
"com.google.common.base.Defaults",2,1,2,0,7,3
"com.google.common.base.Enums",5,1,3,0,13,4
"com.google.common.base.Enums.ValueOfFunction",3,1,1,0,9,5
"com.google.common.base.Equivalence",39,1,7,8,15,12
"com.google.common.base.Equivalence.Equals",1,2,3,0,5,3
"com.google.common.base.Equivalence.EquivalentToPredicate",4,1,1,0,10,7
"com.google.common.base.Equivalence.Identity",1,2,3,0,4,3
"com.google.common.base.Equivalence.Wrapper",3,1,1,0,9,7
"com.google.common.base.FinalizablePhantomReference",2,3,0,0,3,1
"com.google.common.base.FinalizableReference",n/a,n/a,n/a,n/a,1,n/a
"com.google.common.base.FinalizableReferenceQueue",13,1,3,0,19,9
"com.google.common.base.FinalizableReferenceQueue.DecoupledLoader",3,1,1,1,17,5
"com.google.common.base.FinalizableReferenceQueue.DirectLoader",2,1,1,0,3,1
"com.google.common.base.FinalizableReferenceQueue.FinalizerLoader",n/a,n/a,n/a,n/a,1,n/a
"com.google.common.base.FinalizableReferenceQueue.SystemLoader",3,1,1,0,4,3
"com.google.common.base.FinalizableSoftReference",2,3,0,0,3,1
"com.google.common.base.FinalizableWeakReference",5,3,0,4,3,1
"com.google.common.base.Function",n/a,n/a,n/a,n/a,2,n/a
"com.google.common.base.FunctionalEquivalence",4,2,1,0,13,8
"com.google.common.base.Functions",31,1,8,0,15,9
"com.google.common.base.Functions.ConstantFunction",3,1,1,0,7,7
"com.google.common.base.Functions.ForMapWithDefault",4,1,1,0,11,7
"com.google.common.base.Functions.FunctionComposition",3,1,1,0,10,6
"com.google.common.base.Functions.FunctionForMapNoDefault",3,1,1,0,11,6
"com.google.common.base.Functions.IdentityFunction",2,n/a,1,n/a,2,2
"com.google.common.base.Functions.PredicateFunction",4,1,1,0,9,6
"com.google.common.base.Functions.SupplierFunction",4,1,1,0,9,6
"com.google.common.base.Functions.ToStringFunction",3,n/a,1,n/a,4,2
"com.google.common.base.GwtSerializationDependencies",0,1,0,0,1,1
"com.google.common.base.GwtSerializationDependencies.OptionalDependencies",3,2,8,0,14,12
"com.google.common.base.Joiner",37,1,5,2,37,43
"com.google.common.base.Joiner.MapJoiner",8,1,1,0,27,16
"com.google.common.base.MediumCharMatcher",5,3,1,0,12,19
"com.google.common.base.Objects",77,1,4,0,17,10
"com.google.common.base.Objects.ToStringHelper",13,1,2,0,34,23
"com.google.common.base.Objects.ToStringHelper.ValueHolder",1,1,0,0,1,0
"com.google.common.base.Optional",26,1,9,3,18,10
"com.google.common.base.PairwiseEquivalence",3,2,1,0,14,10
"com.google.common.base.PairwiseEquivalence_CustomFieldSerializer",2,1,3,0,8,5
"com.google.common.base.Platform",3,1,3,0,8,5
"com.google.common.base.Preconditions",495,1,7,0,36,41
"com.google.common.base.Predicate",n/a,n/a,n/a,n/a,2,n/a
"com.google.common.base.Predicates",30,1,13,0,38,24
"com.google.common.base.Predicates.AndPredicate",3,1,1,0,11,8
"com.google.common.base.Predicates.AssignableFromPredicate",3,1,1,0,9,6
"com.google.common.base.Predicates.CompositionPredicate",4,1,1,0,12,6
"com.google.common.base.Predicates.ContainsPatternPredicate",5,1,1,0,18,7
"com.google.common.base.Predicates.InPredicate",3,1,1,0,9,6
"com.google.common.base.Predicates.InstanceOfPredicate",3,1,1,0,9,6
"com.google.common.base.Predicates.IsEqualToPredicate",2,1,1,0,7,6
"com.google.common.base.Predicates.NotPredicate",3,1,1,0,10,6
