Class,OCavg,WMC
"com.google.common.base.Absent","1,00",12
"com.google.common.base.Absent_CustomFieldSerializer","1,00",3
"com.google.common.base.AbstractIterator","1,83",11
"com.google.common.base.AbstractIterator.State",n/a,0
"com.google.common.base.Ascii","1,57",11
"com.google.common.base.CaseFormat","5,60",28
"com.google.common.base.CharMatcher","1,67",150
"com.google.common.base.CharMatcher.And","1,00",5
"com.google.common.base.CharMatcher.BitSetMatcher","1,00",3
"com.google.common.base.CharMatcher.FastMatcher","1,00",4
"com.google.common.base.CharMatcher.NegatedFastMatcher","1,00",4
"com.google.common.base.CharMatcher.NegatedMatcher","1,00",9
"com.google.common.base.CharMatcher.Or","1,00",5
"com.google.common.base.Charsets","1,00",1
"com.google.common.base.Defaults","1,00",3
"com.google.common.base.Enums","1,00",4
"com.google.common.base.Enums.ValueOfFunction","1,00",5
"com.google.common.base.Equivalence","1,33",12
"com.google.common.base.Equivalence.Equals","1,00",3
"com.google.common.base.Equivalence.EquivalentToPredicate","1,40",7
"com.google.common.base.Equivalence.Identity","1,00",3
"com.google.common.base.Equivalence.Wrapper","1,40",7
"com.google.common.base.FinalizablePhantomReference","1,00",1
"com.google.common.base.FinalizableReferenceQueue","1,80",9
"com.google.common.base.FinalizableReferenceQueue.DecoupledLoader","1,67",5
"com.google.common.base.FinalizableReferenceQueue.DirectLoader","1,00",1
"com.google.common.base.FinalizableReferenceQueue.SystemLoader","3,00",3
"com.google.common.base.FinalizableSoftReference","1,00",1
"com.google.common.base.FinalizableWeakReference","1,00",1
"com.google.common.base.FunctionalEquivalence","1,33",8
"com.google.common.base.Functions","1,00",9
"com.google.common.base.Functions.ConstantFunction","1,40",7
"com.google.common.base.Functions.ForMapWithDefault","1,40",7
"com.google.common.base.Functions.FunctionComposition","1,20",6
"com.google.common.base.Functions.FunctionForMapNoDefault","1,20",6
"com.google.common.base.Functions.IdentityFunction","1,00",2
"com.google.common.base.Functions.PredicateFunction","1,20",6
"com.google.common.base.Functions.SupplierFunction","1,20",6
"com.google.common.base.Functions.ToStringFunction","1,00",2
"com.google.common.base.GwtSerializationDependencies","1,00",1
"com.google.common.base.GwtSerializationDependencies.OptionalDependencies","1,00",12
"com.google.common.base.Joiner","1,34",43
"com.google.common.base.Joiner.MapJoiner","1,14",16
"com.google.common.base.MediumCharMatcher","3,17",19
"com.google.common.base.Objects","1,25",10
"com.google.common.base.Objects.ToStringHelper","1,15",23
"com.google.common.base.Objects.ToStringHelper.ValueHolder",n/a,0
"com.google.common.base.Optional","1,43",10
"com.google.common.base.PairwiseEquivalence","1,67",10
"com.google.common.base.PairwiseEquivalence_CustomFieldSerializer","1,00",5
"com.google.common.base.Platform","1,00",5
"com.google.common.base.Preconditions","2,16",41
"com.google.common.base.Predicates","1,09",24
"com.google.common.base.Predicates.AndPredicate","1,60",8
"com.google.common.base.Predicates.AssignableFromPredicate","1,20",6
"com.google.common.base.Predicates.CompositionPredicate","1,20",6
"com.google.common.base.Predicates.ContainsPatternPredicate","1,17",7
"com.google.common.base.Predicates.InPredicate","1,20",6
"com.google.common.base.Predicates.InstanceOfPredicate","1,20",6
"com.google.common.base.Predicates.IsEqualToPredicate","1,20",6
"com.google.common.base.Predicates.NotPredicate","1,20",6
