Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"com.google.common.base.Absent",2,4,8,2,1.492
"com.google.common.base.Absent_CustomFieldSerializer",0,1,9,0,0
"com.google.common.base.AbstractIterator",0,2,3,4,1.504
"com.google.common.base.AbstractIterator.State",0,0,0,1,1.505
"com.google.common.base.Ascii",0,0,0,9,1.487
"com.google.common.base.CaseFormat",0,2,14,1,1
"com.google.common.base.CharMatcher",9,11,12,23,1.519
"com.google.common.base.CharMatcher.And",9,2,12,1,1.519
"com.google.common.base.CharMatcher.BitSetMatcher",9,1,12,1,1.519
"com.google.common.base.CharMatcher.FastMatcher",9,2,12,3,1.519
"com.google.common.base.CharMatcher.NegatedFastMatcher",9,2,12,2,1.519
"com.google.common.base.CharMatcher.NegatedMatcher",9,1,12,2,1.519
"com.google.common.base.CharMatcher.Or",9,2,12,1,1.519
"com.google.common.base.Charsets",0,0,0,11,150
"com.google.common.base.Defaults",0,0,0,2,137
"com.google.common.base.Enums",0,4,10,1,1
"com.google.common.base.Enums.ValueOfFunction",0,2,3,1,2
"com.google.common.base.Equivalence",6,8,13,37,1.493
"com.google.common.base.Equivalence.Equals",6,1,13,1,1.493
"com.google.common.base.Equivalence.EquivalentToPredicate",6,4,13,1,1.493
"com.google.common.base.Equivalence.Identity",6,1,13,1,1.493
"com.google.common.base.Equivalence.Wrapper",6,2,13,2,1.493
"com.google.common.base.FinalizablePhantomReference",0,2,6,0,0
"com.google.common.base.FinalizableReferenceQueue",3,5,5,11,11
"com.google.common.base.FinalizableReferenceQueue.DecoupledLoader",3,2,5,2,11
"com.google.common.base.FinalizableReferenceQueue.DirectLoader",3,2,5,1,11
"com.google.common.base.FinalizableReferenceQueue.SystemLoader",3,2,5,2,11
"com.google.common.base.FinalizableSoftReference",0,2,6,0,0
"com.google.common.base.FinalizableWeakReference",0,2,6,3,4
"com.google.common.base.FunctionalEquivalence",6,4,13,1,1.493
"com.google.common.base.Functions",0,11,16,20,34
"com.google.common.base.Functions.ConstantFunction",0,2,6,1,35
"com.google.common.base.Functions.ForMapWithDefault",0,3,6,1,35
"com.google.common.base.Functions.FunctionComposition",0,2,3,1,35
"com.google.common.base.Functions.FunctionForMapNoDefault",0,2,3,1,35
"com.google.common.base.Functions.IdentityFunction",0,1,1,1,35
"com.google.common.base.Functions.PredicateFunction",0,3,4,1,35
