Martin packaging metrics,Sex, 27 out 2017 11:25:22 BRST
Package,A,Ca,Ce,D,I
"com.google.common.annotations","1,00",0,0,"1,00","1,00"
"com.google.common.base","0,19",194,74,"0,54","0,18"
"com.google.common.base.internal","0,00",2,1,"0,67","0,50"
"com.google.common.cache","0,31",88,122,"0,11","0,57"
"com.google.common.collect","0,22",768,808,"0,27","0,46"
"com.google.common.collect.testing","0,00",1,0,"1,00","0,00"
"com.google.common.eventbus","0,30",11,14,"0,14","0,57"
"com.google.common.hash","0,31",44,50,"0,16","0,49"
"com.google.common.io","0,25",30,25,"0,30","0,46"
"com.google.common.math","0,00",11,11,"0,50","0,50"
"com.google.common.net","0,00",9,18,"0,33","0,68"
"com.google.common.primitives","0,00",61,60,"0,50","0,44"
"com.google.common.reflect","0,31",31,51,"0,07","0,58"
"com.google.common.util.concurrent","0,40",103,124,"0,06","0,49"

