Chidamber-Kemerer metrics,Sex, 27 out 2017 13:56:12 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"com.loomcom.ant.tasks.jarbundler.AppBundleProperties",2,0,23,0,44,47
"com.loomcom.ant.tasks.jarbundler.AppBundleProperties.DocumentType",1,0,5,0,5,5
"com.loomcom.ant.tasks.jarbundler.AppBundleProperties.Service",1,0,5,0,5,5
"com.loomcom.ant.tasks.jarbundler.JarBundler",3,0,1,0,48,103
"com.loomcom.ant.tasks.jarbundler.JarBundler.JarFileList",1,0,1,0,1,1
"com.loomcom.ant.tasks.jarbundler.JarBundler.JarFileSet",1,0,1,0,1,1
"com.microstar.xml.HandlerBase",2,0,13,0,14,13
"com.microstar.xml.XmlException",2,0,4,0,5,5
"com.microstar.xml.XmlHandler",n/a,n/a,n/a,n/a,13,n/a
"com.microstar.xml.XmlParser",1,0,1,0,117,448
"doclet.GenerateTocXML",1,0,1,0,3,6
"gnu.regexp.CharIndexed",n/a,n/a,n/a,n/a,3,n/a
"gnu.regexp.CharIndexedCharArray",1,0,1,0,4,5
"gnu.regexp.CharIndexedInputStream",0,0,1,0,5,20
"gnu.regexp.CharIndexedReader",0,0,1,0,5,20
"gnu.regexp.CharIndexedString",0,0,1,0,4,5
"gnu.regexp.CharIndexedStringBuffer",0,0,1,0,4,5
"gnu.regexp.CharUnit",1,0,0,0,0,0
"gnu.regexp.IntPair",1,0,0,0,0,0
"gnu.regexp.RE",5,0,2,0,46,205
"gnu.regexp.REException",0,0,2,0,4,4
"gnu.regexp.REFilterInputStream",1,0,2,0,5,13
"gnu.regexp.REFilterReader",1,0,2,0,5,13
"gnu.regexp.REMatch",1,0,1,0,15,31
"gnu.regexp.REMatchEnumeration",0,0,1,0,6,12
"gnu.regexp.RESyntax",0,0,1,0,8,11
"gnu.regexp.REToken",0,0,2,0,8,9
"gnu.regexp.RETokenAny",0,0,3,0,4,5
"gnu.regexp.RETokenBackRef",0,0,1,0,3,6
"gnu.regexp.RETokenChar",1,0,1,0,5,10
"gnu.regexp.RETokenEnd",0,0,2,0,3,8
"gnu.regexp.RETokenEndSub",0,0,2,0,3,3
"gnu.regexp.RETokenLookAhead",0,0,1,0,3,10
"gnu.regexp.RETokenOneOf",0,0,1,0,5,21
"gnu.regexp.RETokenPOSIX",1,0,2,0,5,23
"gnu.regexp.RETokenRange",0,0,2,0,4,9
"gnu.regexp.RETokenRepeated",0,0,1,0,7,31
"gnu.regexp.RETokenStart",0,0,2,0,3,12
"gnu.regexp.RETokenWordBoundary",0,0,1,0,3,13
"gnu.regexp.UncheckedRE",0,0,0,0,3,3
"org.gjt.sp.jedit.Abbrevs",4,0,1,0,20,53
"org.gjt.sp.jedit.Abbrevs.Expansion",1,0,0,0,1,13
"org.gjt.sp.jedit.AbstractOptionPane",0,0,7,0,15,18
"org.gjt.sp.jedit.ActionContext",1,0,2,0,7,11
"org.gjt.sp.jedit.ActionListHandler",1,0,3,0,12,26
"org.gjt.sp.jedit.ActionSet",3,0,3,0,22,41
"org.gjt.sp.jedit.Autosave",2,0,2,0,5,10
"org.gjt.sp.jedit.BeanShell",4,0,1,0,28,55
"org.gjt.sp.jedit.BeanShell.CustomClassManager",1,0,2,0,4,9
"org.gjt.sp.jedit.BeanShellAction",2,0,4,0,9,11
"org.gjt.sp.jedit.Buffer",11,0,9,0,67,196
"org.gjt.sp.jedit.Buffer.TokenList",1,0,1,0,1,1
"org.gjt.sp.jedit.BufferHistory",5,0,2,0,12,32
