Class,OCavg,WMC
"com.loomcom.ant.tasks.jarbundler.AppBundleProperties","1,07",47
"com.loomcom.ant.tasks.jarbundler.AppBundleProperties.DocumentType","1,00",5
"com.loomcom.ant.tasks.jarbundler.AppBundleProperties.Service","1,00",5
"com.loomcom.ant.tasks.jarbundler.JarBundler","2,15",103
"com.loomcom.ant.tasks.jarbundler.JarBundler.JarFileList","1,00",1
"com.loomcom.ant.tasks.jarbundler.JarBundler.JarFileSet","1,00",1
"com.microstar.xml.HandlerBase","1,00",13
"com.microstar.xml.XmlException","1,00",5
"com.microstar.xml.XmlParser","3,83",448
"doclet.GenerateTocXML","2,00",6
"gnu.regexp.CharIndexedCharArray","1,25",5
"gnu.regexp.CharIndexedInputStream","4,00",20
"gnu.regexp.CharIndexedReader","4,00",20
"gnu.regexp.CharIndexedString","1,25",5
"gnu.regexp.CharIndexedStringBuffer","1,25",5
"gnu.regexp.CharUnit",n/a,0
"gnu.regexp.IntPair",n/a,0
"gnu.regexp.RE","4,46",205
"gnu.regexp.REException","1,00",4
"gnu.regexp.REFilterInputStream","2,60",13
"gnu.regexp.REFilterReader","2,60",13
"gnu.regexp.REMatch","2,21",31
"gnu.regexp.REMatchEnumeration","2,00",12
"gnu.regexp.RESyntax","1,38",11
"gnu.regexp.REToken","1,50",9
"gnu.regexp.RETokenAny","1,25",5
"gnu.regexp.RETokenBackRef","2,00",6
"gnu.regexp.RETokenChar","2,00",10
"gnu.regexp.RETokenEnd","2,67",8
"gnu.regexp.RETokenEndSub","1,00",3
"gnu.regexp.RETokenLookAhead","3,33",10
"gnu.regexp.RETokenOneOf","4,20",21
"gnu.regexp.RETokenPOSIX","4,60",23
"gnu.regexp.RETokenRange","2,25",9
"gnu.regexp.RETokenRepeated","4,43",31
"gnu.regexp.RETokenStart","4,00",12
"gnu.regexp.RETokenWordBoundary","4,33",13
"gnu.regexp.UncheckedRE","1,00",3
"org.gjt.sp.jedit.Abbrevs","3,12",53
"org.gjt.sp.jedit.Abbrevs.Expansion","13,00",13
"org.gjt.sp.jedit.AbstractOptionPane","1,20",18
"org.gjt.sp.jedit.ActionContext","1,83",11
"org.gjt.sp.jedit.ActionListHandler","2,36",26
"org.gjt.sp.jedit.ActionSet","2,05",41
"org.gjt.sp.jedit.Autosave","2,50",10
"org.gjt.sp.jedit.BeanShell","2,20",55
"org.gjt.sp.jedit.BeanShell.CustomClassManager","2,25",9
"org.gjt.sp.jedit.BeanShellAction","1,57",11
"org.gjt.sp.jedit.Buffer","2,80",196
"org.gjt.sp.jedit.Buffer.TokenList","1,00",1
"org.gjt.sp.jedit.BufferHistory","3,56",32
"org.gjt.sp.jedit.BufferHistory.Entry","1,00",3
"org.gjt.sp.jedit.BufferHistory.RecentHandler","2,60",13
"org.gjt.sp.jedit.Debug",n/a,0
"org.gjt.sp.jedit.EBMessage","1,00",5
"org.gjt.sp.jedit.EBPlugin","1,50",3
"org.gjt.sp.jedit.EditAction","1,00",12
"org.gjt.sp.jedit.EditAction.Wrapper","1,50",3
"org.gjt.sp.jedit.EditBus","1,80",9
"org.gjt.sp.jedit.EditPane","3,69",107
"org.gjt.sp.jedit.EditPane.MarkerHighlight","2,17",13
"org.gjt.sp.jedit.EditPane.StatusHandler","4,00",12
"org.gjt.sp.jedit.EditPlugin","1,75",14
"org.gjt.sp.jedit.EditPlugin.Broken","1,00",2
"org.gjt.sp.jedit.EditPlugin.Deferred","1,00",4
"org.gjt.sp.jedit.EditServer","2,78",25
"org.gjt.sp.jedit.GUIUtilities","2,68",153
"org.gjt.sp.jedit.GUIUtilities.UnixWorkaround","2,00",2
"org.gjt.sp.jedit.GUIUtilities.UnixWorkaround.ComponentHandler","4,00",8
"org.gjt.sp.jedit.GUIUtilities.UnixWorkaround.WindowHandler","1,00",1
"org.gjt.sp.jedit.JARClassLoader","2,41",41
"org.gjt.sp.jedit.Macros","2,32",58
"org.gjt.sp.jedit.Macros.BeanShellHandler","1,00",4
"org.gjt.sp.jedit.Macros.Handler","1,00",5
"org.gjt.sp.jedit.Macros.Macro","1,17",7
"org.gjt.sp.jedit.Macros.Recorder","2,44",22
"org.gjt.sp.jedit.Marker","1,29",9
"org.gjt.sp.jedit.MiscUtilities","4,14",244
"org.gjt.sp.jedit.MiscUtilities.MenuItemCompare","1,00",1
"org.gjt.sp.jedit.MiscUtilities.StringCompare","1,00",1
"org.gjt.sp.jedit.MiscUtilities.StringICaseCompare","1,00",1
"org.gjt.sp.jedit.Mode","2,00",26
"org.gjt.sp.jedit.ModeCatalogHandler","3,60",18
"org.gjt.sp.jedit.OperatingSystem","2,38",38
"org.gjt.sp.jedit.OptionGroup","1,62",21
"org.gjt.sp.jedit.PerspectiveManager","3,83",23
"org.gjt.sp.jedit.PerspectiveManager.PerspectiveHandler","4,50",27
"org.gjt.sp.jedit.PluginJAR","4,03",121
