Package,C(rec),LOC(rec),METH(rec)
"",762,101.913,4.388
"gjt",712,88.315,3.840
"gjt.sp",712,88.315,3.840
"gjt.sp.jedit",696,86.618,3.749
"gjt.sp.jedit.browser",49,4.299,188
"gjt.sp.jedit.buffer",30,5.721,257
"gjt.sp.jedit.gui",166,14.009,680
"gjt.sp.jedit.help",32,1.734,88
"gjt.sp.jedit.indent",13,615,44
"gjt.sp.jedit.io",17,2.665,144
"gjt.sp.jedit.menu",25,1.467,60
"gjt.sp.jedit.msg",13,867,38
"gjt.sp.jedit.options",80,5.282,231
"gjt.sp.jedit.pluginmgr",50,3.068,178
"gjt.sp.jedit.print",5,618,18
"gjt.sp.jedit.proto",2,153,5
"gjt.sp.jedit.proto.jeditresource",2,153,5
"gjt.sp.jedit.search",56,4.805,208
"gjt.sp.jedit.syntax",15,3.287,128
"gjt.sp.jedit.textarea",48,12.758,589
"gjt.sp.util",16,1.697,91
"loomcom",6,1.048,104
"loomcom.ant",6,1.048,104
"loomcom.ant.tasks",6,1.048,104
"loomcom.ant.tasks.jarbundler",6,1.048,104
"microstar",4,4.311,148
"microstar.xml",4,4.311,148
"objectweb",10,4.406,121
"objectweb.asm",10,4.406,121
"regexp",29,3.735,172

