Package,v(G)avg,v(G)tot
"","2,33",7
"gjt.sp.jedit","3,29",2.826
"gjt.sp.jedit.browser","3,74",640
"gjt.sp.jedit.buffer","3,08",736
"gjt.sp.jedit.gui","2,85",1.814
"gjt.sp.jedit.help","2,63",216
"gjt.sp.jedit.indent","1,71",70
"gjt.sp.jedit.io","2,22",315
"gjt.sp.jedit.menu","3,81",179
"gjt.sp.jedit.msg","1,16",44
"gjt.sp.jedit.options","2,31",522
"gjt.sp.jedit.pluginmgr","2,83",475
"gjt.sp.jedit.print","3,82",65
"gjt.sp.jedit.proto.jeditresource","4,20",21
"gjt.sp.jedit.search","3,11",578
"gjt.sp.jedit.syntax","3,58",444
"gjt.sp.jedit.textarea","3,39",1.947
"gjt.sp.util","2,57",213
"loomcom.ant.tasks.jarbundler","1,75",182
"microstar.xml","3,70",499
"objectweb.asm","5,08",503
"regexp","3,75",627

