Package,PDcy,PDpt
"",0,0
"gjt.sp.jedit",13,9
"gjt.sp.jedit.browser",4,6
"gjt.sp.jedit.buffer",3,5
"gjt.sp.jedit.gui",6,10
"gjt.sp.jedit.help",5,1
"gjt.sp.jedit.indent",3,0
"gjt.sp.jedit.io",5,8
"gjt.sp.jedit.menu",4,1
"gjt.sp.jedit.msg",2,5
"gjt.sp.jedit.options",5,1
"gjt.sp.jedit.pluginmgr",3,1
"gjt.sp.jedit.print",1,0
"gjt.sp.jedit.proto.jeditresource",0,0
"gjt.sp.jedit.search",8,2
"gjt.sp.jedit.syntax",3,1
"gjt.sp.jedit.textarea",4,2
"gjt.sp.util",0,13
"loomcom.ant.tasks.jarbundler",0,0
"microstar.xml",0,1
"objectweb.asm",0,0
"regexp",0,3

