Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"DocTaglet",0,1,1,2,2
"ManualTaglet",0,1,2,0,0
"ServerReleaseTaglet",0,1,2,0,0
"com.mongodb.AcknowledgedBulkWriteResult",0,3,4,1,180
"com.mongodb.AggregateIterableImpl",89,20,943,1,179
"com.mongodb.AggregationOptions",1,3,232,4,181
"com.mongodb.AggregationOptions.Builder",1,3,232,4,181
"com.mongodb.AggregationOptions.OutputMode",0,0,0,4,182
"com.mongodb.AggregationOutput",0,1,2,2,180
"com.mongodb.AuthenticationMechanism",0,0,0,9,490
"com.mongodb.BSONTimestampCodec",0,7,225,1,180
"com.mongodb.BasicDBList",89,4,943,8,179
"com.mongodb.BasicDBObject",89,18,943,68,179
"com.mongodb.BasicDBObjectBuilder",0,3,944,5,5
"com.mongodb.BasicDBObjectFactory",89,3,943,1,179
"com.mongodb.BulkUpdateRequestBuilder",89,6,943,2,179
"com.mongodb.BulkWriteError",0,2,4,2,181
"com.mongodb.BulkWriteException",0,5,12,2,180
"com.mongodb.BulkWriteHelper",89,21,943,1,179
"com.mongodb.BulkWriteOperation",89,10,943,4,179
"com.mongodb.BulkWriteRequestBuilder",89,6,943,2,179
"com.mongodb.BulkWriteResult",0,1,1,7,183
"com.mongodb.BulkWriteUpsert",0,0,0,5,184
"com.mongodb.Bytes",89,7,943,8,179
"com.mongodb.Bytes.OptionHolder",0,0,0,3,180
"com.mongodb.ChangeStreamIterableImpl",89,19,943,1,179
"com.mongodb.ClientSessionBinding",89,11,943,2,179
"com.mongodb.ClientSessionBinding.SessionBindingConnectionSource",89,6,943,1,179
"com.mongodb.ClientSessionContext",89,6,943,1,179
"com.mongodb.ClientSessionOptions",1,3,225,5,181
"com.mongodb.ClientSessionOptions.Builder",1,3,225,2,181
"com.mongodb.CommandResult",89,8,943,6,179
"com.mongodb.CompoundDBObjectCodec",0,8,226,2,180
"com.mongodb.ConnectionString",17,12,283,13,486
"com.mongodb.CursorType",0,0,0,8,223
"com.mongodb.DB",89,52,943,22,179
"com.mongodb.DBAddress",0,1,3,1,1
"com.mongodb.DBCollection",89,111,943,40,179
"com.mongodb.DBCollectionObjectFactory",89,6,943,3,179
"com.mongodb.DBCursor",89,29,943,11,179
"com.mongodb.DBCursor.IteratorOrArray",0,0,0,1,180
"com.mongodb.DBCursor.OptionalFinalizer",89,4,943,1,179
"com.mongodb.DBDecoderAdapter",89,12,943,3,179
"com.mongodb.DBDecoderAdapter.BufferExposingByteArrayOutputStream",0,0,0,1,180
"com.mongodb.DBEncoderAdapter",0,11,229,3,181
"com.mongodb.DBEncoderFactoryAdapter",0,6,231,2,180
"com.mongodb.DBObjectCodec",89,34,943,6,179
"com.mongodb.DBObjectCodecProvider",89,9,943,2,179
"com.mongodb.DBObjectCollationHelper",0,8,232,2,180
"com.mongodb.DBObjects",89,8,943,4,179
"com.mongodb.DBRef",0,1,2,18,209
"com.mongodb.DBRefCodec",0,9,227,1,207
"com.mongodb.DBRefCodecProvider",0,5,228,2,206
"com.mongodb.DefaultDBCallback",89,11,943,1,179
"com.mongodb.DefaultDBDecoder",89,8,943,6,179
"com.mongodb.DefaultDBEncoder",89,7,943,6,179
"com.mongodb.DistinctIterableImpl",89,14,943,1,179
"com.mongodb.DocumentToDBRefTransformer",0,3,227,2,206
"com.mongodb.DuplicateKeyException",0,4,230,6,252
"com.mongodb.ErrorCategory",0,0,0,4,261
"com.mongodb.ExplainVerbosity",0,0,0,9,224
"com.mongodb.FindIterableImpl",89,17,943,1,179
"com.mongodb.GroupCommand",89,11,943,1,179
"com.mongodb.InsertOptions",0,2,230,3,180
"com.mongodb.InsertRequest",89,7,943,1,179
"com.mongodb.LazyDBCallback",0,8,951,2,2
"com.mongodb.LazyDBDecoder",0,8,953,0,0
"com.mongodb.LazyDBEncoder",0,6,950,1,1
"com.mongodb.LazyDBList",0,3,949,2,4
"com.mongodb.LazyDBObject",0,3,949,4,5
"com.mongodb.ListCollectionsIterableImpl",89,13,943,1,179
"com.mongodb.ListDatabasesIterableImpl",89,11,943,1,179
"com.mongodb.ListIndexesIterableImpl",89,12,943,1,179
"com.mongodb.MapReduceCommand",89,6,943,3,179
"com.mongodb.MapReduceCommand.OutputType",0,0,0,4,180
"com.mongodb.MapReduceIterableImpl",89,21,943,1,179
"com.mongodb.MapReduceIterableImpl.WrappedMapReduceReadOperation",0,5,367,1,180
"com.mongodb.MapReduceOutput",89,7,943,2,179
"com.mongodb.MappingIterable",0,5,11,1,180
"com.mongodb.Mongo",89,66,943,21,179
"com.mongodb.Mongo.ClientSessionImpl",89,9,943,1,179
