Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"category.Async",0,0,0,0,0
"category.ReplicaSet",0,0,0,3,3
"category.Slow",0,0,0,2,2
"category.SlowUnit",0,0,0,0,0
"com.mongodb.Block",0,0,0,26,263
"com.mongodb.ClientSession",89,5,943,20,179
"com.mongodb.Cursor",0,2,5,5,181
"com.mongodb.DBCallback",0,1,9,6,180
"com.mongodb.DBCallbackFactory",89,2,943,1,179
"com.mongodb.DBDecoder",89,4,943,5,179
"com.mongodb.DBDecoderFactory",89,1,943,7,179
"com.mongodb.DBEncoder",0,2,13,12,186
"com.mongodb.DBEncoderFactory",0,1,14,7,181
"com.mongodb.DBObject",0,1,1,83,205
"com.mongodb.DBObjectFactory",0,1,2,5,180
"com.mongodb.Function",0,0,0,20,255
"com.mongodb.OperationExecutor",89,4,943,16,179
"com.mongodb.ServerSession",0,1,224,5,183
"com.mongodb.ServerSessionPool.Clock",0,0,0,2,183
"com.mongodb.async.AsyncBatchCursor",0,1,1,34,308
"com.mongodb.async.SingleResultCallback",0,0,0,153,763
"com.mongodb.async.client.AggregateIterable",0,4,235,5,33
"com.mongodb.async.client.ChangeStreamIterable",0,5,281,3,33
"com.mongodb.async.client.DistinctIterable",0,3,235,4,33
"com.mongodb.async.client.FindIterable",0,4,236,12,36
"com.mongodb.async.client.ListCollectionsIterable",0,2,229,3,28
"com.mongodb.async.client.ListDatabasesIterable",0,1,5,3,27
"com.mongodb.async.client.ListIndexesIterable",0,1,5,3,33
"com.mongodb.async.client.MapReduceIterable",0,5,236,3,33
"com.mongodb.async.client.MongoClient",6,5,780,11,25
"com.mongodb.async.client.MongoCollection",0,30,371,21,31
"com.mongodb.async.client.MongoDatabase",0,12,379,19,26
"com.mongodb.async.client.MongoIterable",0,4,4,38,56
"com.mongodb.async.client.Observable",0,1,2,1,1
"com.mongodb.async.client.Observer",0,1,1,7,7
"com.mongodb.async.client.Subscription",0,0,0,3,8
"com.mongodb.async.client.gridfs.AsyncInputStream",0,1,1,6,9
"com.mongodb.async.client.gridfs.AsyncOutputStream",0,1,1,6,9
"com.mongodb.async.client.gridfs.GridFSBucket",0,14,303,4,4
"com.mongodb.async.client.gridfs.GridFSDownloadStream",0,3,230,4,6
"com.mongodb.async.client.gridfs.GridFSFindIterable",0,4,239,4,7
"com.mongodb.async.client.gridfs.GridFSIndexCheck",0,1,1,2,6
"com.mongodb.async.client.gridfs.GridFSUploadStream",0,4,226,4,6
"com.mongodb.binding.AsyncConnectionSource",0,5,312,24,296
"com.mongodb.binding.AsyncReadBinding",0,5,313,22,292
"com.mongodb.binding.AsyncReadWriteBinding",0,3,315,5,53
"com.mongodb.binding.AsyncWriteBinding",0,4,313,24,290
"com.mongodb.binding.ConnectionSource",0,4,312,28,295
"com.mongodb.binding.ReadBinding",0,4,313,26,291
"com.mongodb.binding.ReadWriteBinding",0,3,315,6,199
"com.mongodb.binding.ReferenceCounted",0,0,0,34,353
"com.mongodb.binding.WriteBinding",0,3,313,26,289
"com.mongodb.client.AggregateIterable",0,3,238,5,180
"com.mongodb.client.ChangeStreamIterable",0,5,285,4,180
"com.mongodb.client.DistinctIterable",0,3,238,4,180
"com.mongodb.client.FindIterable",0,4,239,12,181
"com.mongodb.client.ListCollectionsIterable",0,2,232,3,180
"com.mongodb.client.ListDatabasesIterable",0,1,8,2,180
"com.mongodb.client.ListIndexesIterable",0,1,8,3,180
"com.mongodb.client.MapReduceIterable",0,4,239,3,180
"com.mongodb.client.MongoCollection",89,30,943,24,179
"com.mongodb.client.MongoCursor",0,2,4,11,196
"com.mongodb.client.MongoDatabase",89,12,943,23,179
"com.mongodb.client.MongoIterable",0,3,7,34,192
"com.mongodb.client.gridfs.GridFSBucket",0,12,303,4,4
"com.mongodb.client.gridfs.GridFSFindIterable",0,4,242,3,6
"com.mongodb.connection.AbstractByteBufBsonDocument.Finder",0,1,224,3,236
"com.mongodb.connection.AsyncCompletionHandler",0,0,0,14,249
"com.mongodb.connection.AsyncConnection",0,15,311,52,337
"com.mongodb.connection.AsyncWritableByteChannel",0,1,1,2,56
"com.mongodb.connection.BufferProvider",0,1,1,18,315
"com.mongodb.connection.ChangeListener",0,1,3,8,232
"com.mongodb.connection.Cluster",0,5,314,19,242
"com.mongodb.connection.ClusterDescription.Predicate",0,1,21,1,487
"com.mongodb.connection.ClusterFactory",0,9,335,1,218
"com.mongodb.connection.ClusterableServer",0,1,314,10,236
"com.mongodb.connection.ClusterableServerFactory",0,5,316,7,230
"com.mongodb.connection.CommandProtocol",0,3,307,6,233
"com.mongodb.connection.Connection",0,14,311,54,334
"com.mongodb.connection.ConnectionFactory",0,5,333,3,228
"com.mongodb.connection.ConnectionPool",0,2,307,8,235
"com.mongodb.connection.InternalConnection",0,8,306,47,286
"com.mongodb.connection.InternalConnectionFactory",0,2,307,8,228
"com.mongodb.connection.InternalConnectionInitializer",0,3,307,2,227
"com.mongodb.connection.LegacyProtocol",0,3,312,9,242
"com.mongodb.connection.ProtocolExecutor",0,5,314,6,231
"com.mongodb.connection.ScramSha1Authenticator.RandomStringGenerator",0,0,0,4,225
"com.mongodb.connection.Server",0,4,313,16,254
"com.mongodb.connection.ServerMonitor",0,0,0,5,232
"com.mongodb.connection.ServerMonitorFactory",0,3,24,4,228
"com.mongodb.connection.SessionContext",0,2,224,56,424
"com.mongodb.connection.Stream",0,4,6,9,242
"com.mongodb.connection.StreamFactory",0,2,7,15,233
"com.mongodb.connection.StreamFactoryFactory",0,3,293,5,30
"com.mongodb.diagnostics.logging.Logger",0,0,0,47,503
"com.mongodb.event.ClusterListener",17,3,283,14,486
"com.mongodb.event.CommandListener",0,3,246,22,276
"com.mongodb.event.ConnectionListener",0,4,19,2,219
"com.mongodb.event.ConnectionPoolListener",3,8,294,14,247
"com.mongodb.event.ServerListener",0,3,26,20,493
"com.mongodb.event.ServerMonitorListener",0,3,235,10,490
"com.mongodb.internal.connection.ConcurrentLinkedDeque.RemovalReportingIterator",0,0,0,3,246
"com.mongodb.internal.connection.ConcurrentPool.ItemFactory",0,1,1,4,236
"com.mongodb.internal.connection.Pool",0,0,0,1,235
"com.mongodb.internal.connection.SniSslHelper",0,1,3,2,228
"com.mongodb.management.ConnectionPoolStatisticsMBean",0,0,0,2,2
"com.mongodb.management.MBeanServer",0,0,0,4,4
"com.mongodb.operation.AsyncChangeStreamBatchCursor.AsyncBlock",0,3,226,1,211
"com.mongodb.operation.AsyncOperationExecutor",0,4,317,14,38
"com.mongodb.operation.AsyncReadOperation",0,2,314,20,251
"com.mongodb.operation.AsyncWriteOperation",0,2,314,23,251
"com.mongodb.operation.BatchCursor",0,2,4,32,282
"com.mongodb.operation.CommandOperationHelper.CommandTransformer",0,1,3,17,269
"com.mongodb.operation.MapReduceAsyncBatchCursor",0,2,3,2,211
"com.mongodb.operation.MapReduceBatchCursor",0,2,6,5,211
"com.mongodb.operation.OperationExecutor",0,3,317,0,0
"com.mongodb.operation.OperationHelper.AsyncCallableWithConnection",0,1,312,2,280
"com.mongodb.operation.OperationHelper.AsyncCallableWithConnectionAndSource",0,2,313,2,280
"com.mongodb.operation.OperationHelper.CallableWithConnection",0,1,312,1,280
"com.mongodb.operation.OperationHelper.CallableWithConnectionAndSource",0,2,313,1,280
"com.mongodb.operation.ReadOperation",0,1,314,35,250
"com.mongodb.operation.WriteOperation",0,1,314,25,243
"com.mongodb.selector.ServerSelector",17,2,283,16,486
"com.mongodb.util.ObjectSerializer",0,0,0,29,186
"org.bson.BSONCallback",0,2,8,13,185
"org.bson.BSONDecoder",0,2,10,5,180
"org.bson.BSONEncoder",0,2,13,2,180
"org.bson.BSONObject",0,0,0,56,214
"org.bson.BsonReader",137,8,223,91,930
"org.bson.BsonReaderMark",0,0,0,7,931
"org.bson.BsonWriter",137,7,223,92,930
"org.bson.ByteBuf",0,0,0,42,962
"org.bson.FieldNameValidator",0,0,0,22,937
"org.bson.Transformer",0,0,0,11,933
"org.bson.codecs.Codec",137,2,223,121,930
"org.bson.codecs.CollectibleCodec",137,2,223,10,930
"org.bson.codecs.Decoder",137,2,223,76,930
"org.bson.codecs.Encoder",137,2,223,43,930
"org.bson.codecs.IdGenerator",0,0,0,3,932
"org.bson.codecs.configuration.CodecProvider",137,2,223,19,930
"org.bson.codecs.configuration.CodecRegistry",137,1,223,138,930
"org.bson.codecs.pojo.Convention",12,1,251,8,246
"org.bson.codecs.pojo.InstanceCreator",12,1,251,7,246
"org.bson.codecs.pojo.InstanceCreatorFactory",12,1,251,4,246
"org.bson.codecs.pojo.PropertyAccessor",0,0,0,8,249
"org.bson.codecs.pojo.PropertySerialization",0,0,0,5,248
"org.bson.conversions.Bson",137,2,223,98,930
"org.bson.diagnostics.Logger",0,0,0,5,1.000
"org.bson.io.BsonInput",0,1,7,15,932
"org.bson.io.BsonOutput",0,1,7,22,941
"org.bson.json.Converter",0,1,1,38,951
"org.bson.json.DateTimeFormatter.FormatterImpl",0,0,0,3,935
"org.bson.json.StrictJsonWriter",0,0,0,38,953
"org.bson.util.Function",0,0,0,2,183

