Package,v(G)avg,v(G)tot
"","1,17",21
"com.mongodb","1,69",2.896
"com.mongodb.assertions","1,83",11
"com.mongodb.async.client","1,41",512
"com.mongodb.async.client.gridfs","1,96",192
"com.mongodb.async.client.gridfs.helpers","2,08",27
"com.mongodb.binding","1,11",72
"com.mongodb.bulk","1,51",128
"com.mongodb.client","1,15",15
"com.mongodb.client.gridfs","1,67",157
"com.mongodb.client.gridfs.codecs","1,83",11
"com.mongodb.client.gridfs.model","1,89",51
"com.mongodb.client.jndi","11,00",11
"com.mongodb.client.model","1,20",814
"com.mongodb.client.model.changestream","1,83",55
"com.mongodb.client.model.geojson","1,80",148
"com.mongodb.client.model.geojson.codecs","3,53",173
"com.mongodb.client.result","1,64",54
"com.mongodb.connection","1,89",2.217
"com.mongodb.connection.netty","1,50",132
"com.mongodb.diagnostics.logging","1,10",44
"com.mongodb.event","1,31",185
"com.mongodb.gridfs","1,99",183
"com.mongodb.internal","2,33",7
"com.mongodb.internal.async","1,67",5
"com.mongodb.internal.authentication","1,20",6
"com.mongodb.internal.connection","1,96",222
"com.mongodb.internal.event","3,45",107
"com.mongodb.internal.management.jmx","2,50",5
"com.mongodb.internal.thread","1,00",2
"com.mongodb.internal.validator","1,56",14
"com.mongodb.management","1,38",44
"com.mongodb.operation","1,60",1.413
"com.mongodb.selector","1,71",36
"com.mongodb.util","2,38",214
"org.bson","1,56",1.587
"org.bson.assertions","1,80",9
"org.bson.codecs","1,51",414
"org.bson.codecs.configuration","1,72",74
"org.bson.codecs.pojo","2,29",590
"org.bson.diagnostics","1,10",44
"org.bson.internal","3,58",43
"org.bson.io","1,41",93
"org.bson.json","2,69",733
"org.bson.types","1,96",261
"org.bson.util","1,18",137

