Package,PDcy,PDpt
"",0,0
"category",0,3
"com.mongodb",32,26
"com.mongodb.annotations",0,0
"com.mongodb.assertions",1,22
"com.mongodb.async",1,11
"com.mongodb.async.client",25,5
"com.mongodb.async.client.gridfs",16,2
"com.mongodb.async.client.gridfs.helpers",4,2
"com.mongodb.binding",7,5
"com.mongodb.bulk",4,7
"com.mongodb.client",15,8
"com.mongodb.client.gridfs",12,1
"com.mongodb.client.gridfs.codecs",5,2
"com.mongodb.client.gridfs.model",4,4
"com.mongodb.client.jndi",2,0
"com.mongodb.client.model",8,12
"com.mongodb.client.model.changestream",5,5
"com.mongodb.client.model.geojson",5,2
"com.mongodb.client.model.geojson.codecs",4,4
"com.mongodb.client.result",1,8
"com.mongodb.connection",24,12
"com.mongodb.connection.netty",5,2
"com.mongodb.diagnostics.logging",1,10
"com.mongodb.event",5,6
"com.mongodb.gridfs",5,0
"com.mongodb.internal",0,3
"com.mongodb.internal.async",3,4
"com.mongodb.internal.authentication",2,2
"com.mongodb.internal.connection",4,5
"com.mongodb.internal.event",4,3
"com.mongodb.internal.management.jmx",2,1
"com.mongodb.internal.thread",0,2
"com.mongodb.internal.validator",1,3
"com.mongodb.management",4,1
"com.mongodb.operation",18,3
"com.mongodb.selector",3,3
"com.mongodb.util",6,4
"org.bson",12,35
"org.bson.assertions",0,14
"org.bson.codecs",5,15
"org.bson.codecs.configuration",3,18
"org.bson.codecs.pojo",10,2
"org.bson.codecs.pojo.annotations",0,1
"org.bson.conversions",2,10
"org.bson.diagnostics",1,2
"org.bson.internal",0,4
"org.bson.io",2,5
"org.bson.json",4,5
"org.bson.types",4,18
"org.bson.util",1,2

