Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"RemoteTimestamp",0,0,0,2,2
"org.apache.tools.ant.ArgumentProcessor",227,1,303,2,1.167
"org.apache.tools.ant.BuildListener",227,1,303,22,1.167
"org.apache.tools.ant.BuildLogger",227,1,303,5,1.167
"org.apache.tools.ant.DynamicAttribute",227,1,303,3,1.167
"org.apache.tools.ant.DynamicAttributeNS",227,1,303,2,1.167
"org.apache.tools.ant.DynamicConfigurator",0,2,304,4,13
"org.apache.tools.ant.DynamicConfiguratorNS",0,2,304,1,3
"org.apache.tools.ant.DynamicElement",227,1,303,2,1.167
"org.apache.tools.ant.DynamicElementNS",227,1,303,3,1.167
"org.apache.tools.ant.DynamicObjectAttribute",227,1,303,1,1.167
"org.apache.tools.ant.Evaluable",0,0,0,1,1.168
"org.apache.tools.ant.Executor",227,2,303,4,1.167
"org.apache.tools.ant.FileScanner",0,0,0,3,1.168
"org.apache.tools.ant.PropertyHelper.Delegate",0,0,0,6,1.169
"org.apache.tools.ant.PropertyHelper.PropertyEvaluator",227,2,303,2,1.167
"org.apache.tools.ant.PropertyHelper.PropertySetter",227,2,303,2,1.167
"org.apache.tools.ant.SubBuildListener",227,2,303,5,1.167
"org.apache.tools.ant.TaskContainer",227,1,303,18,1.167
"org.apache.tools.ant.TypeAdapter",227,1,303,8,1.167
"org.apache.tools.ant.attribute.EnableAttribute",227,1,303,2,1.167
"org.apache.tools.ant.dispatch.Dispatchable",0,0,0,1,1.168
"org.apache.tools.ant.filters.ChainableReader",0,0,0,4,1.169
"org.apache.tools.ant.filters.TokenFilter.Filter",0,0,0,4,1.168
"org.apache.tools.ant.input.InputHandler",227,1,303,8,1.167
"org.apache.tools.ant.launch.AntMain",0,0,0,1,1.168
"org.apache.tools.ant.property.GetProperty",0,0,0,3,1.168
"org.apache.tools.ant.property.ParseNextProperty",227,1,303,1,1.167
"org.apache.tools.ant.property.PropertyExpander",0,1,1,1,1.168
"org.apache.tools.ant.taskdefs.AntStructure.StructurePrinter",0,1,304,3,4
"org.apache.tools.ant.taskdefs.Concat.ReaderFactory",0,0,0,2,3
"org.apache.tools.ant.taskdefs.ExecuteStreamHandler",0,0,0,13,1.168
"org.apache.tools.ant.taskdefs.Get.DownloadProgress",0,0,0,4,6
"org.apache.tools.ant.taskdefs.Touch.DateFormatFactory",0,0,0,2,2
"org.apache.tools.ant.taskdefs.XSLTLiaison",0,0,0,4,10
"org.apache.tools.ant.taskdefs.XSLTLiaison2",4,2,327,2,7
"org.apache.tools.ant.taskdefs.XSLTLiaison3",4,2,327,2,7
"org.apache.tools.ant.taskdefs.XSLTLiaison4",4,1,327,2,7
"org.apache.tools.ant.taskdefs.XSLTLogger",0,0,0,4,10
"org.apache.tools.ant.taskdefs.XSLTLoggerAware",0,1,1,2,8
"org.apache.tools.ant.taskdefs.compilers.CompilerAdapter",1,2,312,2,8
"org.apache.tools.ant.taskdefs.compilers.CompilerAdapterExtension",0,0,0,1,9
"org.apache.tools.ant.taskdefs.condition.Condition",227,1,303,14,1.167
"org.apache.tools.ant.taskdefs.optional.XSLTTraceSupport",0,1,305,0,0
"org.apache.tools.ant.taskdefs.optional.depend.ClassFileIterator",0,0,0,0,0
"org.apache.tools.ant.taskdefs.optional.ejb.EJBDeploymentTool",0,2,304,0,0
"org.apache.tools.ant.taskdefs.optional.extension.ExtensionResolver",0,2,304,3,4
"org.apache.tools.ant.taskdefs.optional.j2ee.HotDeploymentTool",0,1,304,0,0
"org.apache.tools.ant.taskdefs.optional.javah.JavahAdapter",1,2,309,1,4
"org.apache.tools.ant.taskdefs.optional.jsp.JspMangler",0,0,0,3,5
"org.apache.tools.ant.taskdefs.optional.jsp.compilers.JspCompilerAdapter",1,3,311,2,4
"org.apache.tools.ant.taskdefs.optional.junit.DOMUtil.NodeFilter",0,0,0,1,1
"org.apache.tools.ant.taskdefs.optional.junit.IgnoredTestListener",0,0,0,0,0
"org.apache.tools.ant.taskdefs.optional.junit.JUnitResultFormatter",0,1,304,0,0
"org.apache.tools.ant.taskdefs.optional.junit.JUnitTaskMirror",0,4,311,0,0
"org.apache.tools.ant.taskdefs.optional.junit.JUnitTaskMirror.JUnitResultFormatterMirror",0,0,0,3,3
"org.apache.tools.ant.taskdefs.optional.junit.JUnitTaskMirror.JUnitTestRunnerMirror",0,2,309,1,1
"org.apache.tools.ant.taskdefs.optional.junit.JUnitTaskMirror.SummaryJUnitResultFormatterMirror",0,1,1,1,1
"org.apache.tools.ant.taskdefs.optional.junit.XMLConstants",0,0,0,0,0
"org.apache.tools.ant.taskdefs.optional.native2ascii.Native2AsciiAdapter",2,2,311,1,5
"org.apache.tools.ant.taskdefs.optional.net.FTPTaskConfig",0,0,0,0,0
"org.apache.tools.ant.taskdefs.optional.net.FTPTaskMirror",0,1,304,0,0
"org.apache.tools.ant.taskdefs.optional.sos.SOSCmd",0,0,0,0,0
"org.apache.tools.ant.taskdefs.optional.ssh.LogListener",0,0,0,0,0
"org.apache.tools.ant.taskdefs.optional.vss.MSVSSConstants",0,0,0,0,0
"org.apache.tools.ant.taskdefs.rmic.RmicAdapter",1,4,310,1,8
"org.apache.tools.ant.types.Parameterizable",0,1,1,3,1.170
"org.apache.tools.ant.types.ResourceCollection",227,1,303,84,1.167
"org.apache.tools.ant.types.ResourceFactory",227,1,303,6,1.167
"org.apache.tools.ant.types.XMLCatalog.CatalogResolver",0,0,0,3,17
"org.apache.tools.ant.types.optional.image.DrawOperation",0,0,0,0,0
"org.apache.tools.ant.types.resources.Appendable",0,0,0,5,1.168
"org.apache.tools.ant.types.resources.FileProvider",0,0,0,40,1.168
"org.apache.tools.ant.types.resources.Touchable",0,0,0,3,1.168
"org.apache.tools.ant.types.resources.URLProvider",0,0,0,8,1.168
"org.apache.tools.ant.types.resources.URLResource.ConnectionUser",0,0,0,1,1.168
"org.apache.tools.ant.types.resources.selectors.ResourceSelector",227,1,303,25,1.167
"org.apache.tools.ant.types.selectors.ExtendFileSelector",0,1,2,0,0
"org.apache.tools.ant.types.selectors.FileSelector",227,1,303,8,1.167
"org.apache.tools.ant.types.selectors.SelectorContainer",227,2,303,2,1.167
