Package,v(G)avg,v(G)tot
"etc.testcases.core.containersrc.test","1,75",7
"etc.testcases.taskdefs.javadoc.java","1,00",3
"etc.testcases.taskdefs.manifestclasspath","1,00",3
"etc.testcases.taskdefs.optional.depend.src1","1,00",1
"etc.testcases.taskdefs.optional.depend.src4.test","1,00",2
"etc.testcases.taskdefs.optional.javah.input.org.example","1,00",2
"etc.testcases.taskdefs.rmic.src","1,00",2
"etc.testcases.types.assertions","1,25",5
"main.org.apache.tools.ant","2,65",2.213
"main.org.apache.tools.ant.attribute","1,57",11
"main.org.apache.tools.ant.dispatch","6,50",26
"main.org.apache.tools.ant.filters","2,39",614
"main.org.apache.tools.ant.filters.util","3,82",42
"main.org.apache.tools.ant.helper","2,83",311
"main.org.apache.tools.ant.input","2,19",46
"main.org.apache.tools.ant.launch","5,26",121
"main.org.apache.tools.ant.listener","2,16",188
"main.org.apache.tools.ant.loader","1,00",4
"main.org.apache.tools.ant.property","2,06",68
"main.org.apache.tools.ant.taskdefs","2,51",6.358
"main.org.apache.tools.ant.taskdefs.compilers","4,32",246
"main.org.apache.tools.ant.taskdefs.condition","2,34",379
"main.org.apache.tools.ant.taskdefs.cvslib","2,76",235
"main.org.apache.tools.ant.taskdefs.email","2,50",252
"main.org.apache.tools.ant.taskdefs.launcher","2,27",59
"main.org.apache.tools.ant.taskdefs.optional","2,54",847
"main.org.apache.tools.ant.taskdefs.optional.ccm","1,65",81
"main.org.apache.tools.ant.taskdefs.optional.clearcase","1,73",405
"main.org.apache.tools.ant.taskdefs.optional.depend","4,28",167
"main.org.apache.tools.ant.taskdefs.optional.depend.constantpool","1,69",149
"main.org.apache.tools.ant.taskdefs.optional.ejb","2,71",825
"main.org.apache.tools.ant.taskdefs.optional.extension","2,53",309
"main.org.apache.tools.ant.taskdefs.optional.extension.resolvers","1,88",30
"main.org.apache.tools.ant.taskdefs.optional.i18n","4,17",75
"main.org.apache.tools.ant.taskdefs.optional.image","2,95",56
"main.org.apache.tools.ant.taskdefs.optional.j2ee","1,98",93
"main.org.apache.tools.ant.taskdefs.optional.javacc","2,48",164
"main.org.apache.tools.ant.taskdefs.optional.javah","5,10",51
"main.org.apache.tools.ant.taskdefs.optional.jdepend","2,73",82
"main.org.apache.tools.ant.taskdefs.optional.jlink","3,21",90
"main.org.apache.tools.ant.taskdefs.optional.jsp","2,15",127
"main.org.apache.tools.ant.taskdefs.optional.jsp.compilers","2,17",39
"main.org.apache.tools.ant.taskdefs.optional.junit","2,47",1.036
"main.org.apache.tools.ant.taskdefs.optional.native2ascii","2,38",31
"main.org.apache.tools.ant.taskdefs.optional.net","3,10",1.023
"main.org.apache.tools.ant.taskdefs.optional.pvcs","2,21",86
"main.org.apache.tools.ant.taskdefs.optional.script","1,96",51
"main.org.apache.tools.ant.taskdefs.optional.sos","1,50",78
"main.org.apache.tools.ant.taskdefs.optional.sound","1,92",48
"main.org.apache.tools.ant.taskdefs.optional.splash","2,15",58
"main.org.apache.tools.ant.taskdefs.optional.ssh","2,22",426
"main.org.apache.tools.ant.taskdefs.optional.testing","1,68",64
"main.org.apache.tools.ant.taskdefs.optional.unix","2,14",75
"main.org.apache.tools.ant.taskdefs.optional.vss","1,69",189
"main.org.apache.tools.ant.taskdefs.optional.windows","1,24",21
"main.org.apache.tools.ant.taskdefs.rmic","2,84",105
"main.org.apache.tools.ant.types","2,25",1.600
"main.org.apache.tools.ant.types.mappers","2,00",14
"main.org.apache.tools.ant.types.optional","1,08",53
"main.org.apache.tools.ant.types.optional.depend","1,65",43
"main.org.apache.tools.ant.types.optional.image","2,13",111
"main.org.apache.tools.ant.types.resolver","2,00",14
"main.org.apache.tools.ant.types.resources","2,21",943
"main.org.apache.tools.ant.types.resources.comparators","2,91",64
"main.org.apache.tools.ant.types.resources.selectors","1,85",139
"main.org.apache.tools.ant.types.selectors","2,46",612
"main.org.apache.tools.ant.types.selectors.modifiedselector","2,34",166
"main.org.apache.tools.ant.types.spi","1,67",15
"main.org.apache.tools.ant.util","2,32",1.403
"main.org.apache.tools.ant.util.depend","1,93",27
"main.org.apache.tools.ant.util.depend.bcel","3,24",55
"main.org.apache.tools.ant.util.facade","1,69",22
"main.org.apache.tools.ant.util.java15","2,67",8
"main.org.apache.tools.ant.util.optional","2,69",43
"main.org.apache.tools.ant.util.regexp","2,02",103
"main.org.apache.tools.bzip2","5,77",519
"main.org.apache.tools.mail","1,90",80
"main.org.apache.tools.tar","2,59",432
"main.org.apache.tools.zip","2,13",758

