Package,PDcy,PDpt
"antidote",0,0
"etc",0,0
"etc.checkstyle",0,0
"etc.performance",0,0
"etc.poms",0,0
"etc.poms.ant",0,0
"etc.poms.ant-antlr",0,0
"etc.poms.ant-apache-bcel",0,0
"etc.poms.ant-apache-bsf",0,0
"etc.poms.ant-apache-log4j",0,0
"etc.poms.ant-apache-oro",0,0
"etc.poms.ant-apache-regexp",0,0
"etc.poms.ant-apache-resolver",0,0
"etc.poms.ant-apache-xalan2",0,0
"etc.poms.ant-commons-logging",0,0
"etc.poms.ant-commons-net",0,0
"etc.poms.ant-jai",0,0
"etc.poms.ant-javamail",0,0
"etc.poms.ant-jdepend",0,0
"etc.poms.ant-jmf",0,0
"etc.poms.ant-jsch",0,0
"etc.poms.ant-junit",0,0
"etc.poms.ant-junit4",0,0
"etc.poms.ant-launcher",0,0
"etc.poms.ant-netrexx",0,0
"etc.poms.ant-swing",0,0
"etc.poms.ant-testutil",0,0
"etc.testcases",0,0
"etc.testcases.core",0,0
"etc.testcases.core.containersrc.test",3,0
"etc.testcases.core.dispatch",0,0
"etc.testcases.core.include.basic",0,0
"etc.testcases.core.include.frag#ment",0,0
"etc.testcases.core.include.included_file_parse_error",0,0
"etc.testcases.core.include.included_file_task_error",0,0
"etc.testcases.core.include.including_file_parse_error",0,0
"etc.testcases.core.include.including_file_task_error",0,0
"etc.testcases.core.include.with space",0,0
"etc.testcases.core.loaderref",0,0
"etc.testcases.core.loaderref.src",1,0
"etc.testcases.core.topleveltasks",0,0
"etc.testcases.filters",0,0
"etc.testcases.filters.expected",0,0
"etc.testcases.filters.input",0,0
"etc.testcases.taskdefs",0,0
"etc.testcases.taskdefs.ant",0,0
"etc.testcases.taskdefs.checksum.foo",0,0
"etc.testcases.taskdefs.checksum.foo.zap",0,0
"etc.testcases.taskdefs.concat-input",0,0
"etc.testcases.taskdefs.conditions",0,0
"etc.testcases.taskdefs.copy.expected",0,0
"etc.testcases.taskdefs.email",0,0
"etc.testcases.taskdefs.exec",0,0
"etc.testcases.taskdefs.expected",0,0
"etc.testcases.taskdefs.fixcrlf",0,0
"etc.testcases.taskdefs.import",0,0
"etc.testcases.taskdefs.import.subdir",0,0
"etc.testcases.taskdefs.import.symlinks.d1",0,0
"etc.testcases.taskdefs.import.symlinks.d2",0,0
"etc.testcases.taskdefs.import.symlinks.d3a",0,0
"etc.testcases.taskdefs.javadoc",0,0
"etc.testcases.taskdefs.javadoc.java",0,0
"etc.testcases.taskdefs.manifestclasspath",0,0
"etc.testcases.taskdefs.manifests",0,0
"etc.testcases.taskdefs.optional",0,0
"etc.testcases.taskdefs.optional.antlr",0,0
"etc.testcases.taskdefs.optional.depend",0,0
"etc.testcases.taskdefs.optional.depend.src1",1,0
"etc.testcases.taskdefs.optional.depend.src2",1,0
"etc.testcases.taskdefs.optional.depend.src3",1,0
"etc.testcases.taskdefs.optional.depend.src4.test",0,0
"etc.testcases.taskdefs.optional.depend.src5",0,3
"etc.testcases.taskdefs.optional.i18n.translate",0,0
"etc.testcases.taskdefs.optional.i18n.translate.expected.de",0,0
"etc.testcases.taskdefs.optional.i18n.translate.input",0,0
"etc.testcases.taskdefs.optional.image",0,0
"etc.testcases.taskdefs.optional.javah",0,0
"etc.testcases.taskdefs.optional.javah.input.org.example",0,0
"etc.testcases.taskdefs.optional.jdepend",0,0
"etc.testcases.taskdefs.optional.jsp",0,0
"etc.testcases.taskdefs.optional.jsp.WEB-INF",0,0
"etc.testcases.taskdefs.optional.junit",0,0
"etc.testcases.taskdefs.optional.junitreport",0,0
"etc.testcases.taskdefs.optional.junitreport-with-include",0,0
"etc.testcases.taskdefs.optional.native2ascii",0,0
"etc.testcases.taskdefs.optional.native2ascii.expected",0,0
"etc.testcases.taskdefs.optional.net",0,0
"etc.testcases.taskdefs.optional.script",0,0
"etc.testcases.taskdefs.optional.sos",0,0
"etc.testcases.taskdefs.optional.unix",0,0
"etc.testcases.taskdefs.optional.vss",0,0
"etc.testcases.taskdefs.optional.xml",0,0
"etc.testcases.taskdefs.recorder",0,0
"etc.testcases.taskdefs.replace",0,0
"etc.testcases.taskdefs.rmic",0,0
"etc.testcases.taskdefs.rmic.src",1,0
"etc.testcases.taskdefs.style",0,0
"etc.testcases.taskdefs.subant",0,0
"etc.testcases.taskdefs.subant.subant-test1",0,0
"etc.testcases.taskdefs.subant.subant-test2",0,0
"etc.testcases.taskdefs.xmlproperty.goldfiles",0,0
"etc.testcases.taskdefs.xmlproperty.inputs",0,0
"etc.testcases.types",0,0
"etc.testcases.types.assertions",0,0
"etc.testcases.types.gold",0,0
"etc.testcases.types.mappers",0,0
"etc.testcases.types.resources",0,0
"etc.testcases.types.selectors",0,0
"etc.testcases.util",0,0
"main.org.apache.tools.ant",14,95
"main.org.apache.tools.ant.attribute",1,2
"main.org.apache.tools.ant.dispatch",1,3
"main.org.apache.tools.ant.filters",7,4
"main.org.apache.tools.ant.filters.util",4,4
"main.org.apache.tools.ant.helper",5,3
"main.org.apache.tools.ant.input",3,4
"main.org.apache.tools.ant.launch",0,4
"main.org.apache.tools.ant.listener",4,1
"main.org.apache.tools.ant.loader",2,0
"main.org.apache.tools.ant.property",1,3
"main.org.apache.tools.ant.taskdefs",24,44
"main.org.apache.tools.ant.taskdefs.compilers",5,2
"main.org.apache.tools.ant.taskdefs.condition",8,22
"main.org.apache.tools.ant.taskdefs.cvslib",4,0
"main.org.apache.tools.ant.taskdefs.email",5,3
"main.org.apache.tools.ant.taskdefs.launcher",4,1
"main.org.apache.tools.ant.taskdefs.optional",10,2
"main.org.apache.tools.ant.taskdefs.optional.ccm",4,0
"main.org.apache.tools.ant.taskdefs.optional.clearcase",5,0
"main.org.apache.tools.ant.taskdefs.optional.depend",7,0
"main.org.apache.tools.ant.taskdefs.optional.depend.constantpool",0,1
"main.org.apache.tools.ant.taskdefs.optional.ejb",5,0
"main.org.apache.tools.ant.taskdefs.optional.extension",4,1
"main.org.apache.tools.ant.taskdefs.optional.extension.resolvers",3,1
"main.org.apache.tools.ant.taskdefs.optional.i18n",4,0
"main.org.apache.tools.ant.taskdefs.optional.image",5,0
"main.org.apache.tools.ant.taskdefs.optional.j2ee",3,0
"main.org.apache.tools.ant.taskdefs.optional.javacc",4,0
"main.org.apache.tools.ant.taskdefs.optional.javah",6,1
"main.org.apache.tools.ant.taskdefs.optional.jdepend",4,0
"main.org.apache.tools.ant.taskdefs.optional.jlink",4,0
"main.org.apache.tools.ant.taskdefs.optional.jsp",5,2
"main.org.apache.tools.ant.taskdefs.optional.jsp.compilers",4,2
"main.org.apache.tools.ant.taskdefs.optional.junit",5,0
"main.org.apache.tools.ant.taskdefs.optional.native2ascii",5,1
"main.org.apache.tools.ant.taskdefs.optional.net",6,1
"main.org.apache.tools.ant.taskdefs.optional.pvcs",4,0
"main.org.apache.tools.ant.taskdefs.optional.script",4,0
"main.org.apache.tools.ant.taskdefs.optional.sos",4,0
"main.org.apache.tools.ant.taskdefs.optional.sound",1,0
"main.org.apache.tools.ant.taskdefs.optional.splash",3,0
"main.org.apache.tools.ant.taskdefs.optional.ssh",4,0
"main.org.apache.tools.ant.taskdefs.optional.testing",4,0
"main.org.apache.tools.ant.taskdefs.optional.unix",6,0
"main.org.apache.tools.ant.taskdefs.optional.vss",4,0
"main.org.apache.tools.ant.taskdefs.optional.windows",4,0
"main.org.apache.tools.ant.taskdefs.rmic",4,3
"main.org.apache.tools.ant.types",12,69
"main.org.apache.tools.ant.types.conditions",0,0
"main.org.apache.tools.ant.types.mappers",4,0
"main.org.apache.tools.ant.types.optional",6,0
"main.org.apache.tools.ant.types.optional.depend",4,0
"main.org.apache.tools.ant.types.optional.image",1,1
"main.org.apache.tools.ant.types.resolver",2,0
"main.org.apache.tools.ant.types.resources",11,19
"main.org.apache.tools.ant.types.resources.comparators",4,3
"main.org.apache.tools.ant.types.resources.selectors",7,5
"main.org.apache.tools.ant.types.selectors",8,12
"main.org.apache.tools.ant.types.selectors.modifiedselector",6,4
"main.org.apache.tools.ant.types.spi",1,1
"main.org.apache.tools.ant.util",10,65
"main.org.apache.tools.ant.util.depend",3,4
"main.org.apache.tools.ant.util.depend.bcel",2,0
"main.org.apache.tools.ant.util.facade",2,2
"main.org.apache.tools.ant.util.java15",1,0
"main.org.apache.tools.ant.util.optional",2,0
"main.org.apache.tools.ant.util.regexp",2,10
"main.org.apache.tools.bzip2",0,3
"main.org.apache.tools.mail",0,2
"main.org.apache.tools.tar",1,3
"main.org.apache.tools.zip",0,8
"org.apache.tools.ant.taskdefs",0,0
"org.apache.tools.ant.types.resources.comparators",0,0
"org.apache.tools.ant.types.resources.selectors",0,0
"script",0,0

