Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.apache.hadoop.hive.ant.GenHiveTemplate",2,1,9,10,14,1,0,1,116,111,0,0,0,"2,00",4,44,18
"org.apache.hadoop.hive.common.CompressionUtils",1,0,13,13,1,1,0,1,39,27,0,11,0,"2,00",0,7,2
"org.apache.hadoop.hive.common.FileUtils",4,3,35,38,15,1,0,9,572,350,0,11,0,"2,88",19,49,72
"org.apache.hadoop.hive.common.FileUtils.AcceptAllPathFilter",1,0,13,13,0,1,0,1,9,6,0,11,0,"1,00",1,1,1
"org.apache.hadoop.hive.common.HiveInterruptCallback",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.hadoop.hive.common.HiveInterruptUtils",1,1,16,17,1,1,0,2,42,33,0,11,0,"1,50",2,13,6
"org.apache.hadoop.hive.common.HiveStatsUtils",1,0,13,13,16,1,0,1,44,21,0,11,0,"3,00",1,7,3
"org.apache.hadoop.hive.common.JavaUtils",0,2,17,19,0,1,0,2,94,74,0,11,0,"2,80",2,23,14
"org.apache.hadoop.hive.common.LogUtils",3,3,17,20,15,1,0,1,105,82,0,11,0,"3,20",4,21,16
"org.apache.hadoop.hive.common.LogUtils.LogInitializationException",1,5,44,49,0,3,1,0,6,6,0,26,0,"1,00",0,2,1
"org.apache.hadoop.hive.common.ObjectPair",0,2,22,24,0,1,0,3,48,44,0,9,2,"1,30",6,11,13
"org.apache.hadoop.hive.common.ServerUtils",2,1,13,14,14,1,0,1,23,17,0,11,0,"2,00",0,2,2
"org.apache.hadoop.hive.common.StatsSetupConst",0,14,13,27,0,1,0,1,57,21,0,11,0,"2,00",1,3,2
"org.apache.hadoop.hive.common.StatsSetupConst.StatDB",2,7,27,34,14,n/a,2,2,49,49,n/a,20,0,"1,10",2,2,11
"org.apache.hadoop.hive.common.ValidTxnList",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
"org.apache.hadoop.hive.common.ValidTxnList.RangeResponse",2,5,25,30,0,n/a,2,0,5,1,n/a,20,0,n/a,0,0,0
"org.apache.hadoop.hive.common.ValidTxnListImpl",3,2,28,30,3,1,1,1,90,87,0,10,1,"2,20",6,20,22
"org.apache.hadoop.hive.common.classification.InterfaceAudience",0,0,13,13,0,1,0,0,6,3,0,11,0,"1,00",0,1,1
"org.apache.hadoop.hive.common.classification.InterfaceAudience.LimitedPrivate",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.hadoop.hive.common.classification.InterfaceAudience.Private",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.apache.hadoop.hive.common.classification.InterfaceAudience.Public",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.apache.hadoop.hive.common.classification.InterfaceStability",0,0,12,12,0,1,0,0,6,2,0,11,0,n/a,0,0,0
"org.apache.hadoop.hive.common.classification.InterfaceStability.Evolving",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.apache.hadoop.hive.common.classification.InterfaceStability.Stable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.apache.hadoop.hive.common.classification.InterfaceStability.Unstable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.apache.hadoop.hive.common.cli.CommonCliOptions",0,4,17,21,0,1,0,1,96,54,0,11,0,"2,00",2,10,10
"org.apache.hadoop.hive.common.cli.HiveFileProcessor",1,0,18,18,1,1,1,1,71,45,0,11,0,"3,00",5,11,9
"org.apache.hadoop.hive.common.cli.IHiveFileProcessor",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.hadoop.hive.common.cli.ShellCmdExecutor",1,3,14,17,1,1,0,1,25,25,0,11,0,"1,00",1,11,2
"org.apache.hadoop.hive.common.io.CachingPrintStream",0,8,82,90,0,4,4,1,24,23,0,49,2,"1,00",1,11,5
"org.apache.hadoop.hive.common.io.DigestPrintStream",1,10,90,100,1,5,4,1,16,16,0,60,0,"1,00",0,10,3
"org.apache.hadoop.hive.common.io.FetchConverter",3,9,87,96,0,4,4,1,42,42,2,49,2,"1,38",1,13,11
"org.apache.hadoop.hive.common.io.NonSyncByteArrayInputStream",1,4,44,48,1,3,2,1,78,62,0,20,4,"1,80",6,15,18
"org.apache.hadoop.hive.common.io.NonSyncByteArrayOutputStream",1,2,45,47,1,3,3,1,74,58,0,20,4,"1,40",3,16,14
"org.apache.hadoop.hive.common.io.SortAndDigestPrintStream",2,11,92,103,2,6,4,1,17,17,0,61,1,"1,50",0,9,3
"org.apache.hadoop.hive.common.io.SortPrintStream",2,11,90,101,1,5,4,1,24,24,1,60,0,"1,25",0,5,5
"org.apache.hadoop.hive.common.metrics.Metrics",3,4,22,26,3,1,0,1,126,106,0,11,0,"2,27",5,30,25
"org.apache.hadoop.hive.common.metrics.Metrics.MetricsScope",1,6,18,24,3,1,0,1,74,50,0,11,0,"1,67",2,14,10
"org.apache.hadoop.hive.common.metrics.MetricsMBean",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"org.apache.hadoop.hive.common.metrics.MetricsMBeanImpl",2,6,33,39,1,1,2,1,128,123,0,11,0,"1,73",7,36,19
"org.apache.hadoop.hive.common.type.Decimal128",5,11,103,114,5,2,2,2,1.824,835,0,10,3,"2,29",44,173,190
