Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.hadoop.hive.accumulo.predicate.compare.CompareOp",0,0,0,5,9
"org.apache.hadoop.hive.accumulo.predicate.compare.PrimitiveComparison",0,0,0,4,8
"org.apache.hadoop.hive.accumulo.serde.AccumuloRowIdFactory",0,6,10,1,6
"org.apache.hadoop.hive.common.HiveInterruptCallback",0,0,0,1,1.648
"org.apache.hadoop.hive.common.ValidTxnList",0,1,1,21,1.751
"org.apache.hadoop.hive.common.cli.IHiveFileProcessor",0,0,0,1,2
"org.apache.hadoop.hive.common.metrics.MetricsMBean",0,0,0,0,0
"org.apache.hadoop.hive.conf.Validator",0,0,0,4,1.943
"org.apache.hadoop.hive.contrib.mr.GenericMR.RecordProcessor",0,1,1,1,3
"org.apache.hadoop.hive.contrib.mr.Mapper",0,0,0,0,0
"org.apache.hadoop.hive.contrib.mr.Output",0,0,0,2,2
"org.apache.hadoop.hive.contrib.mr.Reducer",0,0,0,0,0
"org.apache.hadoop.hive.hbase.HBaseKeyFactory",0,7,1.737,0,0
"org.apache.hadoop.hive.io.HiveIOExceptionHandler",0,0,0,0,0
"org.apache.hadoop.hive.metastore.AlterHandler",0,6,36,0,0
"org.apache.hadoop.hive.metastore.HiveMetaHook",0,2,12,6,1.648
"org.apache.hadoop.hive.metastore.HiveMetaHookLoader",0,2,12,2,1.648
"org.apache.hadoop.hive.metastore.IExtrapolatePartStatus",0,2,2,0,0
"org.apache.hadoop.hive.metastore.IHMSHandler",0,1,6,0,0
"org.apache.hadoop.hive.metastore.IMetaStoreClient",0,47,267,21,1.653
"org.apache.hadoop.hive.metastore.MetaStoreFS",0,1,6,0,0
"org.apache.hadoop.hive.metastore.MetaStoreThread",0,3,22,1,1
"org.apache.hadoop.hive.metastore.PartitionExpressionProxy",0,1,6,1,1
"org.apache.hadoop.hive.metastore.RawStore",0,30,135,4,1.727
"org.apache.hadoop.hive.metastore.TestAuthorizationApiAuthorizer.FunctionInvoker",0,0,0,1,1
"org.apache.hadoop.hive.metastore.hooks.JDOConnectionURLHook",0,0,0,4,4
"org.apache.hadoop.hive.ql.HiveDriverRunHook",0,1,1,3,3
"org.apache.hadoop.hive.ql.HiveDriverRunHookContext",0,0,0,3,3
"org.apache.hadoop.hive.ql.exec.BucketMatcher",0,0,0,2,1.649
"org.apache.hadoop.hive.ql.exec.CommonFunctionInfo",0,0,0,0,0
