Method,ev(G),iv(G),v(G)
"null.accept(Path)",1,2,2
"null.array()",1,1,1
"null.arrayList()",1,1,1
"null.assignDescriptors(FileDescriptor)",1,1,1
"null.checkType(String)",1,1,1
"null.combine(ExprType)",1,1,1
"null.compare(Integer,Integer)",1,1,1
"null.compare(String,String)",1,1,1
"null.compare(byte[],byte[])",1,1,1
"null.create(Token)",1,1,1
"null.defaultValueString(ConfVars)",1,1,1
"null.dupNode(Object)",1,1,1
"null.errorNode(TokenStream,Token,Token,RecognitionException)",1,1,1
"null.findValueByNumber(int)",1,1,1
"null.get(DoubleWritable)",1,1,1
"null.get(HiveDecimalWritable)",1,1,1
"null.get(LongWritable)",1,1,1
"null.getAggregator(Configuration)",1,1,1
"null.getConverter(PrimitiveType,int,HiveGroupConverter)",1,1,1
"null.getPublisher(Configuration)",1,1,1
"null.hashMap(int)",1,1,1
"null.hashMapEntry()",1,1,1
"null.hashSet(int)",1,1,1
"null.inRange(String,Object,Object)",1,1,2
"null.initialValue()",1,1,1
"null.linkedHashMap(int)",1,1,1
"null.linkedList(int)",1,1,1
"null.makeInstance(Schema)",1,1,1
"null.memoryAlign()",1,1,1
"null.newInstance()",1,1,1
"null.object()",1,1,1
"null.parsePartialFrom(CodedInputStream,ExtensionRegistryLite)",1,1,1
"null.postHook(Set<String>,List<String>)",1,1,1
"null.preHook(Set<String>,List<String>)",1,1,1
"null.ref()",1,1,1
"null.remove()",1,3,3
"null.run()",1,3,3
"null.set(Double,DoubleWritable)",1,1,1
"null.set(HiveDecimal,HiveDecimalWritable)",1,1,1
"null.set(Long,LongWritable)",1,1,1
"org.apache.hadoop.fs.DefaultFileAccess.checkFileAccess(FileSystem,FileStatus,FsAction)",1,1,1
"org.apache.hadoop.fs.DefaultFileAccess.checkFileAccess(FileSystem,FileStatus,FsAction,String,List<String>)",7,4,8
"org.apache.hadoop.fs.DefaultFileAccess.getSuperGroupName(Configuration)",1,1,1
"org.apache.hadoop.fs.DefaultFileAccess.userBelongsToSuperGroup(String,List<String>)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.ProxyFileSystem()",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.ProxyFileSystem(FileSystem)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.ProxyFileSystem(FileSystem,URI)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.append(Path,int,Progressable)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.checkPath(Path)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.completeLocalOutput(Path,Path)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.copyFromLocalFile(boolean,Path,Path)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.copyFromLocalFile(boolean,boolean,Path,Path)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.copyFromLocalFile(boolean,boolean,Path[],Path)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.copyToLocalFile(boolean,Path,Path)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.create(Path,FsPermission,boolean,int,short,long,Progressable)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.delete(Path,boolean)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.deleteOnExit(Path)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.getContentSummary(Path)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.getFileBlockLocations(FileStatus,long,long)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.getFileChecksum(Path)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.getFileStatus(Path)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.getHomeDirectory()",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.getName()",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.getUri()",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.getWorkingDirectory()",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.initialize(URI,Configuration)",1,1,2
"org.apache.hadoop.fs.ProxyFileSystem.listStatus(Path)",1,2,2
"org.apache.hadoop.fs.ProxyFileSystem.makeQualified(Path)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.mkdirs(Path,FsPermission)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.open(Path,int)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.rename(Path,Path)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.resolvePath(Path)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.setOwner(Path,String,String)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.setPermission(Path,FsPermission)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.setReplication(Path,short)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.setTimes(Path,long,long)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.setWorkingDirectory(Path)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.startLocalOutput(Path,Path)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.swizzleFileStatus(FileStatus,boolean)",1,2,2
"org.apache.hadoop.fs.ProxyFileSystem.swizzleParamPath(Path)",1,1,1
"org.apache.hadoop.fs.ProxyFileSystem.swizzleReturnPath(Path)",1,1,1
"org.apache.hadoop.fs.ProxyLocalFileSystem.ProxyLocalFileSystem()",1,1,1
"org.apache.hadoop.fs.ProxyLocalFileSystem.ProxyLocalFileSystem(FileSystem)",1,1,1
"org.apache.hadoop.fs.ProxyLocalFileSystem.initialize(URI,Configuration)",1,3,3
"org.apache.hadoop.hive.accumulo.AccumuloConnectionParameters.AccumuloConnectionParameters(Configuration)",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloConnectionParameters.getAccumuloInstanceName()",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloConnectionParameters.getAccumuloPassword()",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloConnectionParameters.getAccumuloTableName()",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloConnectionParameters.getAccumuloUserName()",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloConnectionParameters.getConf()",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloConnectionParameters.getConnector()",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloConnectionParameters.getConnector(Instance)",3,1,3
"org.apache.hadoop.hive.accumulo.AccumuloConnectionParameters.getInstance()",4,1,4
"org.apache.hadoop.hive.accumulo.AccumuloConnectionParameters.getZooKeepers()",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloConnectionParameters.useMockInstance()",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.AccumuloHiveRow()",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.AccumuloHiveRow(String)",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.ColumnTuple.ColumnTuple(Text,Text,byte[])",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.ColumnTuple.equals(Object)",10,4,10
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.ColumnTuple.getCf()",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.ColumnTuple.getCq()",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.ColumnTuple.getValue()",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.ColumnTuple.hashCode()",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.ColumnTuple.toString()",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.add(String,String,byte[])",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.add(Text,Text,byte[])",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.clear()",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.equals(Object)",5,3,5
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.getRowId()",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.getTuples()",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.getValue(Text,Text)",3,4,4
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.hasFamAndQual(Text,Text)",3,3,4
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.readFields(DataInput)",1,4,4
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.setRowId(String)",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.toString()",1,2,2
"org.apache.hadoop.hive.accumulo.AccumuloHiveRow.write(DataOutput)",1,3,3
"org.apache.hadoop.hive.accumulo.AccumuloQTestUtil.AccumuloQTestUtil(String,String,MiniClusterType,AccumuloTestSetup,String,String)",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloQTestUtil.init()",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloStorageHandler.commitCreateTable(Table)",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloStorageHandler.commitDropTable(Table,boolean)",2,7,7
"org.apache.hadoop.hive.accumulo.AccumuloStorageHandler.configureInputJobProperties(TableDesc,Map<String, String>)",3,6,7
"org.apache.hadoop.hive.accumulo.AccumuloStorageHandler.configureJobConf(TableDesc,JobConf)",1,4,4
"org.apache.hadoop.hive.accumulo.AccumuloStorageHandler.configureOutputJobProperties(TableDesc,Map<String, String>)",1,4,4
"org.apache.hadoop.hive.accumulo.AccumuloStorageHandler.configureTableJobProperties(TableDesc,Map<String, String>)",1,1,1
"org.apache.hadoop.hive.accumulo.AccumuloStorageHandler.decomposePredicate(JobConf,Deserializer,ExprNodeDesc)",3,3,3
