Package,C(rec),LOC(rec),METH(rec)
"",80,13.051,754
"org",80,13.051,754
"org.apache",80,13.051,754
"org.apache.hadoop",65,11.676,664
"org.apache.hadoop.hive",65,11.676,664
"org.apache.hadoop.hive.ant",1,150,9
"org.apache.hadoop.hive.common",51,9.007,540
"org.apache.hadoop.hive.common.classification",8,81,2
"org.apache.hadoop.hive.common.cli",4,291,13
"org.apache.hadoop.hive.common.io",8,424,44
"org.apache.hadoop.hive.common.metrics",5,431,32
"org.apache.hadoop.hive.common.type",8,6.255,365
"org.apache.hadoop.hive.conf",13,2.519,115
"org.apache.hive",15,1.375,90
"org.apache.hive.common",15,1.375,90
"org.apache.hive.common.util",12,1.237,78

