Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.argouml.application.Main",6,3,2,5,6,0,0,1,279,208,0,0,0,"12,00",0,5,24
"org.argouml.application.PostLoad",1,2,3,5,0,0,0,1,17,17,0,0,0,"1,33",0,3,4
"org.argouml.application.PreloadClasses",1,0,1,1,0,0,0,1,63,59,0,0,0,"1,00",0,1,1
"org.argouml.application.StartCritics",1,0,1,1,0,0,0,1,21,20,0,0,0,"2,00",0,1,2
"org.argouml.application.api.Argo",0,21,11,32,0,0,0,10,172,73,0,0,0,"1,09",8,11,12
"org.argouml.application.api.ArgoEventListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.argouml.application.api.ArgoModule",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,n/a
"org.argouml.application.api.ArgoSingletonModule",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a
"org.argouml.application.api.Configuration",0,7,30,37,0,0,0,8,291,101,0,0,0,"1,00",21,30,30
"org.argouml.application.api.ConfigurationKey",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"org.argouml.application.api.Notation",0,7,57,64,0,0,0,9,366,263,0,0,0,"1,44",52,57,82
"org.argouml.application.api.NotationContext",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.argouml.application.api.NotationName",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
"org.argouml.application.api.NotationProvider",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,22,n/a
"org.argouml.application.api.Pluggable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.argouml.application.api.PluggableCritic",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.argouml.application.api.PluggableDiagram",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.argouml.application.api.PluggableMenu",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"org.argouml.application.api.PluggableModule",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.argouml.application.api.PluggableNotation",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.argouml.application.api.PluggablePropertyPanel",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"org.argouml.application.api.PluggableResourceBundle",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.argouml.application.api.PluggableSettingsTab",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.argouml.application.api.QuadrantPanel",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.argouml.application.api.SettingsTabPanel",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
"org.argouml.application.configuration.ConfigurationFactory",0,2,3,5,0,0,0,2,57,31,0,0,0,"1,67",2,3,5
"org.argouml.application.configuration.ConfigurationHandler",0,6,36,42,0,0,0,4,428,190,0,0,0,"1,90",23,36,55
"org.argouml.application.configuration.ConfigurationKeyImpl",0,1,9,10,0,0,0,1,58,32,0,0,0,"1,11",3,9,10
"org.argouml.application.configuration.ConfigurationProperties",0,3,8,11,0,0,0,3,135,78,0,0,0,"1,38",6,8,11
"org.argouml.application.events.ArgoEvent",0,1,5,6,0,0,0,2,26,20,0,0,0,"1,20",4,5,6
"org.argouml.application.events.ArgoEventPump",1,3,13,16,1,0,0,1,118,118,0,0,0,"2,85",1,16,37
"org.argouml.application.events.ArgoEventPump.Pair",1,2,4,6,0,0,0,2,13,13,0,0,0,"1,00",3,4,4
"org.argouml.application.events.ArgoEventTypes",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.argouml.application.events.ArgoModuleEvent",0,0,2,2,0,0,0,1,10,6,0,0,0,"1,00",1,2,2
"org.argouml.application.events.ArgoModuleEventListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"org.argouml.application.events.ArgoNotationEvent",0,0,2,2,0,0,0,1,10,6,0,0,0,"1,00",1,2,2
"org.argouml.application.events.ArgoNotationEventListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a
