Package,C(rec),LOC(rec),METH(rec)
"",859,119.826,6.294
"argouml",859,119.815,6.294
"argouml.Images",n/a,36,n/a
"argouml.application",50,5.263,367
"argouml.application.api",21,1.837,158
"argouml.application.configuration",4,827,56
"argouml.application.events",8,460,35
"argouml.application.helpers",4,267,33
"argouml.application.modules",2,682,29
"argouml.application.notation",2,326,34
"argouml.application.security",5,402,15
"argouml.cognitive",66,8.215,665
"argouml.cognitive.checklist",6,619,64
"argouml.cognitive.checklist.ui",2,251,25
"argouml.cognitive.critics",18,2.009,156
"argouml.cognitive.critics.ui",2,445,24
"argouml.cognitive.ui",30,3.710,204
"argouml.kernel",16,1.916,142
"argouml.language",48,14.184,394
"argouml.language.helpers",1,183,25
"argouml.language.java",43,13.498,337
"argouml.language.java.cognitive",1,153,5
"argouml.language.java.cognitive.critics",1,117,5
"argouml.language.java.generator",21,11.572,274
"argouml.language.java.ui",9,800,41
"argouml.language.ui",3,282,26
"argouml.language.uml",n/a,72,n/a
"argouml.language.uml.generator",n/a,36,n/a
"argouml.ocl",5,513,22
"argouml.ocl.ui",n/a,36,n/a
"argouml.pattern",3,292,6
"argouml.pattern.cognitive",3,256,6
"argouml.pattern.cognitive.critics",3,220,6
"argouml.persistence",2,1.402,52
"argouml.resource",n/a,161,n/a
"argouml.ui",95,8.760,550
"argouml.uml",552,70.247,3.980
"argouml.uml.cognitive",121,13.704,407
"argouml.uml.cognitive.checklist",14,991,20
"argouml.uml.cognitive.critics",99,8.660,379
"argouml.uml.diagram",173,23.978,1.802
"argouml.uml.diagram.activity",3,613,39
"argouml.uml.diagram.activity.ui",3,577,39
"argouml.uml.diagram.collaboration",9,1.207,111
"argouml.uml.diagram.collaboration.ui",8,903,84
"argouml.uml.diagram.deployment",25,3.860,215
"argouml.uml.diagram.deployment.ui",14,2.704,148
"argouml.uml.diagram.layout",5,263,13
"argouml.uml.diagram.sequence",16,3.274,166
"argouml.uml.diagram.sequence.ui",11,2.709,123
"argouml.uml.diagram.state",36,3.749,400
"argouml.uml.diagram.state.ui",31,3.243,359
"argouml.uml.diagram.static_structure",30,4.965,342
"argouml.uml.diagram.static_structure.layout",2,719,36
"argouml.uml.diagram.static_structure.ui",23,3.539,259
"argouml.uml.diagram.ui",36,4.261,391
"argouml.uml.diagram.use_case",12,1.638,116
"argouml.uml.diagram.use_case.ui",9,1.185,81
"argouml.uml.generator",7,1.709,130
"argouml.uml.generator.ui",2,351,15
"argouml.uml.reveng",14,9.262,240
"argouml.uml.reveng.java",12,8.827,222
"argouml.uml.ui",172,18.330,1.132
"argouml.uml.ui.behavior",24,2.594,127
"argouml.uml.ui.behavior.activity_graphs",1,103,2
"argouml.uml.ui.behavior.collaborations",3,390,21
"argouml.uml.ui.behavior.common_behavior",8,785,39
"argouml.uml.ui.behavior.state_machines",10,1.052,59
"argouml.uml.ui.behavior.use_cases",2,228,6
"argouml.uml.ui.foundation",18,2.433,128
"argouml.uml.ui.foundation.core",17,2.265,123
"argouml.uml.ui.foundation.extension_mechanisms",1,132,5
"argouml.uml.ui.model_management",2,285,36
"argouml.util",10,832,40
"argouml.util.logging",1,128,4
"argouml.xml",12,6.502,76
"argouml.xml.argo",2,264,18
"argouml.xml.dtd",n/a,5.318,n/a
"argouml.xml.pgml",1,182,3
"argouml.xml.xmi",1,135,5

