Chidamber-Kemerer metrics,Qua, 13 dez 2017 11:04:21 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"org.argouml.application.Main",6,0,1,0,5,24
"org.argouml.application.PostLoad",1,0,1,0,3,4
"org.argouml.application.PreloadClasses",1,0,1,0,1,1
"org.argouml.application.StartCritics",1,0,1,0,1,2
"org.argouml.application.api.Argo",0,0,10,0,11,12
"org.argouml.application.api.ArgoEventListener",n/a,n/a,n/a,n/a,0,n/a
"org.argouml.application.api.ArgoModule",n/a,n/a,n/a,n/a,10,n/a
"org.argouml.application.api.ArgoSingletonModule",n/a,n/a,n/a,n/a,5,n/a
"org.argouml.application.api.Configuration",0,0,8,0,30,30
"org.argouml.application.api.ConfigurationKey",n/a,n/a,n/a,n/a,2,n/a
"org.argouml.application.api.Notation",0,0,9,0,57,82
"org.argouml.application.api.NotationContext",n/a,n/a,n/a,n/a,1,n/a
"org.argouml.application.api.NotationName",n/a,n/a,n/a,n/a,6,n/a
"org.argouml.application.api.NotationProvider",n/a,n/a,n/a,n/a,22,n/a
"org.argouml.application.api.Pluggable",n/a,n/a,n/a,n/a,1,n/a
"org.argouml.application.api.PluggableCritic",n/a,n/a,n/a,n/a,0,n/a
"org.argouml.application.api.PluggableDiagram",n/a,n/a,n/a,n/a,1,n/a
"org.argouml.application.api.PluggableMenu",n/a,n/a,n/a,n/a,2,n/a
"org.argouml.application.api.PluggableModule",n/a,n/a,n/a,n/a,0,n/a
"org.argouml.application.api.PluggableNotation",n/a,n/a,n/a,n/a,0,n/a
"org.argouml.application.api.PluggablePropertyPanel",n/a,n/a,n/a,n/a,2,n/a
"org.argouml.application.api.PluggableResourceBundle",n/a,n/a,n/a,n/a,0,n/a
"org.argouml.application.api.PluggableSettingsTab",n/a,n/a,n/a,n/a,1,n/a
"org.argouml.application.api.QuadrantPanel",n/a,n/a,n/a,n/a,1,n/a
"org.argouml.application.api.SettingsTabPanel",n/a,n/a,n/a,n/a,6,n/a
"org.argouml.application.configuration.ConfigurationFactory",0,0,2,0,3,5
"org.argouml.application.configuration.ConfigurationHandler",0,0,4,0,36,55
"org.argouml.application.configuration.ConfigurationKeyImpl",0,0,1,0,9,10
"org.argouml.application.configuration.ConfigurationProperties",0,0,3,0,8,11
"org.argouml.application.events.ArgoEvent",0,0,2,0,5,6
"org.argouml.application.events.ArgoEventPump",1,0,1,0,16,37
"org.argouml.application.events.ArgoEventPump.Pair",1,0,2,0,4,4
"org.argouml.application.events.ArgoEventTypes",n/a,n/a,n/a,n/a,0,n/a
"org.argouml.application.events.ArgoModuleEvent",0,0,1,0,2,2
"org.argouml.application.events.ArgoModuleEventListener",n/a,n/a,n/a,n/a,4,n/a
"org.argouml.application.events.ArgoNotationEvent",0,0,1,0,2,2
"org.argouml.application.events.ArgoNotationEventListener",n/a,n/a,n/a,n/a,5,n/a
"org.argouml.application.helpers.DiagramHelper",0,0,8,0,9,9
"org.argouml.application.helpers.ModuleHelper",0,0,2,0,4,4
"org.argouml.application.helpers.ResourceBundleHelper",0,0,6,0,6,6
"org.argouml.application.helpers.SettingsTabHelper",0,0,11,0,14,14
"org.argouml.application.modules.ModuleLoader",3,0,4,0,29,94
"org.argouml.application.modules.ModuleLoader.JarFileFilter",1,0,1,0,1,1
"org.argouml.application.notation.NotationNameImpl",0,0,6,0,22,29
"org.argouml.application.notation.NotationProviderFactory",0,0,5,0,12,20
"org.argouml.application.security.ArgoAwtExceptionHandler",1,0,1,0,2,3
"org.argouml.application.security.ArgoClassLoader",0,0,1,0,2,4
"org.argouml.application.security.ArgoJarClassLoader",1,0,2,0,3,5
"org.argouml.application.security.ArgoSecurityException",0,0,1,0,3,3
"org.argouml.application.security.ArgoSecurityManager",1,0,2,0,5,11
"org.argouml.cognitive.Decision",0,0,2,0,7,8
"org.argouml.cognitive.DecisionModel",0,0,1,0,10,15
"org.argouml.cognitive.Design",0,0,1,0,10,16
"org.argouml.cognitive.DesignMaterial",0,0,7,0,43,65
"org.argouml.cognitive.Designer",0,0,26,0,64,76
"org.argouml.cognitive.Goal",0,0,2,0,7,8
"org.argouml.cognitive.GoalModel",0,0,1,0,8,10
"org.argouml.cognitive.Poster",n/a,n/a,n/a,n/a,15,n/a
"org.argouml.cognitive.ToDoItem",1,0,4,0,30,40
"org.argouml.cognitive.ToDoList",1,0,5,0,40,69
"org.argouml.cognitive.ToDoListEvent",0,0,1,0,3,3
"org.argouml.cognitive.ToDoListListener",n/a,n/a,n/a,n/a,4,n/a
"org.argouml.cognitive.checklist.CheckItem",0,0,4,0,14,15
"org.argouml.cognitive.checklist.CheckManager",0,0,2,0,4,8
"org.argouml.cognitive.checklist.Checklist",0,0,2,0,12,14
"org.argouml.cognitive.checklist.ChecklistStatus",0,0,1,0,9,11
"org.argouml.cognitive.checklist.ui.TabChecklist",1,0,3,0,10,10
"org.argouml.cognitive.checklist.ui.TableModelChecklist",1,0,13,0,18,34
"org.argouml.cognitive.critics.Agency",0,0,1,0,16,32
"org.argouml.cognitive.critics.AndCM",2,1,1,1,1,3
"org.argouml.cognitive.critics.CompositeCM",3,0,1,2,1,1
"org.argouml.cognitive.critics.CompoundCritic",0,0,11,0,23,33
"org.argouml.cognitive.critics.ControlMech",0,0,1,0,2,2
"org.argouml.cognitive.critics.CrNodesOverlap",0,0,1,0,5,20
"org.argouml.cognitive.critics.CrZeroLengthEdge",0,0,1,0,2,4
"org.argouml.cognitive.critics.Critic",0,0,21,0,68,80
"org.argouml.cognitive.critics.CurDecisionCM",1,0,1,0,1,1
"org.argouml.cognitive.critics.DesignGoalsCM",1,0,1,0,1,1
"org.argouml.cognitive.critics.EnabledCM",0,0,1,0,1,1
"org.argouml.cognitive.critics.HistoryItemCritique",0,0,0,0,2,3
"org.argouml.cognitive.critics.NotSnoozedCM",1,0,1,0,1,1
"org.argouml.cognitive.critics.OrCM",1,1,1,0,1,3
"org.argouml.cognitive.critics.SnoozeOrder",0,0,1,0,6,8
"org.argouml.cognitive.critics.StandardCM",5,2,0,0,2,1
"org.argouml.cognitive.critics.ui.CriticBrowserDialog",1,0,2,0,15,35
"org.argouml.cognitive.critics.ui.TableModelCritics",1,0,7,0,11,25
"org.argouml.cognitive.ui.AddToDoItemDialog",0,0,1,0,2,7
"org.argouml.cognitive.ui.DesignIssuesDialog",0,0,2,0,4,7
"org.argouml.cognitive.ui.DismissToDoItemDialog",0,0,1,0,4,8
"org.argouml.cognitive.ui.GoListToDecisionsToItems",0,0,8,0,12,26
"org.argouml.cognitive.ui.GoListToGoalsToItems",0,0,8,0,12,26
"org.argouml.cognitive.ui.GoListToOffenderToItem",0,0,8,0,12,21
"org.argouml.cognitive.ui.GoListToPosterToItem",0,0,8,0,12,21
"org.argouml.cognitive.ui.GoListToPriorityToItem",0,0,10,0,11,27
"org.argouml.cognitive.ui.GoListToTypeToItem",0,0,10,0,11,25
"org.argouml.cognitive.ui.GoalsDialog",0,0,2,0,4,7
"org.argouml.cognitive.ui.KnowledgeTypeNode",1,0,2,0,4,5
"org.argouml.cognitive.ui.PriorityNode",1,0,3,0,5,6
"org.argouml.cognitive.ui.TabToDo",0,0,1,0,7,12
"org.argouml.cognitive.ui.TabToDoTarget",n/a,n/a,n/a,n/a,3,n/a
"org.argouml.cognitive.ui.ToDoByDecision",0,0,4,0,5,21
"org.argouml.cognitive.ui.ToDoByGoal",0,0,4,0,5,21
"org.argouml.cognitive.ui.ToDoByOffender",0,0,4,0,5,18
"org.argouml.cognitive.ui.ToDoByPoster",0,0,4,0,5,18
"org.argouml.cognitive.ui.ToDoByPriority",0,0,4,0,5,21
"org.argouml.cognitive.ui.ToDoByType",0,0,4,0,5,21
"org.argouml.cognitive.ui.ToDoPane",0,0,8,0,30,57
"org.argouml.cognitive.ui.ToDoPerspective",1,0,3,0,12,24
"org.argouml.cognitive.ui.ToDoTreeRenderer",2,0,1,0,1,15
"org.argouml.cognitive.ui.WizDescription",0,0,1,0,2,10
"org.argouml.cognitive.ui.WizStep",0,0,2,0,15,30
"org.argouml.cognitive.ui.WizStepChoice",0,0,1,0,3,8
"org.argouml.cognitive.ui.WizStepConfirm",0,0,0,0,2,2
"org.argouml.cognitive.ui.WizStepCue",0,0,0,0,1,1
"org.argouml.cognitive.ui.WizStepManyTextFields",0,0,1,0,2,4
"org.argouml.cognitive.ui.WizStepTextField",0,0,1,0,3,3
"org.argouml.kernel.ArgoConstants",n/a,n/a,n/a,n/a,0,n/a
"org.argouml.kernel.ArgoFileFilter",0,0,2,0,3,8
"org.argouml.kernel.ChildGenDMElements",0,0,1,0,1,2
"org.argouml.kernel.DelayedChangeNotify",0,0,1,0,2,2
"org.argouml.kernel.DelayedVChangeListener",n/a,n/a,n/a,n/a,1,n/a
"org.argouml.kernel.History",1,0,1,0,12,15
"org.argouml.kernel.HistoryEvent",0,0,1,0,2,2
"org.argouml.kernel.HistoryItem",0,0,3,0,8,9
"org.argouml.kernel.HistoryItemManipulation",0,0,0,0,3,4
