Chidamber-Kemerer metrics,Qua, 13 dez 2017 11:49:40 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"net.sourceforge.atunes.ApplicationArguments",1,0,0,0,0,0
"net.sourceforge.atunes.CheckThreadViolationRepaintManager",1,0,3,0,11,22
"net.sourceforge.atunes.Constants",31,0,0,0,1,0
"net.sourceforge.atunes.Main",11,0,1,0,14,4
"net.sourceforge.atunes.UncaughtExceptionHandler",4,0,1,0,3,2
"net.sourceforge.atunes.gui.AutoCompleteFeature",2,0,1,0,7,26
"net.sourceforge.atunes.gui.ColorDefinitions",5,0,1,0,2,1
"net.sourceforge.atunes.gui.Cover3D",3,0,1,0,4,5
"net.sourceforge.atunes.gui.FontSingleton",35,0,1,0,3,3
"net.sourceforge.atunes.gui.Frame",n/a,n/a,n/a,n/a,31,n/a
"net.sourceforge.atunes.gui.GuiUtils",12,0,6,0,7,11
"net.sourceforge.atunes.gui.LookAndFeelSelector",5,0,2,0,8,5
"net.sourceforge.atunes.gui.MultipleFrame",19,0,10,0,76,47
"net.sourceforge.atunes.gui.StandardFrame",17,0,3,0,70,64
"net.sourceforge.atunes.gui.ToolBar",9,0,1,0,11,10
"net.sourceforge.atunes.gui.dockableView.CloseListener",n/a,n/a,n/a,n/a,2,n/a
"net.sourceforge.atunes.gui.dockableView.DockFramePositionListener",n/a,n/a,n/a,n/a,1,n/a
"net.sourceforge.atunes.gui.dockableView.DockableDialog",5,1,2,0,8,5
"net.sourceforge.atunes.gui.dockableView.DockableFrame",7,1,1,0,14,14
"net.sourceforge.atunes.gui.dockableView.DockableFrameController",6,0,1,0,10,20
"net.sourceforge.atunes.gui.dockableView.DockableWindow",8,0,8,2,38,41
"net.sourceforge.atunes.gui.dockableView.MouseResizeListener",1,0,6,0,11,28
"net.sourceforge.atunes.gui.images.ImageLoader",41,0,1,0,2,7
"net.sourceforge.atunes.gui.images.themes.ThemePreviewLoader",1,0,1,0,1,3
"net.sourceforge.atunes.gui.model.AudioScrobblerAlbumsTableModel",3,0,7,0,13,12
"net.sourceforge.atunes.gui.model.AudioScrobblerArtistsTableModel",4,0,7,0,14,15
"net.sourceforge.atunes.gui.model.AudioScrobblerTracksTableModel",5,0,7,0,14,11
"net.sourceforge.atunes.gui.model.NavigationTableModel",18,0,4,0,27,35
"net.sourceforge.atunes.gui.model.PlayListTableModel",20,0,1,0,40,53
"net.sourceforge.atunes.gui.model.TransferableList",4,0,2,0,6,4
"net.sourceforge.atunes.gui.views.RendererSingleton",17,0,4,0,16,37
"net.sourceforge.atunes.gui.views.controls.CustomButton",18,0,0,0,1,1
"net.sourceforge.atunes.gui.views.controls.CustomDialog",18,0,1,17,3,2
"net.sourceforge.atunes.gui.views.controls.CustomJFileChooser",2,0,1,0,3,5
"net.sourceforge.atunes.gui.views.controls.DragSourceTable",3,0,6,0,10,10
"net.sourceforge.atunes.gui.views.controls.DragSourceTree",3,0,6,0,9,9
"net.sourceforge.atunes.gui.views.controls.Link",2,0,1,0,4,2
"net.sourceforge.atunes.gui.views.controls.ModalFrame",6,0,1,2,2,4
"net.sourceforge.atunes.gui.views.controls.PopUpButton",4,0,1,0,7,14
"net.sourceforge.atunes.gui.views.controls.UrlLabel",5,0,1,0,5,4
"net.sourceforge.atunes.gui.views.controls.UrlTextArea",1,0,1,0,4,7
"net.sourceforge.atunes.gui.views.controls.playList.Column",13,0,12,16,36,27
"net.sourceforge.atunes.gui.views.controls.playList.ColumnBean",3,0,3,0,6,6
"net.sourceforge.atunes.gui.views.controls.playList.ColumnOrder",1,0,1,0,1,1
"net.sourceforge.atunes.gui.views.controls.playList.PlayListColumnClickedListener",n/a,n/a,n/a,n/a,1,n/a
"net.sourceforge.atunes.gui.views.controls.playList.PlayListColumnModel",3,0,2,0,8,21
"net.sourceforge.atunes.gui.views.controls.playList.PlayListColumnSelector",7,1,2,0,9,9
"net.sourceforge.atunes.gui.views.controls.playList.PlayListColumnSelector.ColumnsTableModel",3,0,5,0,16,19
"net.sourceforge.atunes.gui.views.controls.playList.PlayListColumns",19,0,1,0,32,119
"net.sourceforge.atunes.gui.views.controls.playList.PlayListColumns.PlayListColumn",3,n/a,0,n/a,0,0
"net.sourceforge.atunes.gui.views.controls.playList.PlayListRenderers",11,0,1,0,10,12
"net.sourceforge.atunes.gui.views.controls.playList.PlayListTable",19,0,38,0,48,47
"net.sourceforge.atunes.gui.views.controls.playList.PlayListTable.PlayState",4,n/a,0,n/a,0,0
"net.sourceforge.atunes.gui.views.dialogs.AboutDialog",9,1,2,0,10,4
"net.sourceforge.atunes.gui.views.dialogs.AboutDialog.AboutDialogTableModel",2,0,3,0,5,6
"net.sourceforge.atunes.gui.views.dialogs.AddPodcastFeedDialog",4,1,2,0,7,6
"net.sourceforge.atunes.gui.views.dialogs.AddRadioDialog",4,1,2,0,7,6
"net.sourceforge.atunes.gui.views.dialogs.AlbumToolTip",6,1,4,0,7,6
"net.sourceforge.atunes.gui.views.dialogs.CopyProgressDialog",11,1,1,0,14,11
"net.sourceforge.atunes.gui.views.dialogs.CoverNavigatorFrame",7,0,2,0,10,7
"net.sourceforge.atunes.gui.views.dialogs.EditTagDialog",7,1,2,0,23,19
"net.sourceforge.atunes.gui.views.dialogs.EditTitlesDialog",7,1,2,0,11,7
"net.sourceforge.atunes.gui.views.dialogs.ExportOptionsDialog",8,1,2,0,22,16
"net.sourceforge.atunes.gui.views.dialogs.FileSelectionDialog",8,1,1,0,17,39
"net.sourceforge.atunes.gui.views.dialogs.FileSelectionDialog.Directory",1,0,0,0,2,2
"net.sourceforge.atunes.gui.views.dialogs.ImageDialog",8,0,1,0,5,7
"net.sourceforge.atunes.gui.views.dialogs.IndeterminateProgressDialog",8,1,2,0,7,3
"net.sourceforge.atunes.gui.views.dialogs.MultiFolderSelectionDialog",11,1,1,0,19,45
