Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"net.sourceforge.atunes.ApplicationArguments",1,3,0,3,0,0,0,0,18,5,0,0,0,n/a,0,0,0
"net.sourceforge.atunes.CheckThreadViolationRepaintManager",1,3,11,14,0,0,0,3,134,108,0,0,0,"1,69",1,11,22
"net.sourceforge.atunes.Constants",31,37,0,37,286,0,0,0,155,40,0,0,0,n/a,0,1,0
"net.sourceforge.atunes.Main",11,1,2,3,291,0,0,1,65,30,0,0,0,"2,00",0,14,4
"net.sourceforge.atunes.UncaughtExceptionHandler",4,1,1,2,287,0,0,1,25,15,0,0,0,"1,00",0,3,2
"net.sourceforge.atunes.gui.AutoCompleteFeature",2,7,7,14,0,0,0,1,148,130,0,0,0,"2,36",1,7,26
"net.sourceforge.atunes.gui.ColorDefinitions",5,2,1,3,1,0,0,1,16,9,0,0,0,"1,00",0,2,1
"net.sourceforge.atunes.gui.Cover3D",3,7,3,10,286,0,0,1,61,55,0,0,0,"1,67",0,4,5
"net.sourceforge.atunes.gui.FontSingleton",35,10,1,11,286,0,0,1,26,20,0,0,0,"3,00",1,3,3
"net.sourceforge.atunes.gui.Frame",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,31,n/a
"net.sourceforge.atunes.gui.GuiUtils",12,1,7,8,0,0,0,6,61,38,0,0,0,"1,57",3,7,11
"net.sourceforge.atunes.gui.LookAndFeelSelector",5,3,3,6,286,0,0,2,62,59,0,0,0,"1,67",2,8,5
"net.sourceforge.atunes.gui.MultipleFrame",19,16,67,83,286,0,1,10,222,210,0,0,0,"1,24",13,76,47
"net.sourceforge.atunes.gui.StandardFrame",17,25,66,91,286,0,1,3,344,332,0,0,0,"1,83",18,70,64
"net.sourceforge.atunes.gui.ToolBar",9,9,10,19,286,0,0,1,70,70,0,0,0,"1,00",8,11,10
"net.sourceforge.atunes.gui.dockableView.CloseListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"net.sourceforge.atunes.gui.dockableView.DockFramePositionListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"net.sourceforge.atunes.gui.dockableView.DockableDialog",5,21,38,59,286,1,0,2,58,31,0,23,0,"1,00",0,8,5
"net.sourceforge.atunes.gui.dockableView.DockableFrame",7,22,43,65,286,1,0,1,85,84,0,22,1,"1,08",2,14,14
"net.sourceforge.atunes.gui.dockableView.DockableFrameController",6,9,3,12,286,0,0,1,82,82,0,0,0,"5,00",2,10,20
"net.sourceforge.atunes.gui.dockableView.DockableWindow",8,24,33,57,286,0,0,8,277,268,2,0,0,"1,41",8,38,41
"net.sourceforge.atunes.gui.dockableView.MouseResizeListener",1,16,10,26,286,0,0,6,102,93,0,0,0,"2,80",0,11,28
"net.sourceforge.atunes.gui.images.ImageLoader",41,102,1,103,286,0,0,1,119,108,0,0,0,"7,00",1,2,7
"net.sourceforge.atunes.gui.images.themes.ThemePreviewLoader",1,1,1,2,0,0,0,1,39,33,0,0,0,"3,00",1,1,3
"net.sourceforge.atunes.gui.model.AudioScrobblerAlbumsTableModel",3,2,12,14,286,0,0,7,41,40,0,0,0,"1,00",7,13,12
"net.sourceforge.atunes.gui.model.AudioScrobblerArtistsTableModel",4,2,12,14,286,0,0,7,47,46,0,0,0,"1,25",7,14,15
"net.sourceforge.atunes.gui.model.AudioScrobblerTracksTableModel",5,2,11,13,286,0,0,7,43,37,0,0,0,"1,00",7,14,11
"net.sourceforge.atunes.gui.model.NavigationTableModel",18,6,15,21,286,0,0,4,107,102,0,0,0,"2,33",9,27,35
"net.sourceforge.atunes.gui.model.PlayListTableModel",20,5,32,37,286,0,0,1,323,186,0,0,0,"1,66",14,40,53
"net.sourceforge.atunes.gui.model.TransferableList",4,3,4,7,286,0,0,2,26,26,0,0,0,"1,00",3,6,4
"net.sourceforge.atunes.gui.views.RendererSingleton",17,9,4,13,286,0,0,4,142,142,0,0,0,"2,85",4,16,37
"net.sourceforge.atunes.gui.views.controls.CustomButton",18,1,1,2,286,0,0,0,7,7,0,0,0,"1,00",0,1,1
"net.sourceforge.atunes.gui.views.controls.CustomDialog",18,2,2,4,1,0,0,1,19,19,17,0,0,"1,00",0,3,2
"net.sourceforge.atunes.gui.views.controls.CustomJFileChooser",2,5,3,8,0,0,0,1,47,40,0,0,0,"1,25",1,3,5
"net.sourceforge.atunes.gui.views.controls.DragSourceTable",3,2,9,11,286,0,0,6,47,42,0,0,0,"1,11",0,10,10
"net.sourceforge.atunes.gui.views.controls.DragSourceTree",3,2,8,10,286,0,0,6,43,38,0,0,0,"1,12",0,9,9
"net.sourceforge.atunes.gui.views.controls.Link",2,2,2,4,286,0,0,1,11,11,0,0,0,"1,00",0,4,2
"net.sourceforge.atunes.gui.views.controls.ModalFrame",6,3,2,5,286,0,0,1,24,24,2,0,0,"2,00",0,2,4
"net.sourceforge.atunes.gui.views.controls.PopUpButton",4,11,7,18,286,0,0,1,74,69,0,0,0,"1,75",2,7,14
"net.sourceforge.atunes.gui.views.controls.UrlLabel",5,1,4,5,286,0,0,1,18,18,0,0,0,"1,00",0,5,4
"net.sourceforge.atunes.gui.views.controls.UrlTextArea",1,2,4,6,287,0,0,1,38,35,0,0,0,"1,00",0,4,7
"net.sourceforge.atunes.gui.views.controls.playList.Column",13,9,29,38,286,0,0,12,228,103,16,0,0,"1,00",17,36,27
"net.sourceforge.atunes.gui.views.controls.playList.ColumnBean",3,3,6,9,0,0,0,3,51,23,0,0,0,"1,00",3,6,6
"net.sourceforge.atunes.gui.views.controls.playList.ColumnOrder",1,1,1,2,0,0,0,1,6,6,0,0,0,"1,00",1,1,1
"net.sourceforge.atunes.gui.views.controls.playList.PlayListColumnClickedListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"net.sourceforge.atunes.gui.views.controls.playList.PlayListColumnModel",3,5,3,8,286,0,0,2,101,83,0,0,0,"2,33",1,8,21
"net.sourceforge.atunes.gui.views.controls.playList.PlayListColumnSelector",7,4,6,10,286,1,0,2,80,78,0,1,0,"1,29",1,9,9
"net.sourceforge.atunes.gui.views.controls.playList.PlayListColumnSelector.ColumnsTableModel",3,3,13,16,286,0,0,5,80,73,0,0,0,"1,46",6,16,19
"net.sourceforge.atunes.gui.views.controls.playList.PlayListColumns",19,1,21,22,286,0,0,1,596,510,0,0,0,"1,63",20,32,119
"net.sourceforge.atunes.gui.views.controls.playList.PlayListColumns.PlayListColumn",3,16,0,16,0,n/a,0,0,6,3,n/a,0,0,n/a,0,0,0
"net.sourceforge.atunes.gui.views.controls.playList.PlayListRenderers",11,1,2,3,286,0,0,1,90,68,0,0,0,"2,00",1,10,12
"net.sourceforge.atunes.gui.views.controls.playList.PlayListTable",19,41,42,83,286,0,0,38,331,280,0,0,0,"1,09",38,48,47
"net.sourceforge.atunes.gui.views.controls.playList.PlayListTable.PlayState",4,3,0,3,0,n/a,0,0,3,3,n/a,0,0,n/a,0,0,0
"net.sourceforge.atunes.gui.views.dialogs.AboutDialog",9,3,5,8,286,1,0,2,74,74,0,1,0,"1,00",2,10,4
"net.sourceforge.atunes.gui.views.dialogs.AboutDialog.AboutDialogTableModel",2,2,5,7,286,0,0,3,25,25,0,0,0,"1,20",4,5,6
"net.sourceforge.atunes.gui.views.dialogs.AddPodcastFeedDialog",4,5,6,11,286,1,0,2,64,61,0,1,0,"1,00",2,7,6
"net.sourceforge.atunes.gui.views.dialogs.AddRadioDialog",4,5,6,11,286,1,0,2,64,61,0,1,0,"1,00",2,7,6
"net.sourceforge.atunes.gui.views.dialogs.AlbumToolTip",6,7,7,14,286,1,0,4,58,58,0,1,0,"1,00",0,7,6
"net.sourceforge.atunes.gui.views.dialogs.CopyProgressDialog",11,9,12,21,286,1,0,1,93,93,0,1,0,"1,10",6,14,11
"net.sourceforge.atunes.gui.views.dialogs.CoverNavigatorFrame",7,8,7,15,286,0,0,2,70,55,0,0,0,"1,00",5,10,7
"net.sourceforge.atunes.gui.views.dialogs.EditTagDialog",7,18,21,39,286,1,0,2,193,193,0,1,0,"1,00",17,23,19
"net.sourceforge.atunes.gui.views.dialogs.EditTitlesDialog",7,6,9,15,286,1,0,2,65,65,0,1,0,"1,00",5,11,7
"net.sourceforge.atunes.gui.views.dialogs.ExportOptionsDialog",8,15,18,33,286,1,0,2,176,167,0,1,0,"1,00",14,22,16
"net.sourceforge.atunes.gui.views.dialogs.FileSelectionDialog",8,12,14,26,286,1,0,1,230,229,0,1,0,"1,95",5,17,39
"net.sourceforge.atunes.gui.views.dialogs.FileSelectionDialog.Directory",1,1,2,3,286,0,0,0,10,10,0,0,0,"1,00",1,2,2
"net.sourceforge.atunes.gui.views.dialogs.ImageDialog",8,2,2,4,286,0,0,1,54,50,0,0,0,"2,33",0,5,7
"net.sourceforge.atunes.gui.views.dialogs.IndeterminateProgressDialog",8,5,5,10,286,1,0,2,50,46,0,1,0,"1,00",1,7,3
"net.sourceforge.atunes.gui.views.dialogs.MultiFolderSelectionDialog",11,7,13,20,286,1,0,1,216,206,0,1,0,"2,65",5,19,45
"net.sourceforge.atunes.gui.views.dialogs.MultiFolderSelectionDialog.CheckNode",3,4,7,11,286,0,0,1,39,39,0,0,0,"1,43",2,7,10
"net.sourceforge.atunes.gui.views.dialogs.MultiFolderSelectionDialog.CheckRenderer",3,3,4,7,286,0,0,1,48,48,0,0,0,"2,00",2,7,8
"net.sourceforge.atunes.gui.views.dialogs.MultiFolderSelectionDialog.Directory",3,1,2,3,286,0,0,0,10,10,0,0,0,"1,00",1,2,2
"net.sourceforge.atunes.gui.views.dialogs.OSDDialog",6,14,7,21,286,1,0,1,164,156,0,1,0,"2,67",1,11,24
"net.sourceforge.atunes.gui.views.dialogs.ProgressDialog",10,11,18,29,286,1,0,2,147,143,0,1,0,"1,00",8,22,21
"net.sourceforge.atunes.gui.views.dialogs.RepositorySelectionInfoDialog",5,2,4,6,286,1,0,1,43,43,0,1,0,"1,00",0,6,3
"net.sourceforge.atunes.gui.views.dialogs.RipCdDialog",16,34,32,66,286,1,0,2,447,396,0,1,0,"1,31",24,52,47
"net.sourceforge.atunes.gui.views.dialogs.RipCdDialog.CdInfoTableModel",4,4,11,15,286,0,0,5,69,68,0,0,0,"1,91",7,15,21
"net.sourceforge.atunes.gui.views.dialogs.RipperProgressDialog",7,9,16,25,286,0,0,3,154,154,0,0,0,"1,00",1,20,17
"net.sourceforge.atunes.gui.views.dialogs.SearchDialog",9,5,9,14,286,1,0,1,116,85,0,1,0,"1,00",2,13,9
"net.sourceforge.atunes.gui.views.dialogs.StatsDialog",6,12,13,25,286,0,0,4,143,139,0,0,0,"1,00",11,15,13
"net.sourceforge.atunes.gui.views.dialogs.TitleDialog",7,2,5,7,286,1,0,2,27,27,0,1,0,"1,00",1,6,3
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.AudioScrobblerPanel",4,3,6,9,286,1,0,1,41,41,0,0,0,"1,00",1,6,5
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.DevicePanel",4,2,5,7,286,1,0,1,30,30,0,0,0,"1,00",1,5,3
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.EditPreferencesDialog",7,6,11,17,286,1,0,2,74,73,0,1,0,"1,11",4,13,10
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.GeneralPanel",7,8,10,18,286,1,0,1,139,137,0,0,0,"1,00",1,13,9
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.InternetPanel",5,12,8,20,286,1,0,1,178,178,0,0,0,"2,11",3,18,19
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.LastFmPanel",4,3,6,9,286,1,0,1,63,60,0,0,0,"1,50",1,6,6
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.NavigatorPanel",4,4,7,11,286,1,0,1,56,56,0,0,0,"1,00",1,7,6
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.OSDPanel",4,3,6,9,286,1,0,1,41,41,0,0,0,"1,00",1,6,4
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.PlayerPanel",4,2,5,7,286,1,0,1,26,26,0,0,0,"1,00",1,5,3
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.PodcastFeedPanel",4,2,5,7,286,1,0,1,30,30,0,0,0,"1,00",1,5,3
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.PreferencesPanel",12,0,2,2,0,0,0,1,6,6,10,0,0,"1,00",1,2,1
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.RepositoryPanel",4,2,5,7,286,1,0,1,30,30,0,0,0,"1,00",1,5,3
"net.sourceforge.atunes.gui.views.dialogs.fullScreen.FullScreenDialog",21,18,16,34,286,0,0,2,400,386,0,0,0,"1,59",4,38,70
"net.sourceforge.atunes.gui.views.dialogs.properties.AudioFilePropertiesDialog",8,14,6,20,286,1,0,2,127,121,0,0,0,"1,40",1,20,7
"net.sourceforge.atunes.gui.views.dialogs.properties.PodcastFeedEntryPropertiesDialog",9,12,6,18,286,1,0,2,117,111,0,0,0,"1,40",1,18,7
"net.sourceforge.atunes.gui.views.dialogs.properties.PropertiesDialog",9,1,3,4,286,0,0,2,22,22,3,0,0,"1,67",2,7,5
"net.sourceforge.atunes.gui.views.dialogs.properties.RadioPropertiesDialog",6,5,6,11,286,1,0,2,59,53,0,0,0,"1,00",1,11,5
"net.sourceforge.atunes.gui.views.menu.ApplicationMenuBar",10,82,73,155,286,0,0,1,529,492,0,0,0,"1,00",71,75,73
"net.sourceforge.atunes.gui.views.panels.AudioScrobblerPanel",15,31,31,62,286,0,0,1,337,330,0,0,0,"1,03",25,34,33
"net.sourceforge.atunes.gui.views.panels.EqualizerPanel",2,13,4,17,287,0,0,2,144,134,0,0,0,"1,00",0,5,4
"net.sourceforge.atunes.gui.views.panels.FilePropertiesPanel",7,10,12,22,286,0,0,2,112,108,0,0,0,"1,08",9,12,13
"net.sourceforge.atunes.gui.views.panels.NavigationPanel",26,60,61,121,286,0,0,1,560,518,0,0,0,"1,08",59,68,70
"net.sourceforge.atunes.gui.views.panels.PlayListControlsPanel",7,20,21,41,286,0,0,1,200,194,0,0,0,"1,00",18,26,21
"net.sourceforge.atunes.gui.views.panels.PlayListFilterPanel",7,4,5,9,286,0,0,1,44,41,0,0,0,"1,00",2,6,5
"net.sourceforge.atunes.gui.views.panels.PlayListPanel",10,5,6,11,286,0,0,1,54,49,0,0,0,"1,00",4,9,6
"net.sourceforge.atunes.gui.views.panels.PlayerControlsPanel",10,15,18,33,286,0,0,1,271,265,0,0,0,"1,18",14,19,45
"net.sourceforge.atunes.kernel.ControllerProxy",51,16,16,32,286,0,0,15,137,120,0,0,0,"1,88",15,46,30
"net.sourceforge.atunes.kernel.Kernel",56,5,8,13,286,0,0,1,164,97,0,0,0,"1,50",1,63,15
"net.sourceforge.atunes.kernel.controllers.DragAndDropListener",16,3,6,9,286,0,0,5,87,83,0,0,0,"3,67",0,38,22
"net.sourceforge.atunes.kernel.controllers.audioScrobbler.AudioScrobblerController",34,2,24,26,286,2,0,3,190,182,0,0,0,"1,91",0,80,42
"net.sourceforge.atunes.kernel.controllers.audioScrobbler.AudioScrobblerListener",2,1,2,3,286,0,0,1,11,11,0,0,0,"1,50",0,4,3
"net.sourceforge.atunes.kernel.controllers.coverNavigator.CoverNavigatorController",8,1,11,12,286,2,0,3,105,104,0,0,0,"1,82",1,13,20
"net.sourceforge.atunes.kernel.controllers.editPreferencesDialog.EditPreferencesDialogController",30,15,25,40,286,2,0,3,179,174,0,0,0,"1,22",11,118,28
"net.sourceforge.atunes.kernel.controllers.editTagDialog.EditTagDialogActionListener",3,2,2,4,286,0,0,1,15,15,0,0,0,"2,00",0,6,4
"net.sourceforge.atunes.kernel.controllers.editTagDialog.EditTagDialogController",20,2,11,13,286,2,0,3,154,145,0,0,0,"4,33",0,34,26
"net.sourceforge.atunes.kernel.controllers.editTitlesDialog.EditTitlesDialogActionListener",6,2,2,4,286,0,0,1,25,25,0,0,0,"3,00",0,12,6
"net.sourceforge.atunes.kernel.controllers.editTitlesDialog.EditTitlesDialogController",12,5,13,18,286,2,0,3,46,44,0,0,0,"1,00",1,21,8
"net.sourceforge.atunes.kernel.controllers.editTitlesDialog.EditTitlesTableModel",3,4,10,14,286,0,0,4,54,54,0,0,0,"1,50",6,12,15
"net.sourceforge.atunes.kernel.controllers.exportOptionsDialog.ExportOptionsDialogActionListener",4,2,2,4,286,0,0,1,36,36,0,0,0,"6,00",0,19,12
"net.sourceforge.atunes.kernel.controllers.exportOptionsDialog.ExportOptionsDialogController",18,7,17,24,286,2,0,2,108,107,0,0,0,"1,77",2,42,23
"net.sourceforge.atunes.kernel.controllers.fileProperties.FilePropertiesController",19,3,17,20,286,2,0,3,135,122,0,0,0,"1,53",0,41,23
"net.sourceforge.atunes.kernel.controllers.menu.AppMenuListener",26,1,2,3,286,0,0,1,152,152,0,0,0,"36,00",0,153,72
"net.sourceforge.atunes.kernel.controllers.menu.MenuController",15,1,20,21,286,1,0,2,181,173,0,0,0,"1,00",0,90,16
"net.sourceforge.atunes.kernel.controllers.model.Controller",20,1,4,5,286,0,0,3,13,9,5,0,0,"1,00",0,7,1
