Class,OCavg,WMC
"net.sourceforge.atunes.ApplicationArguments",n/a,0
"net.sourceforge.atunes.CheckThreadViolationRepaintManager","1,69",22
"net.sourceforge.atunes.Constants",n/a,0
"net.sourceforge.atunes.Main","2,00",4
"net.sourceforge.atunes.UncaughtExceptionHandler","1,00",2
"net.sourceforge.atunes.gui.AutoCompleteFeature","2,36",26
"net.sourceforge.atunes.gui.ColorDefinitions","1,00",1
"net.sourceforge.atunes.gui.Cover3D","1,67",5
"net.sourceforge.atunes.gui.FontSingleton","3,00",3
"net.sourceforge.atunes.gui.GuiUtils","1,57",11
"net.sourceforge.atunes.gui.LookAndFeelSelector","1,67",5
"net.sourceforge.atunes.gui.MultipleFrame","1,24",47
"net.sourceforge.atunes.gui.StandardFrame","1,83",64
"net.sourceforge.atunes.gui.ToolBar","1,00",10
"net.sourceforge.atunes.gui.dockableView.DockableDialog","1,00",5
"net.sourceforge.atunes.gui.dockableView.DockableFrame","1,08",14
"net.sourceforge.atunes.gui.dockableView.DockableFrameController","5,00",20
"net.sourceforge.atunes.gui.dockableView.DockableWindow","1,41",41
"net.sourceforge.atunes.gui.dockableView.MouseResizeListener","2,80",28
"net.sourceforge.atunes.gui.images.ImageLoader","7,00",7
"net.sourceforge.atunes.gui.images.themes.ThemePreviewLoader","3,00",3
"net.sourceforge.atunes.gui.model.AudioScrobblerAlbumsTableModel","1,00",12
"net.sourceforge.atunes.gui.model.AudioScrobblerArtistsTableModel","1,25",15
"net.sourceforge.atunes.gui.model.AudioScrobblerTracksTableModel","1,00",11
"net.sourceforge.atunes.gui.model.NavigationTableModel","2,33",35
"net.sourceforge.atunes.gui.model.PlayListTableModel","1,66",53
"net.sourceforge.atunes.gui.model.TransferableList","1,00",4
"net.sourceforge.atunes.gui.views.RendererSingleton","2,85",37
"net.sourceforge.atunes.gui.views.controls.CustomButton","1,00",1
"net.sourceforge.atunes.gui.views.controls.CustomDialog","1,00",2
"net.sourceforge.atunes.gui.views.controls.CustomJFileChooser","1,25",5
"net.sourceforge.atunes.gui.views.controls.DragSourceTable","1,11",10
"net.sourceforge.atunes.gui.views.controls.DragSourceTree","1,12",9
"net.sourceforge.atunes.gui.views.controls.Link","1,00",2
"net.sourceforge.atunes.gui.views.controls.ModalFrame","2,00",4
"net.sourceforge.atunes.gui.views.controls.PopUpButton","1,75",14
"net.sourceforge.atunes.gui.views.controls.UrlLabel","1,00",4
"net.sourceforge.atunes.gui.views.controls.UrlTextArea","1,00",7
"net.sourceforge.atunes.gui.views.controls.playList.Column","1,00",27
"net.sourceforge.atunes.gui.views.controls.playList.ColumnBean","1,00",6
"net.sourceforge.atunes.gui.views.controls.playList.ColumnOrder","1,00",1
"net.sourceforge.atunes.gui.views.controls.playList.PlayListColumnModel","2,33",21
"net.sourceforge.atunes.gui.views.controls.playList.PlayListColumnSelector","1,29",9
"net.sourceforge.atunes.gui.views.controls.playList.PlayListColumnSelector.ColumnsTableModel","1,46",19
"net.sourceforge.atunes.gui.views.controls.playList.PlayListColumns","1,63",119
"net.sourceforge.atunes.gui.views.controls.playList.PlayListColumns.PlayListColumn",n/a,0
"net.sourceforge.atunes.gui.views.controls.playList.PlayListRenderers","2,00",12
"net.sourceforge.atunes.gui.views.controls.playList.PlayListTable","1,09",47
"net.sourceforge.atunes.gui.views.controls.playList.PlayListTable.PlayState",n/a,0
"net.sourceforge.atunes.gui.views.dialogs.AboutDialog","1,00",4
"net.sourceforge.atunes.gui.views.dialogs.AboutDialog.AboutDialogTableModel","1,20",6
"net.sourceforge.atunes.gui.views.dialogs.AddPodcastFeedDialog","1,00",6
