Method,ev(G),iv(G),v(G)
"net.sourceforge.atunes.CheckThreadViolationRepaintManager.CheckThreadViolationRepaintManager()",1,1,1
"net.sourceforge.atunes.CheckThreadViolationRepaintManager.CheckThreadViolationRepaintManager(boolean)",1,1,1
"net.sourceforge.atunes.CheckThreadViolationRepaintManager.addDirtyRegion(JComponent,int,int,int,int)",1,1,1
"net.sourceforge.atunes.CheckThreadViolationRepaintManager.addInvalidComponent(JComponent)",1,1,1
"net.sourceforge.atunes.CheckThreadViolationRepaintManager.checkThreadViolations(JComponent)",5,9,16
"net.sourceforge.atunes.CheckThreadViolationRepaintManager.imageUpdateTest()",1,1,1
"net.sourceforge.atunes.CheckThreadViolationRepaintManager.isCompleteCheck()",1,1,1
"net.sourceforge.atunes.CheckThreadViolationRepaintManager.main(String[])",1,1,1
"net.sourceforge.atunes.CheckThreadViolationRepaintManager.repaintTest()",1,2,2
"net.sourceforge.atunes.CheckThreadViolationRepaintManager.setCompleteCheck(boolean)",1,1,1
"net.sourceforge.atunes.CheckThreadViolationRepaintManager.test()",1,1,1
"net.sourceforge.atunes.Main.logProgramProperties(List<String>)",1,1,1
"net.sourceforge.atunes.Main.main(String[])",1,4,4
"net.sourceforge.atunes.UncaughtExceptionHandler.uncaughtExceptions()",1,2,2
"net.sourceforge.atunes.gui.AutoCompleteFeature.AutoCompleteFeature(JComboBox)",2,4,4
"net.sourceforge.atunes.gui.AutoCompleteFeature.highlightCompletedText(int)",1,1,1
"net.sourceforge.atunes.gui.AutoCompleteFeature.insertString(int,String,AttributeSet)",1,4,4
"net.sourceforge.atunes.gui.AutoCompleteFeature.lookupItem(String)",4,4,6
"net.sourceforge.atunes.gui.AutoCompleteFeature.remove(int,int)",3,6,7
"net.sourceforge.atunes.gui.AutoCompleteFeature.setSelectedItem(Object)",1,1,1
"net.sourceforge.atunes.gui.AutoCompleteFeature.setText(String)",1,2,2
"net.sourceforge.atunes.gui.ColorDefinitions.initColors()",1,1,1
"net.sourceforge.atunes.gui.Cover3D.Cover3D()",1,1,1
"net.sourceforge.atunes.gui.Cover3D.paintComponent(Graphics)",2,2,2
"net.sourceforge.atunes.gui.Cover3D.setImage(ImageIcon)",1,2,2
"net.sourceforge.atunes.gui.FontSingleton.getFont()",3,2,4
"net.sourceforge.atunes.gui.GuiUtils.collapseTree(JTree)",1,2,2
