Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.apache.cassandra.auth.AllowAllAuthenticator",2,1,6,7,3,0,0,6,26,26,0,0,0,"1,00",4,6,6
"org.apache.cassandra.auth.AllowAllAuthenticator.Negotiator",2,0,3,3,1,0,0,3,15,15,0,0,0,"1,00",3,3,3
"org.apache.cassandra.auth.AllowAllAuthorizer",0,0,9,9,0,0,0,9,35,35,0,0,0,"1,00",3,9,9
"org.apache.cassandra.auth.AllowAllInternodeAuthenticator",1,0,2,2,1,0,0,2,10,10,0,0,0,"1,00",1,2,2
"org.apache.cassandra.auth.AuthKeyspace",5,10,3,13,986,0,0,1,54,54,0,0,0,"1,00",2,9,3
"org.apache.cassandra.auth.AuthMigrationListener",4,0,21,21,986,1,0,3,20,17,0,15,3,"1,00",0,4,3
"org.apache.cassandra.auth.AuthenticatedUser",4,7,11,18,987,0,0,4,90,63,0,0,0,"1,18",10,12,13
"org.apache.cassandra.auth.CassandraAuthorizer",15,8,21,29,990,0,0,3,358,320,0,0,0,"2,09",8,28,48
"org.apache.cassandra.auth.CassandraRoleManager",14,14,33,47,988,0,0,7,512,426,0,0,0,"1,79",19,41,68
"org.apache.cassandra.auth.CassandraRoleManager.Role",1,4,3,7,0,0,0,0,27,27,0,0,0,"1,67",2,3,5
"org.apache.cassandra.auth.DataResource",4,7,20,27,988,0,0,1,218,168,0,0,0,"2,00",17,22,40
"org.apache.cassandra.auth.DataResource.Level",1,3,0,3,0,n/a,0,0,4,4,n/a,0,0,n/a,0,0,0
"org.apache.cassandra.auth.FunctionResource",10,9,21,30,988,0,0,2,253,191,0,0,0,"2,05",18,28,43
"org.apache.cassandra.auth.FunctionResource.Level",1,3,0,3,0,n/a,0,0,4,4,n/a,0,0,n/a,0,0,0
"org.apache.cassandra.auth.IAuthenticator",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
"org.apache.cassandra.auth.IAuthenticator.SaslNegotiator",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"org.apache.cassandra.auth.IAuthorizer",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9,n/a
"org.apache.cassandra.auth.IInternodeAuthenticator",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"org.apache.cassandra.auth.IResource",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a
"org.apache.cassandra.auth.IRoleManager",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16,n/a
"org.apache.cassandra.auth.IRoleManager.Option",2,4,0,4,0,n/a,0,0,9,4,n/a,0,0,n/a,0,0,0
"org.apache.cassandra.auth.PasswordAuthenticator",13,8,9,17,990,0,0,5,97,82,0,0,0,"1,56",7,21,14
"org.apache.cassandra.auth.PasswordAuthenticator.PlainTextSaslAuthenticator",2,3,4,7,990,0,0,1,59,46,0,0,0,"2,75",3,5,11
"org.apache.cassandra.auth.Permission",22,12,0,12,0,n/a,0,0,38,18,n/a,0,0,n/a,0,0,0
"org.apache.cassandra.auth.PermissionDetails",0,3,5,8,0,0,0,1,50,46,0,0,0,"1,40",4,5,7
"org.apache.cassandra.auth.PermissionsCache",3,5,8,13,987,0,0,3,101,101,0,0,0,"1,36",4,15,15
"org.apache.cassandra.auth.PermissionsCacheMBean",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a
"org.apache.cassandra.auth.Resources",1,2,3,5,2,0,0,2,57,44,0,0,0,"3,33",3,4,10
"org.apache.cassandra.auth.RoleOptions",4,1,9,10,987,0,0,1,114,71,0,0,0,"2,00",7,13,18
"org.apache.cassandra.auth.RoleResource",5,6,15,21,988,0,0,1,128,94,0,0,0,"1,60",13,16,24
"org.apache.cassandra.auth.RoleResource.Level",1,2,0,2,0,n/a,0,0,4,4,n/a,0,0,n/a,0,0,0
"org.apache.cassandra.auth.Roles",1,1,2,3,987,0,0,1,31,16,0,0,0,"2,00",2,3,4
"org.apache.cassandra.auth.RolesCache",2,5,8,13,987,0,0,3,100,100,0,0,0,"1,36",4,15,15
"org.apache.cassandra.auth.RolesCacheMBean",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a
"org.apache.cassandra.batchlog.Batch",4,5,4,9,986,0,0,3,39,27,0,0,0,"1,00",3,4,4
"org.apache.cassandra.batchlog.Batch.Serializer",10,0,8,8,986,0,1,1,60,56,0,0,0,"2,00",4,18,10
"org.apache.cassandra.batchlog.BatchRemoveVerbHandler",3,0,2,2,986,0,1,1,7,7,0,0,0,"1,00",0,1,1
"org.apache.cassandra.batchlog.BatchStoreVerbHandler",5,0,2,2,986,0,1,1,8,8,0,0,0,"1,00",0,4,1
"org.apache.cassandra.batchlog.BatchlogManager",19,8,15,23,986,0,0,4,188,172,0,0,0,"1,67",5,38,25
"org.apache.cassandra.batchlog.BatchlogManager.EndpointFilter",3,2,4,6,986,0,0,1,66,57,0,0,0,"3,00",3,5,12
"org.apache.cassandra.batchlog.BatchlogManager.ReplayingBatch",13,5,9,14,986,0,0,1,147,136,0,0,0,"3,00",5,20,27
"org.apache.cassandra.batchlog.BatchlogManager.ReplayingBatch.ReplayWriteResponseHandler",4,2,9,11,986,1,0,2,25,21,0,3,1,"1,33",1,6,4
"org.apache.cassandra.batchlog.BatchlogManagerMBean",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"org.apache.cassandra.batchlog.LegacyBatchlogMigrator",18,1,11,12,986,0,0,2,130,128,0,0,0,"2,00",5,29,22
"org.apache.cassandra.cache.AutoSavingCache",14,7,9,16,986,0,0,2,186,165,0,0,0,"2,00",6,20,28
"org.apache.cassandra.cache.AutoSavingCache.CacheSerializer",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"org.apache.cassandra.cache.AutoSavingCache.IStreamFactory",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"org.apache.cassandra.cache.AutoSavingCache.Writer",17,7,11,18,986,1,0,1,130,127,0,4,0,"3,67",3,20,22
"org.apache.cassandra.cache.CacheKey",1,1,1,2,1,0,0,0,8,8,0,0,0,"1,00",0,1,1
"org.apache.cassandra.cache.CacheProvider",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.cassandra.cache.ConcurrentLinkedHashCache",0,2,17,19,0,0,0,2,91,86,0,0,0,"1,00",12,17,18
"org.apache.cassandra.cache.CounterCacheKey",3,3,7,10,987,0,0,2,59,59,0,0,0,"1,86",6,10,13
"org.apache.cassandra.cache.ICache",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,n/a
"org.apache.cassandra.cache.IMeasurableMemory",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.cassandra.cache.IRowCacheEntry",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.apache.cassandra.cache.InstrumentingCache",3,3,16,19,16,0,0,1,80,77,0,0,0,"1,06",11,17,17
"org.apache.cassandra.cache.KeyCacheKey",9,3,5,8,986,0,0,1,39,37,0,0,0,"1,40",4,11,7
"org.apache.cassandra.cache.NopCacheProvider",1,0,1,1,1,0,0,1,7,7,0,0,0,"1,00",1,1,1
"org.apache.cassandra.cache.NopCacheProvider.NopCache",1,0,13,13,0,0,0,13,51,51,0,0,0,"1,00",9,13,13
"org.apache.cassandra.cache.OHCProvider",4,0,1,1,991,0,0,1,12,12,0,0,0,"1,00",1,3,1
"org.apache.cassandra.cache.OHCProvider.KeySerializer",6,1,3,4,7,0,0,3,46,46,0,0,0,"1,00",2,6,3
"org.apache.cassandra.cache.OHCProvider.OHCacheAdapter",1,1,14,15,0,0,0,1,60,60,0,0,0,"1,00",9,14,14
"org.apache.cassandra.cache.OHCProvider.ValueSerializer",7,1,3,4,988,0,0,1,46,46,0,0,0,"2,00",2,11,6
"org.apache.cassandra.cache.RefCountedMemory",1,4,35,39,987,1,0,3,44,39,0,19,3,"1,67",2,10,10
"org.apache.cassandra.cache.RowCacheKey",6,2,7,9,36,0,0,1,44,44,0,0,0,"1,43",4,11,10
"org.apache.cassandra.cache.RowCacheSentinel",1,2,4,6,0,0,0,0,28,25,0,0,0,"1,25",2,4,5
