Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.cassandra.auth.AllowAllAuthenticator",0,2,3,0,0
"org.apache.cassandra.auth.AllowAllAuthenticator.Negotiator",0,1,1,1,1
"org.apache.cassandra.auth.AllowAllAuthorizer",0,0,0,0,0
"org.apache.cassandra.auth.AllowAllInternodeAuthenticator",0,1,1,0,0
"org.apache.cassandra.auth.AuthKeyspace",527,4,986,1,1.595
"org.apache.cassandra.auth.AuthMigrationListener",527,3,986,1,1.595
"org.apache.cassandra.auth.AuthenticatedUser",0,1,987,3,8
"org.apache.cassandra.auth.CassandraAuthorizer",0,15,990,0,0
"org.apache.cassandra.auth.CassandraRoleManager",0,13,988,1,3
"org.apache.cassandra.auth.CassandraRoleManager.Role",0,0,0,1,4
"org.apache.cassandra.auth.DataResource",0,3,988,1,1
"org.apache.cassandra.auth.DataResource.Level",0,0,0,1,2
"org.apache.cassandra.auth.FunctionResource",0,9,988,1,1
"org.apache.cassandra.auth.FunctionResource.Level",0,0,0,1,2
"org.apache.cassandra.auth.IRoleManager.Option",0,0,0,2,1.597
"org.apache.cassandra.auth.PasswordAuthenticator",1,12,990,2,2
"org.apache.cassandra.auth.PasswordAuthenticator.PlainTextSaslAuthenticator",1,2,990,1,2
"org.apache.cassandra.auth.Permission",0,0,0,22,1.596
"org.apache.cassandra.auth.PermissionDetails",0,0,0,0,0
"org.apache.cassandra.auth.PermissionsCache",0,3,987,0,0
"org.apache.cassandra.auth.Resources",0,1,2,0,0
"org.apache.cassandra.auth.RoleOptions",0,4,987,0,0
"org.apache.cassandra.auth.RoleResource",0,3,988,2,2
"org.apache.cassandra.auth.RoleResource.Level",0,0,0,1,3
"org.apache.cassandra.auth.Roles",0,1,987,0,0
"org.apache.cassandra.auth.RolesCache",0,2,987,0,0
"org.apache.cassandra.batchlog.Batch",527,2,986,3,1.595
"org.apache.cassandra.batchlog.Batch.Serializer",527,10,986,1,1.595
"org.apache.cassandra.batchlog.BatchRemoveVerbHandler",527,2,986,1,1.595
"org.apache.cassandra.batchlog.BatchStoreVerbHandler",527,4,986,1,1.595
"org.apache.cassandra.batchlog.BatchlogManager",527,16,986,5,1.595
"org.apache.cassandra.batchlog.BatchlogManager.EndpointFilter",527,2,986,1,1.595
"org.apache.cassandra.batchlog.BatchlogManager.ReplayingBatch",527,13,986,1,1.595
"org.apache.cassandra.batchlog.BatchlogManager.ReplayingBatch.ReplayWriteResponseHandler",527,3,986,1,1.595
"org.apache.cassandra.batchlog.LegacyBatchlogMigrator",527,15,986,3,1.595
"org.apache.cassandra.cache.AutoSavingCache",527,14,986,2,1.595
"org.apache.cassandra.cache.AutoSavingCache.Writer",527,16,986,2,1.595
"org.apache.cassandra.cache.CacheKey",0,1,1,0,0
"org.apache.cassandra.cache.ConcurrentLinkedHashCache",0,0,0,0,0
"org.apache.cassandra.cache.CounterCacheKey",0,3,987,0,0
"org.apache.cassandra.cache.InstrumentingCache",0,1,16,2,1.596
"org.apache.cassandra.cache.KeyCacheKey",527,4,986,5,1.595
"org.apache.cassandra.cache.NopCacheProvider",0,1,1,0,0
"org.apache.cassandra.cache.NopCacheProvider.NopCache",0,0,0,1,1
"org.apache.cassandra.cache.OHCProvider",0,4,991,0,0
"org.apache.cassandra.cache.OHCProvider.KeySerializer",0,5,7,1,1
"org.apache.cassandra.cache.OHCProvider.OHCacheAdapter",0,0,0,1,1
"org.apache.cassandra.cache.OHCProvider.ValueSerializer",0,6,988,1,1
"org.apache.cassandra.cache.RefCountedMemory",0,1,987,0,0
"org.apache.cassandra.cache.RowCacheKey",0,4,36,2,1.596
"org.apache.cassandra.cache.RowCacheSentinel",0,0,0,1,1.596
"org.apache.cassandra.cache.SerializingCache",0,4,9,0,0
"org.apache.cassandra.cache.SerializingCacheProvider",0,2,988,0,0
"org.apache.cassandra.cache.SerializingCacheProvider.RowCacheSerializer",0,5,987,1,1
"org.apache.cassandra.client.RingCache",0,4,988,0,0
"org.apache.cassandra.concurrent.AbstractTracingAwareExecutorService",2,4,989,1,2
"org.apache.cassandra.concurrent.AbstractTracingAwareExecutorService.FutureTask",2,3,989,2,2
"org.apache.cassandra.concurrent.AbstractTracingAwareExecutorService.TraceSessionFutureTask",2,3,989,1,2
"org.apache.cassandra.concurrent.DebuggableScheduledThreadPoolExecutor",527,2,986,5,1.595
"org.apache.cassandra.concurrent.DebuggableScheduledThreadPoolExecutor.UncomplainingRunnable",527,1,986,1,1.595
"org.apache.cassandra.concurrent.DebuggableThreadPoolExecutor",527,3,986,8,1.595
"org.apache.cassandra.concurrent.DebuggableThreadPoolExecutor.TraceSessionWrapper",527,2,986,1,1.595
"org.apache.cassandra.concurrent.JMXConfigurableThreadPoolExecutor",0,0,0,1,1.596
"org.apache.cassandra.concurrent.JMXEnabledThreadPoolExecutor",0,1,15,9,1.596
"org.apache.cassandra.concurrent.NamedThreadFactory",0,0,0,15,1.598
"org.apache.cassandra.concurrent.SEPExecutor",1,5,25,2,2
"org.apache.cassandra.concurrent.SEPWorker",0,2,988,0,0
"org.apache.cassandra.concurrent.SEPWorker.Work",0,0,0,3,7
"org.apache.cassandra.concurrent.ScheduledExecutors",0,0,0,19,1.598
"org.apache.cassandra.concurrent.SharedExecutorPool",0,1,1,1,2
"org.apache.cassandra.concurrent.Stage",0,0,0,25,1.596
"org.apache.cassandra.concurrent.StageManager",527,5,986,20,1.595
"org.apache.cassandra.concurrent.StageManager.ExecuteOnlyExecutor",527,1,986,1,1.595
"org.apache.cassandra.config.CFMetaData",527,16,986,320,1.595
"org.apache.cassandra.config.CFMetaData.Builder",527,5,986,31,1.595
"org.apache.cassandra.config.CFMetaData.DroppedColumn",0,0,0,6,1.596
"org.apache.cassandra.config.CFMetaData.Flag",0,0,0,2,1.596
"org.apache.cassandra.config.CFMetaData.Serializer",527,3,986,4,1.595
"org.apache.cassandra.config.ColumnDefinition",0,3,3,223,1.643
"org.apache.cassandra.config.ColumnDefinition.ClusteringOrder",0,0,0,3,1.644
"org.apache.cassandra.config.ColumnDefinition.Kind",0,0,0,12,1.644
"org.apache.cassandra.config.Config",0,11,13,33,1.603
"org.apache.cassandra.config.Config.CommitFailurePolicy",0,0,0,4,1.604
"org.apache.cassandra.config.Config.CommitLogSync",0,0,0,4,1.604
"org.apache.cassandra.config.Config.DiskAccessMode",0,0,0,6,1.604
"org.apache.cassandra.config.Config.DiskFailurePolicy",0,0,0,4,1.604
"org.apache.cassandra.config.Config.DiskOptimizationStrategy",0,0,0,3,1.604
"org.apache.cassandra.config.Config.InternodeCompression",0,0,0,2,1.604
"org.apache.cassandra.config.Config.MemtableAllocationType",0,0,0,1,1.604
"org.apache.cassandra.config.Config.RequestSchedulerId",0,0,0,3,1.604
"org.apache.cassandra.config.Config.UserFunctionTimeoutPolicy",0,0,0,3,1.604
"org.apache.cassandra.config.DatabaseDescriptor",527,18,986,200,1.595
