Package,C(rec),LOC(rec),METH(rec)
"",2.725,213.096,16.293
"java",2.725,213.073,16.293
"java.org",2.725,213.073,16.293
"java.org.apache",2.725,213.073,16.293
"java.org.apache.cassandra",2.725,213.073,16.293
"java.org.apache.cassandra.auth",45,3.512,262
"java.org.apache.cassandra.batchlog",10,873,56
"java.org.apache.cassandra.cache",32,1.632,163
"java.org.apache.cassandra.client",1,107,5
"java.org.apache.cassandra.concurrent",25,1.875,152
"java.org.apache.cassandra.config",36,4.638,467
"java.org.apache.cassandra.cql3",430,28.858,2.253
"java.org.apache.cassandra.cql3.functions",101,4.206,313
"java.org.apache.cassandra.cql3.restrictions",33,3.398,346
"java.org.apache.cassandra.cql3.selection",35,1.764,183
"java.org.apache.cassandra.cql3.statements",85,8.342,529
"java.org.apache.cassandra.db",616,55.453,4.515
"java.org.apache.cassandra.db.columniterator",10,1.021,77
"java.org.apache.cassandra.db.commitlog",31,3.228,193
"java.org.apache.cassandra.db.compaction",82,6.934,464
"java.org.apache.cassandra.db.compaction.writers",5,509,31
"java.org.apache.cassandra.db.context",4,793,44
"java.org.apache.cassandra.db.filter",50,2.743,285
"java.org.apache.cassandra.db.lifecycle",32,2.963,278
"java.org.apache.cassandra.db.marshal",47,5.761,536
"java.org.apache.cassandra.db.partitions",41,2.600,224
"java.org.apache.cassandra.db.rows",64,5.570,507
"java.org.apache.cassandra.db.transform",16,788,87
"java.org.apache.cassandra.db.view",12,1.620,88
"java.org.apache.cassandra.dht",59,4.034,391
"java.org.apache.cassandra.dht.tokenallocator",19,974,76
"java.org.apache.cassandra.exceptions",26,870,45
"java.org.apache.cassandra.gms",38,3.299,246
"java.org.apache.cassandra.hadoop",24,3.708,346
"java.org.apache.cassandra.hadoop.cql3",20,2.748,249
"java.org.apache.cassandra.hints",42,3.160,234
"java.org.apache.cassandra.index",44,3.629,276
"java.org.apache.cassandra.index.internal",25,2.041,152
"java.org.apache.cassandra.index.internal.composites",10,763,46
"java.org.apache.cassandra.index.internal.keys",3,220,16
"java.org.apache.cassandra.index.transactions",8,213,22
"java.org.apache.cassandra.io",191,16.787,1.345
"java.org.apache.cassandra.io.compress",18,1.501,106
"java.org.apache.cassandra.io.sstable",104,9.595,721
"java.org.apache.cassandra.io.sstable.format",42,3.688,321
"java.org.apache.cassandra.io.sstable.format.big",15,1.258,97
"java.org.apache.cassandra.io.sstable.metadata",15,1.323,81
"java.org.apache.cassandra.io.util",63,5.446,502
"java.org.apache.cassandra.locator",35,3.685,232
"java.org.apache.cassandra.metrics",141,3.589,307
"java.org.apache.cassandra.net",34,2.941,186
"java.org.apache.cassandra.notifications",8,226,7
"java.org.apache.cassandra.repair",59,3.482,191
"java.org.apache.cassandra.repair.messages",21,992,61
"java.org.apache.cassandra.scheduler",6,274,19
"java.org.apache.cassandra.schema",44,5.188,436
"java.org.apache.cassandra.security",1,150,6
"java.org.apache.cassandra.serializers",30,1.935,146
"java.org.apache.cassandra.service",142,13.883,1.052
"java.org.apache.cassandra.service.pager",12,1.021,74
"java.org.apache.cassandra.service.paxos",12,697,39
"java.org.apache.cassandra.streaming",86,5.368,328
"java.org.apache.cassandra.streaming.compress",6,460,18
"java.org.apache.cassandra.streaming.management",12,608,20
"java.org.apache.cassandra.streaming.messages",21,922,52
"java.org.apache.cassandra.thrift",30,5.212,236
"java.org.apache.cassandra.tools",127,8.487,362
"java.org.apache.cassandra.tools.nodetool",90,4.286,103
"java.org.apache.cassandra.tracing",8,594,51
"java.org.apache.cassandra.transport",114,5.736,427
"java.org.apache.cassandra.transport.messages",46,1.968,140
"java.org.apache.cassandra.triggers",4,380,17
"java.org.apache.cassandra.utils",237,19.508,1.534
"java.org.apache.cassandra.utils.btree",18,2.636,249
"java.org.apache.cassandra.utils.concurrent",36,2.308,177
"java.org.apache.cassandra.utils.memory",30,2.311,187
"java.org.apache.cassandra.utils.obs",4,1.326,73
"java.org.apache.cassandra.utils.progress",7,378,21
"java.org.apache.cassandra.utils.progress.jmx",2,136,7
"java.org.apache.cassandra.utils.vint",2,162,13
"resources",n/a,23,n/a
"resources.org",n/a,23,n/a
"resources.org.apache",n/a,23,n/a
"resources.org.apache.cassandra",n/a,23,n/a
"resources.org.apache.cassandra.cql3",n/a,23,n/a
"resources.org.apache.cassandra.cql3.functions",n/a,23,n/a

