Package,PDcy,PDpt
"java.org.apache.cassandra.auth",14,6
"java.org.apache.cassandra.batchlog",16,5
"java.org.apache.cassandra.cache",13,11
"java.org.apache.cassandra.client",2,0
"java.org.apache.cassandra.concurrent",7,33
"java.org.apache.cassandra.config",21,98
"java.org.apache.cassandra.cql3",26,45
"java.org.apache.cassandra.cql3.functions",14,13
"java.org.apache.cassandra.cql3.restrictions",14,4
"java.org.apache.cassandra.cql3.selection",9,3
"java.org.apache.cassandra.cql3.statements",27,23
"java.org.apache.cassandra.db",43,93
"java.org.apache.cassandra.db.columniterator",8,1
"java.org.apache.cassandra.db.commitlog",17,15
"java.org.apache.cassandra.db.compaction",26,29
"java.org.apache.cassandra.db.compaction.writers",8,2
"java.org.apache.cassandra.db.context",3,10
"java.org.apache.cassandra.db.filter",15,25
"java.org.apache.cassandra.db.lifecycle",13,22
"java.org.apache.cassandra.db.marshal",11,62
"java.org.apache.cassandra.db.partitions",15,42
"java.org.apache.cassandra.db.rows",14,47
"java.org.apache.cassandra.db.transform",5,11
"java.org.apache.cassandra.db.view",21,8
"java.org.apache.cassandra.dht",14,53
"java.org.apache.cassandra.dht.tokenallocator",3,2
"java.org.apache.cassandra.exceptions",7,65
"java.org.apache.cassandra.gms",11,15
"java.org.apache.cassandra.hadoop",3,3
"java.org.apache.cassandra.hadoop.cql3",10,0
"java.org.apache.cassandra.hints",18,5
"java.org.apache.cassandra.index",20,17
"java.org.apache.cassandra.index.internal",22,9
"java.org.apache.cassandra.index.internal.composites",12,1
"java.org.apache.cassandra.index.internal.keys",7,1
"java.org.apache.cassandra.index.transactions",2,7
"java.org.apache.cassandra.io",2,28
"java.org.apache.cassandra.io.compress",11,14
"java.org.apache.cassandra.io.sstable",24,37
"java.org.apache.cassandra.io.sstable.format",21,37
"java.org.apache.cassandra.io.sstable.format.big",19,8
"java.org.apache.cassandra.io.sstable.metadata",10,17
"java.org.apache.cassandra.io.util",14,61
"java.org.apache.cassandra.locator",10,21
"java.org.apache.cassandra.metrics",13,26
"java.org.apache.cassandra.net",22,41
"java.org.apache.cassandra.notifications",3,1
"java.org.apache.cassandra.repair",21,8
"java.org.apache.cassandra.repair.messages",8,5
"java.org.apache.cassandra.scheduler",2,2
"java.org.apache.cassandra.schema",16,55
"java.org.apache.cassandra.security",2,4
"java.org.apache.cassandra.serializers",3,18
"java.org.apache.cassandra.service",44,59
"java.org.apache.cassandra.service.pager",13,6
"java.org.apache.cassandra.service.paxos",10,6
"java.org.apache.cassandra.streaming",21,12
"java.org.apache.cassandra.streaming.compress",12,2
"java.org.apache.cassandra.streaming.management",1,2
"java.org.apache.cassandra.streaming.messages",12,3
"java.org.apache.cassandra.thrift",28,8
"java.org.apache.cassandra.tools",22,2
"java.org.apache.cassandra.tools.nodetool",14,0
"java.org.apache.cassandra.tracing",10,13
"java.org.apache.cassandra.transport",11,18
"java.org.apache.cassandra.transport.messages",12,11
"java.org.apache.cassandra.triggers",6,3
"java.org.apache.cassandra.utils",18,110
"java.org.apache.cassandra.utils.btree",1,12
"java.org.apache.cassandra.utils.concurrent",6,43
"java.org.apache.cassandra.utils.memory",9,9
"java.org.apache.cassandra.utils.obs",3,3
"java.org.apache.cassandra.utils.progress",0,6
"java.org.apache.cassandra.utils.progress.jmx",1,2
"java.org.apache.cassandra.utils.vint",0,4
"resources.org.apache.cassandra.cql3.functions",0,0

