Class,OCavg,WMC
"freemind.common.BooleanProperty","1,25",10
"freemind.common.ColorProperty","1,31",17
"freemind.common.ComboProperty","1,29",18
"freemind.common.DontShowNotificationProperty","1,00",1
"freemind.common.FontProperty","1,38",11
"freemind.common.FreeMindProgressMonitor","1,27",14
"freemind.common.FreeMindTask","1,73",19
"freemind.common.FreeMindTask.ProgressDescription","1,00",1
"freemind.common.IconProperty","1,44",13
"freemind.common.JOptionalSplitPane","2,21",31
"freemind.common.NamedObject","1,14",8
"freemind.common.NextLineProperty","1,00",5
"freemind.common.NumberProperty","1,11",10
"freemind.common.OptionalDontShowMeAgainDialog","2,29",16
"freemind.common.OptionalDontShowMeAgainDialog.StandardPropertyHandler","1,00",3
"freemind.common.PasswordProperty","1,00",4
"freemind.common.PropertyBean","1,33",4
"freemind.common.RemindValueProperty","1,00",2
"freemind.common.ScalableJButton","1,14",8
"freemind.common.ScalableJTable","1,00",1
"freemind.common.ScriptEditorProperty","1,56",14
"freemind.common.SeparatorProperty","1,00",5
"freemind.common.StringProperty","1,00",9
"freemind.common.ThreeCheckBoxProperty","1,64",18
"freemind.common.UnicodeReader","2,50",15
"freemind.common.XmlBindingTools","1,36",15
"freemind.controller.BlindIcon","1,00",4
"freemind.controller.ColorSwatch","1,00",6
"freemind.controller.Controller","1,89",170
"freemind.controller.Controller.AboutAction","1,00",2
"freemind.controller.Controller.CloseAction","1,00",2
"freemind.controller.Controller.Closer","1,00",1
"freemind.controller.Controller.ColorTracker","1,00",3
"freemind.controller.Controller.DefaultLocalLinkConverter","1,00",1
"freemind.controller.Controller.DisposeOnClose","1,00",1
"freemind.controller.Controller.DocumentationAction","1,33",4
"freemind.controller.Controller.KeyDocumentationAction","1,50",3
"freemind.controller.Controller.LicenseAction","1,00",2
"freemind.controller.Controller.MoveToRootAction","1,00",2
"freemind.controller.Controller.NavigationMoveMapLeftAction","2,00",4
"freemind.controller.Controller.NavigationMoveMapRightAction","2,00",4
"freemind.controller.Controller.NavigationNextMapAction","1,00",2
"freemind.controller.Controller.NavigationPreviousMapAction","1,00",2
"freemind.controller.Controller.OpenURLAction","1,00",2
"freemind.controller.Controller.OptionAntialiasAction","2,00",4
"freemind.controller.Controller.OptionHTMLExportFoldingAction","1,00",2
"freemind.controller.Controller.OptionSelectionMechanismAction","1,50",6
"freemind.controller.Controller.PageAction","1,75",7
"freemind.controller.Controller.PrintAction","2,50",5
"freemind.controller.Controller.PrintPreviewAction","1,50",3
"freemind.controller.Controller.PropertyAction","1,40",7
"freemind.controller.Controller.QuitAction","1,00",2
"freemind.controller.Controller.ShowFilterToolbarAction","1,50",3
"freemind.controller.Controller.ShowSelectionAsRectangleAction","1,00",3
"freemind.controller.Controller.SplitComponentType","1,00",2
"freemind.controller.Controller.ToggleLeftToolbarAction","1,00",3
"freemind.controller.Controller.ToggleMenubarAction","1,00",3
"freemind.controller.Controller.ToggleToolbarAction","1,00",3
"freemind.controller.Controller.ZoomInAction","2,00",4
"freemind.controller.Controller.ZoomOutAction","2,00",4
"freemind.controller.FreeMindPopupMenu","1,67",10
"freemind.controller.FreeMindToolBar","1,20",6
"freemind.controller.LastOpenedList","2,12",17
"freemind.controller.LastStateStorageManagement","2,70",27
"freemind.controller.MainToolBar","1,33",4
"freemind.controller.MapModuleManager","2,22",51
"freemind.controller.MapModuleManager.MapModuleChangeObserverCompound","1,86",13
"freemind.controller.MapMouseMotionListener","1,64",18
"freemind.controller.MapMouseWheelListener","1,25",5
"freemind.controller.MenuBar","1,92",23
"freemind.controller.MenuBar.LastOpenedActionListener","1,00",2
"freemind.controller.MenuBar.MapsMenuActionListener","1,00",2
"freemind.controller.MenuBar.ModesMenuActionListener","1,00",2
"freemind.controller.MindMapNodesSelection","3,67",22
"freemind.controller.NodeDragListener","1,88",15
"freemind.controller.NodeDropListener","1,62",13
"freemind.controller.NodeKeyListener","1,50",9
"freemind.controller.NodeMotionListener","1,70",17
"freemind.controller.NodeMotionListener.NodeMotionAdapter",n/a,0
"freemind.controller.NodeMouseMotionListener","1,73",19
"freemind.controller.StructuredMenuHolder","1,96",55
"freemind.controller.StructuredMenuHolder.DefaultMenuAdderCreator","1,00",1
"freemind.controller.StructuredMenuHolder.MapTokenPair","1,00",1
"freemind.controller.StructuredMenuHolder.MenuItemAdder","1,75",7
"freemind.controller.StructuredMenuHolder.PrintMenuAdder","1,00",3
"freemind.controller.StructuredMenuHolder.PrintMenuAdderCreator","1,00",1
"freemind.controller.StructuredMenuHolder.SeparatorHolder","1,00",1
"freemind.controller.StructuredMenuHolder.StructuredMenuListener","1,80",9
"freemind.controller.StructuredMenuItemHolder","1,22",11
"freemind.controller.color.ColorPair","1,00",2
"freemind.controller.color.JColorCombo","1,33",4
"freemind.controller.color.JColorCombo.ColorIcon","1,00",1
"freemind.controller.color.JColorCombo.ComboBoxRenderer","1,50",3
"freemind.controller.filter.DefaultFilter","2,00",30
"freemind.controller.filter.FilterComposerDialog","2,58",31
"freemind.controller.filter.FilterComposerDialog.AddConditionAction","3,50",7
"freemind.controller.filter.FilterComposerDialog.CloseAction","3,00",3
"freemind.controller.filter.FilterComposerDialog.ConditionListMouseListener","2,00",4
"freemind.controller.filter.FilterComposerDialog.ConditionListSelectionListener","1,50",6
"freemind.controller.filter.FilterComposerDialog.CreateConjunctConditionAction","1,50",3
"freemind.controller.filter.FilterComposerDialog.CreateDisjunctConditionAction","1,50",3
"freemind.controller.filter.FilterComposerDialog.CreateNotSatisfiedConditionAction","2,00",4
"freemind.controller.filter.FilterComposerDialog.DeleteConditionAction","2,50",5
"freemind.controller.filter.FilterComposerDialog.LoadAction","1,50",3
"freemind.controller.filter.FilterComposerDialog.MindMapFilterFileFilter","2,50",5
"freemind.controller.filter.FilterComposerDialog.SaveAction","2,00",4
"freemind.controller.filter.FilterComposerDialog.SelectedAttributeChangeListener","10,00",10
"freemind.controller.filter.FilterComposerDialog.SimpleConditionChangeListener","2,00",2
"freemind.controller.filter.FilterController","1,58",30
"freemind.controller.filter.FilterInfo","1,11",10
"freemind.controller.filter.FilterToolbar","1,46",19
"freemind.controller.filter.FilterToolbar.EditFilterAction","1,67",5
"freemind.controller.filter.FilterToolbar.FilterChangeListener","1,60",8
"freemind.controller.filter.FilterToolbar.UnfoldAncestorsAction","2,00",8
"freemind.controller.filter.condition.AttributeCompareCondition","1,40",7
"freemind.controller.filter.condition.AttributeExistsCondition","1,40",7
"freemind.controller.filter.condition.AttributeNotExistsCondition","1,40",7
"freemind.controller.filter.condition.CompareConditionAdapter","3,50",14
"freemind.controller.filter.condition.ConditionFactory","5,80",58
"freemind.controller.filter.condition.ConditionNotSatisfiedDecorator","1,00",5
"freemind.controller.filter.condition.ConditionRenderer","5,00",5
"freemind.controller.filter.condition.ConjunctConditions","2,00",10
"freemind.controller.filter.condition.DisjunctConditions","2,00",10
"freemind.controller.filter.condition.IconContainedCondition","1,29",9
"freemind.controller.filter.condition.IconNotContainedCondition","1,67",15
"freemind.controller.filter.condition.IgnoreCaseNodeContainsCondition","1,00",5
"freemind.controller.filter.condition.JCondition","1,00",1
"freemind.controller.filter.condition.NoFilteringCondition","1,50",9
"freemind.controller.filter.condition.NodeCompareCondition","1,00",5
"freemind.controller.filter.condition.NodeCondition","1,50",6
"freemind.controller.filter.condition.NodeContainsCondition","1,00",5
"freemind.controller.filter.condition.SelectedViewCondition","1,50",9
"freemind.controller.filter.util.ExtendedComboBoxModel","1,73",26
"freemind.controller.filter.util.ExtendedComboBoxModel.ExtensionDataListener","1,00",3
"freemind.controller.filter.util.SortedComboBoxModel","1,00",2
"freemind.controller.filter.util.SortedMapListModel","1,50",21
"freemind.controller.filter.util.SortedMapVector","2,07",29
"freemind.controller.filter.util.SortedMapVector.MapElement","1,00",3
"freemind.controller.printpreview.BrowseAction","1,00",5
"freemind.controller.printpreview.Preview","1,45",16
"freemind.controller.printpreview.PreviewDialog","2,00",8
"freemind.controller.printpreview.ZoomAction","1,00",2
"freemind.extensions.ExportHook","2,50",15
"freemind.extensions.ExportHook.ImageFilter","1,67",5
"freemind.extensions.HookAdapter","1,29",18
"freemind.extensions.HookDescriptorBase","2,22",20
"freemind.extensions.HookDescriptorPluginAction","1,67",20
"freemind.extensions.HookDescriptorRegistration","1,00",4
"freemind.extensions.HookFactory.RegistrationContainer","1,00",1
"freemind.extensions.HookFactoryAdapter","1,75",7
"freemind.extensions.HookInstanciationMethod","1,25",10
"freemind.extensions.HookInstanciationMethod.AllDestinationNodesGetter","1,33",4
"freemind.extensions.HookInstanciationMethod.DefaultDestinationNodesGetter","1,00",2
"freemind.extensions.HookInstanciationMethod.RootDestinationNodesGetter","1,00",2
"freemind.extensions.ImportWizard","4,40",22
"freemind.extensions.ModeControllerHookAdapter","1,00",1
"freemind.extensions.NodeHookAdapter","1,00",8
"freemind.extensions.PermanentNodeHookAdapter","1,20",30
"freemind.extensions.PermanentNodeHookSubstituteUnknown","1,25",5
"freemind.main.Base64Coding","11,50",23
"freemind.main.EditServer","2,14",15
"freemind.main.ExampleFileFilter","2,25",27
"freemind.main.FixedHTMLWriter","3,25",13
"freemind.main.FreeMind","2,02",131
"freemind.main.FreeMindApplet","1,39",64
"freemind.main.FreeMindCommon","2,25",27
"freemind.main.FreeMindCommon.FreeMindResourceBundle","2,17",13
"freemind.main.FreeMindMain.VersionInformation","4,33",13
"freemind.main.FreeMindSecurityManager","2,00",68
"freemind.main.FreeMindSplashModern","1,57",11
"freemind.main.FreeMindSplashModern.FeedBackImpl","1,17",7
"freemind.main.FreeMindStarter","1,88",15
"freemind.main.FreeMindStarter.ProxyAuthenticator","1,00",2
"freemind.main.HtmlTools","3,26",88
"freemind.main.HtmlTools.HtmlNodeVisitor","4,40",22
"freemind.main.HtmlTools.IndexPair","1,00",2
"freemind.main.LogFileLogHandler","1,29",9
"freemind.main.LoggingOutputStream","1,50",3
"freemind.main.Resources","1,28",32
"freemind.main.StdFormatter","2,00",2
"freemind.main.StdFormatter.StdOutErrLevel","1,00",1
"freemind.main.Tools","2,10",260
"freemind.main.Tools.ActionHolder","1,20",6
"freemind.main.Tools.BooleanHolder","1,00",4
"freemind.main.Tools.ButtonHolder","1,00",5
"freemind.main.Tools.DesEncrypter","2,25",9
"freemind.main.Tools.FileReaderCreator","1,00",3
"freemind.main.Tools.IntHolder","1,00",6
"freemind.main.Tools.MindMapNodePair","1,00",3
"freemind.main.Tools.ObjectHolder","1,00",3
"freemind.main.Tools.Pair","1,00",3
"freemind.main.Tools.SingleDesEncrypter","1,00",1
"freemind.main.Tools.StringReaderCreator","1,00",3
"freemind.main.Tools.TripleDesEncrypter","1,00",1
"freemind.main.XHTMLWriter","1,14",8
"freemind.main.XHTMLWriter.XHTMLFilterWriter","4,25",17
"freemind.main.XMLElement","2,69",210
"freemind.main.XMLParseException","1,67",5
"freemind.modes.ArrowLinkAdapter","2,27",34
"freemind.modes.ArrowLinkTarget","1,17",7
"freemind.modes.CloudAdapter","1,69",22
"freemind.modes.CloudAdapter.CloudAdapterListener","3,00",3
"freemind.modes.ControllerAdapter","1,75",198
"freemind.modes.ControllerAdapter.ControllerPopupMenuListener","1,00",3
"freemind.modes.ControllerAdapter.FileOpener","2,00",16
"freemind.modes.ControllerAdapter.OpenAction","1,00",2
"freemind.modes.ControllerAdapter.SaveAction","1,50",3
"freemind.modes.ControllerAdapter.SaveAsAction","1,00",2
"freemind.modes.EdgeAdapter","1,94",33
"freemind.modes.EdgeAdapter.EdgeAdapterListener","3,00",3
"freemind.modes.ExtendedMapFeedbackAdapter","1,07",64
"freemind.modes.ExtendedMapFeedbackAdapter.DummyTransferable","1,00",3
"freemind.modes.ExtendedMapFeedbackImpl","1,00",5
"freemind.modes.FreeMindAwtFileDialog","1,59",27
"freemind.modes.FreeMindAwtFileDialog.DirFilter","1,00",2
"freemind.modes.FreeMindAwtFileDialog.FileAndDirFilter","1,00",2
"freemind.modes.FreeMindAwtFileDialog.FileOnlyFilter","1,00",2
"freemind.modes.FreeMindAwtFileDialog.FreeMindFilenameFilter","1,00",4
"freemind.modes.FreeMindAwtFileDialog.NullFilter","1,00",2
"freemind.modes.FreeMindJFileDialog","1,20",6
"freemind.modes.FreemindAction","1,40",7
"freemind.modes.HistoryInformation","1,00",6
"freemind.modes.LineAdapter","1,57",22
"freemind.modes.LinkAdapter","1,07",16
"freemind.modes.LinkAdapter.LinkAdapterListener","3,00",3
"freemind.modes.MapAdapter","1,74",80
"freemind.modes.MapAdapter.DontAskUserBeforeUpdateAdapter","1,00",1
"freemind.modes.MapAdapter.FileChangeInspectorTimerTask","5,00",5
"freemind.modes.MapFeedbackAdapter","1,14",42
"freemind.modes.MapFeedbackAdapter.NodesDepthComparator","2,50",5
"freemind.modes.MindIcon","1,85",37
"freemind.modes.MindMapLinkRegistry","2,00",42
"freemind.modes.MindMapLinkRegistry.SynchronousVector","3,00",6
"freemind.modes.Mode","1,00",1
"freemind.modes.ModesCreator","2,67",8
"freemind.modes.NodeAdapter","2,14",298
"freemind.modes.NodeDownAction","1,00",2
"freemind.modes.NodeViewEvent","1,00",1
"freemind.modes.StylePattern","1,67",70
"freemind.modes.StylePatternFactory","6,60",99
"freemind.modes.XMLElementAdapter","7,94",127
"freemind.modes.attributes.Attribute","2,10",21
"freemind.modes.browsemode.BrowseArrowLinkModel","1,00",5
"freemind.modes.browsemode.BrowseCloudModel","1,00",2
"freemind.modes.browsemode.BrowseController","1,55",34
"freemind.modes.browsemode.BrowseController.FollowLinkAction","1,00",2
"freemind.modes.browsemode.BrowseController.FollowMapLink","1,25",5
"freemind.modes.browsemode.BrowseEdgeModel","1,00",4
"freemind.modes.browsemode.BrowseHookFactory","1,22",11
"freemind.modes.browsemode.BrowseMapModel","1,16",22
"freemind.modes.browsemode.BrowseMode","1,12",9
"freemind.modes.browsemode.BrowseNodeModel","1,00",3
"freemind.modes.browsemode.BrowsePopupMenu","1,00",5
"freemind.modes.browsemode.BrowseReminderHook","1,00",3
"freemind.modes.browsemode.BrowseToolBar","1,33",4
"freemind.modes.browsemode.EncryptedBrowseNode","2,50",15
"freemind.modes.browsemode.NodeNoteViewer","1,62",13
"freemind.modes.common.CommonNodeKeyListener","4,25",17
"freemind.modes.common.CommonToggleFoldedAction","2,17",13
"freemind.modes.common.GotoLinkNodeAction","1,50",3
"freemind.modes.common.actions.FindAction","2,89",52
"freemind.modes.common.actions.FindAction.FindNextAction","2,00",4
"freemind.modes.common.actions.NewMapAction","1,00",2
"freemind.modes.common.dialogs.EnterPasswordDialog","1,72",31
"freemind.modes.common.dialogs.IconSelectionPopupDialog","1,79",50
"freemind.modes.common.dialogs.IconSelectionPopupDialog.Position","1,00",4
"freemind.modes.common.dialogs.PersistentEditableComboBox","2,33",14
