Package,PDcy,PDpt
"common",5,12
"controller",10,19
"controller.color",1,1
"controller.filter",10,4
"controller.filter.condition",7,2
"controller.filter.util",0,2
"controller.printpreview",2,1
"extensions",5,10
"main",7,26
"modes",17,25
"modes.attributes",1,6
"modes.browsemode",9,1
"modes.common",3,4
"modes.common.actions",4,3
"modes.common.dialogs",3,2
"modes.common.listeners",4,3
"modes.common.plugins",3,2
"modes.filemode",7,0
"modes.mindmapmode",17,11
"modes.mindmapmode.actions",10,6
"modes.mindmapmode.actions.xml",4,5
"modes.mindmapmode.actions.xml.actors",10,3
"modes.mindmapmode.dialogs",6,0
"modes.mindmapmode.hooks",5,2
"modes.mindmapmode.listeners",5,1
"modes.viewmodes",8,2
"preferences",1,4
"preferences.layout",7,1
"swing",0,0
"view",4,5
"view.mindmapview",6,18

