Chidamber-Kemerer metrics,Qua, 13 dez 2017 16:00:49 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"org.hsqldb.CachedDataRow",9,2,1,0,21,13
"org.hsqldb.CachedRow",18,1,5,1,37,29
"org.hsqldb.ClientConnection",23,0,11,1,74,71
"org.hsqldb.ClientConnectionHTTP",7,1,4,0,20,8
"org.hsqldb.Collation",19,0,3,0,24,20
"org.hsqldb.ColumnBase",18,0,8,1,20,22
"org.hsqldb.ColumnSchema",44,1,6,0,46,51
"org.hsqldb.Constraint",45,0,5,0,110,135
"org.hsqldb.ConstraintCore",8,0,1,0,1,1
"org.hsqldb.Database",86,0,6,0,103,77
"org.hsqldb.DatabaseManager",26,0,2,0,56,48
"org.hsqldb.DatabaseURL",12,0,1,0,9,38
"org.hsqldb.Error",132,0,3,0,17,21
"org.hsqldb.ErrorCode",n/a,n/a,n/a,n/a,0,n/a
"org.hsqldb.Expression",68,0,7,9,114,220
"org.hsqldb.ExpressionAggregate",15,1,3,0,23,47
"org.hsqldb.ExpressionArithmetic",21,1,1,0,38,81
"org.hsqldb.ExpressionColumn",39,1,1,0,80,150
"org.hsqldb.ExpressionLike",18,2,2,0,37,47
"org.hsqldb.ExpressionLogical",36,1,1,1,85,325
"org.hsqldb.ExpressionOp",22,1,1,0,32,82
"org.hsqldb.ExpressionOrderBy",11,1,2,0,14,14
"org.hsqldb.ExpressionValue",16,1,1,0,8,10
"org.hsqldb.FunctionCustom",29,2,1,0,71,264
"org.hsqldb.FunctionSQL",31,1,3,1,78,281
"org.hsqldb.FunctionSQLInvoked",18,1,3,0,32,25
"org.hsqldb.HsqlDateTime",16,0,5,0,28,27
"org.hsqldb.HsqlDateTime.Tokenizer",2,0,1,0,8,12
"org.hsqldb.HsqlException",173,0,5,0,15,11
"org.hsqldb.HsqlNameManager",20,0,5,0,25,29
"org.hsqldb.HsqlNameManager.HsqlName",66,1,3,0,20,35
"org.hsqldb.HsqlNameManager.SimpleName",49,0,1,1,6,7
"org.hsqldb.Library",4,0,16,0,19,68
"org.hsqldb.Like",11,0,2,0,29,64
"org.hsqldb.LobManager",8,0,2,0,11,6
"org.hsqldb.NumberSequence",33,0,5,0,58,101
"org.hsqldb.OpTypes",n/a,n/a,n/a,n/a,0,n/a
"org.hsqldb.ParserBase",28,0,1,1,79,115
"org.hsqldb.ParserCommand",40,5,1,0,93,193
