Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.hsqldb.CachedDataRow",9,11,69,80,355,2,1,1,107,62,0,28,6,"1,44",3,21,13
"org.hsqldb.CachedRow",18,12,60,72,355,1,1,5,236,121,1,12,12,"1,38",7,37,29
"org.hsqldb.ClientConnection",23,22,69,91,355,0,1,11,423,355,1,0,0,"1,77",17,74,71
"org.hsqldb.ClientConnectionHTTP",7,22,73,95,355,1,1,4,57,44,0,31,5,"1,33",2,20,8
"org.hsqldb.Collation",19,6,12,18,355,0,0,3,190,175,0,0,0,"1,67",9,24,20
"org.hsqldb.ColumnBase",18,10,20,30,355,0,0,8,84,77,1,0,0,"1,10",11,20,22
"org.hsqldb.ColumnSchema",44,16,65,81,355,1,1,6,205,160,0,8,10,"1,42",26,46,51
"org.hsqldb.Constraint",45,27,63,90,355,0,1,5,737,584,0,0,0,"2,50",38,110,135
"org.hsqldb.ConstraintCore",8,14,1,15,355,0,0,1,52,32,0,0,0,"1,00",1,1,1
"org.hsqldb.Database",86,37,41,78,355,0,0,6,580,405,0,0,0,"1,88",27,103,77
"org.hsqldb.DatabaseManager",26,7,18,25,355,0,0,2,332,218,0,0,0,"2,67",11,56,48
"org.hsqldb.DatabaseURL",12,12,3,15,355,0,0,1,247,173,0,0,0,"12,67",3,9,38
"org.hsqldb.Error",132,8,12,20,355,0,0,3,156,89,0,0,0,"1,75",10,17,21
"org.hsqldb.ErrorCode",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.hsqldb.Expression",68,28,64,92,355,0,0,7,1.033,871,9,0,0,"3,44",44,114,220
"org.hsqldb.ExpressionAggregate",15,17,66,83,355,1,0,3,193,177,0,47,6,"4,70",7,23,47
"org.hsqldb.ExpressionArithmetic",21,16,65,81,355,1,0,1,305,292,0,48,5,"9,00",4,38,81
"org.hsqldb.ExpressionColumn",39,33,92,125,355,1,0,1,585,546,0,34,19,"4,17",20,80,150
"org.hsqldb.ExpressionLike",18,20,94,114,355,2,0,2,257,243,0,55,6,"5,88",4,37,47
"org.hsqldb.ExpressionLogical",36,17,87,104,355,1,0,1,1.269,1.201,1,48,5,"10,48",15,85,325
"org.hsqldb.ExpressionOp",22,16,65,81,355,1,0,1,362,333,0,48,5,"9,11",4,32,82
"org.hsqldb.ExpressionOrderBy",11,18,65,83,355,1,0,2,77,58,0,49,4,"1,56",5,14,14
"org.hsqldb.ExpressionValue",16,16,60,76,355,1,0,1,48,37,0,50,3,"2,50",3,8,10
"org.hsqldb.FunctionCustom",29,75,77,152,355,2,0,1,1.204,1.178,0,56,5,"29,33",6,71,264
"org.hsqldb.FunctionSQL",31,78,72,150,355,1,0,3,1.499,1.343,1,47,6,"17,56",12,78,281
"org.hsqldb.FunctionSQLInvoked",18,18,62,80,355,1,0,3,122,114,0,49,4,"4,17",3,32,25
"org.hsqldb.HsqlDateTime",16,16,20,36,355,0,0,5,275,198,0,0,0,"1,35",16,28,27
"org.hsqldb.HsqlDateTime.Tokenizer",2,4,8,12,1,0,0,1,83,51,0,0,0,"1,50",5,8,12
"org.hsqldb.HsqlException",173,7,11,18,355,0,0,5,77,50,0,0,0,"1,00",5,15,11
"org.hsqldb.HsqlNameManager",20,7,22,29,355,0,0,5,199,154,0,0,0,"1,32",20,25,29
"org.hsqldb.HsqlNameManager.HsqlName",66,11,22,33,355,1,0,3,163,144,0,0,3,"2,06",10,20,35
"org.hsqldb.HsqlNameManager.SimpleName",49,2,5,7,15,0,0,1,24,24,1,0,0,"1,40",3,6,7
"org.hsqldb.Library",4,1,19,20,355,0,0,16,514,228,0,0,0,"3,58",18,19,68
"org.hsqldb.Like",11,14,18,32,355,0,0,2,263,250,0,0,0,"3,56",14,29,64
"org.hsqldb.LobManager",8,2,6,8,355,0,0,2,22,22,0,0,0,"1,00",4,11,6
"org.hsqldb.NumberSequence",33,13,57,70,355,0,1,5,480,438,0,0,0,"2,10",25,58,101
"org.hsqldb.OpTypes",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.hsqldb.ParserBase",28,9,48,57,355,0,0,1,488,464,1,0,0,"2,40",30,79,115
"org.hsqldb.ParserCommand",40,13,307,320,355,5,0,1,1.022,987,0,210,0,"8,04",23,93,193
"org.hsqldb.ParserDDL",64,16,285,301,355,4,0,2,3.503,3.352,1,151,1,"6,98",56,331,607
"org.hsqldb.ParserDML",47,13,175,188,355,2,0,1,780,723,1,142,0,"12,70",5,93,127
"org.hsqldb.ParserDQL",64,13,165,178,355,1,0,1,3.086,2.960,1,45,1,"5,31",105,281,627
"org.hsqldb.ParserDQL.CompileContext",32,10,15,25,355,0,0,1,141,134,0,0,0,"1,93",8,30,29
