Class,OCavg,WMC
"org.hsqldb.CachedDataRow","1,44",13
"org.hsqldb.CachedRow","1,38",29
"org.hsqldb.ClientConnection","1,77",71
"org.hsqldb.ClientConnectionHTTP","1,33",8
"org.hsqldb.Collation","1,67",20
"org.hsqldb.ColumnBase","1,10",22
"org.hsqldb.ColumnSchema","1,42",51
"org.hsqldb.Constraint","2,50",135
"org.hsqldb.ConstraintCore","1,00",1
"org.hsqldb.Database","1,88",77
"org.hsqldb.DatabaseManager","2,67",48
"org.hsqldb.DatabaseURL","12,67",38
"org.hsqldb.Error","1,75",21
"org.hsqldb.Expression","3,44",220
"org.hsqldb.ExpressionAggregate","4,70",47
"org.hsqldb.ExpressionArithmetic","9,00",81
"org.hsqldb.ExpressionColumn","4,17",150
"org.hsqldb.ExpressionLike","5,88",47
"org.hsqldb.ExpressionLogical","10,48",325
"org.hsqldb.ExpressionOp","9,11",82
"org.hsqldb.ExpressionOrderBy","1,56",14
"org.hsqldb.ExpressionValue","2,50",10
"org.hsqldb.FunctionCustom","29,33",264
"org.hsqldb.FunctionSQL","17,56",281
"org.hsqldb.FunctionSQLInvoked","4,17",25
"org.hsqldb.HsqlDateTime","1,35",27
"org.hsqldb.HsqlDateTime.Tokenizer","1,50",12
"org.hsqldb.HsqlException","1,00",11
"org.hsqldb.HsqlNameManager","1,32",29
"org.hsqldb.HsqlNameManager.HsqlName","2,06",35
"org.hsqldb.HsqlNameManager.SimpleName","1,40",7
"org.hsqldb.Library","3,58",68
"org.hsqldb.Like","3,56",64
"org.hsqldb.LobManager","1,00",6
"org.hsqldb.NumberSequence","2,10",101
"org.hsqldb.ParserBase","2,40",115
"org.hsqldb.ParserCommand","8,04",193
"org.hsqldb.ParserDDL","6,98",607
"org.hsqldb.ParserDML","12,70",127
"org.hsqldb.ParserDQL","5,31",627
"org.hsqldb.ParserDQL.CompileContext","1,93",29
"org.hsqldb.ParserRoutine","7,83",188
"org.hsqldb.QueryExpression","2,26",104
"org.hsqldb.QuerySpecification","4,83",280
"org.hsqldb.RangeVariable","2,62",89
"org.hsqldb.RangeVariable.FullRangeIterator","2,33",7
"org.hsqldb.RangeVariable.JoinedRangeIterator","2,00",8
"org.hsqldb.RangeVariable.RangeIteratorBase","1,55",17
"org.hsqldb.RangeVariable.RangeIteratorMain","3,42",41
