Method,ev(G),iv(G),v(G)
"null.accept(File,String)",2,2,3
"null.actionPerformed(ActionEvent)",1,1,2
"null.compare(Object,Object)",1,1,1
"null.run()",1,2,2
"org.hsqldb.CachedDataRow.CachedDataRow(TableBase,Object[])",1,1,1
"org.hsqldb.CachedDataRow.CachedDataRow(TableBase,RowInputInterface)",1,1,1
"org.hsqldb.CachedDataRow.equals(Object)",3,1,4
"org.hsqldb.CachedDataRow.hasChanged()",1,1,1
"org.hsqldb.CachedDataRow.insertNode(int)",1,1,1
"org.hsqldb.CachedDataRow.setNewNodes()",1,1,2
"org.hsqldb.CachedDataRow.setPos(int)",1,1,2
"org.hsqldb.CachedDataRow.setPrimaryNode(Node)",1,1,1
"org.hsqldb.CachedDataRow.write(RowOutputInterface)",1,1,1
"org.hsqldb.CachedRow.CachedRow()",1,1,1
"org.hsqldb.CachedRow.CachedRow(TableBase,Object[])",1,1,1
"org.hsqldb.CachedRow.CachedRow(TableBase,RowInputInterface)",1,1,2
"org.hsqldb.CachedRow.delete()",1,1,1
"org.hsqldb.CachedRow.destroy()",1,1,1
"org.hsqldb.CachedRow.equals(Object)",3,1,3
"org.hsqldb.CachedRow.getStorageSize()",1,1,1
"org.hsqldb.CachedRow.getTable()",1,1,1
"org.hsqldb.CachedRow.hasChanged()",1,1,1
"org.hsqldb.CachedRow.hashCode()",1,1,1
"org.hsqldb.CachedRow.insertNode(int)",1,1,1
"org.hsqldb.CachedRow.isKeepInMemory()",1,1,1
"org.hsqldb.CachedRow.readRowInfo(RowInputInterface)",1,1,1
"org.hsqldb.CachedRow.setChanged()",1,1,1
"org.hsqldb.CachedRow.setNewNodes()",1,1,2
"org.hsqldb.CachedRow.setPos(int)",1,1,2
"org.hsqldb.CachedRow.setStorageSize(int)",1,1,1
"org.hsqldb.CachedRow.write(RowOutputInterface)",1,2,3
"org.hsqldb.CachedRow.write(RowOutputInterface,IntLookup)",1,2,2
"org.hsqldb.CachedRow.writeNodes(RowOutputInterface)",1,2,2
"org.hsqldb.CachedRow.writeRowInfo(RowOutputInterface)",1,1,1
"org.hsqldb.ClientConnection.ClientConnection(String,int,String,String,boolean,String,String,int)",2,2,2
"org.hsqldb.ClientConnection.addWarning(HsqlException)",1,1,1
"org.hsqldb.ClientConnection.allocateResultLob(ResultLob,DataInput)",1,1,1
"org.hsqldb.ClientConnection.close()",2,1,4
"org.hsqldb.ClientConnection.closeConnection()",1,2,3
"org.hsqldb.ClientConnection.closeNavigator(long)",1,1,2
"org.hsqldb.ClientConnection.commit(boolean)",2,2,2
"org.hsqldb.ClientConnection.execute(Result)",1,2,2
"org.hsqldb.ClientConnection.getAttribute(int)",6,3,6
"org.hsqldb.ClientConnection.getCurrentDate()",1,1,1
"org.hsqldb.ClientConnection.getId()",1,1,1
"org.hsqldb.ClientConnection.getInternalConnectionURL()",1,1,1
"org.hsqldb.ClientConnection.getIsolation()",1,1,1
"org.hsqldb.ClientConnection.getLobId()",1,1,1
"org.hsqldb.ClientConnection.getRows(long,int,int)",1,2,2
"org.hsqldb.ClientConnection.getScanner()",1,1,2
"org.hsqldb.ClientConnection.getSession()",1,1,1
"org.hsqldb.ClientConnection.getZoneSeconds()",1,1,1
"org.hsqldb.ClientConnection.handshake()",1,1,1
"org.hsqldb.ClientConnection.initConnection(String,int,boolean)",1,1,1
"org.hsqldb.ClientConnection.initStructures()",1,1,1
"org.hsqldb.ClientConnection.isAutoCommit()",1,1,1
"org.hsqldb.ClientConnection.isClosed()",1,1,1
"org.hsqldb.ClientConnection.isReadOnlyDefault()",1,1,1
"org.hsqldb.ClientConnection.openConnection(String,int,boolean)",1,2,2
"org.hsqldb.ClientConnection.prepareCommit()",2,2,2
"org.hsqldb.ClientConnection.read()",1,1,1
"org.hsqldb.ClientConnection.releaseSavepoint(String)",2,2,2
"org.hsqldb.ClientConnection.resetSession()",2,2,2
"org.hsqldb.ClientConnection.rollback(boolean)",2,2,2
"org.hsqldb.ClientConnection.rollbackToSavepoint(String)",2,2,2
"org.hsqldb.ClientConnection.savepoint(String)",2,2,2
"org.hsqldb.ClientConnection.setAttribute(int,Object)",3,3,5
"org.hsqldb.ClientConnection.setAutoCommit(boolean)",1,2,3
"org.hsqldb.ClientConnection.setIsolationDefault(int)",1,1,1
"org.hsqldb.ClientConnection.setReadOnlyDefault(boolean)",1,2,3
"org.hsqldb.ClientConnection.startPhasedTransaction()",1,1,1
"org.hsqldb.ClientConnection.toNcvInt(String)",8,1,8
"org.hsqldb.ClientConnection.toNcvString(int)",1,1,1
"org.hsqldb.ClientConnection.write(Result)",1,1,1
"org.hsqldb.ClientConnectionHTTP.ClientConnectionHTTP(String,int,String,String,boolean,String,String,int)",1,1,1
"org.hsqldb.ClientConnectionHTTP.execute(Result)",1,1,1
"org.hsqldb.ClientConnectionHTTP.handshake()",1,1,1
"org.hsqldb.ClientConnectionHTTP.initConnection(String,int,boolean)",1,1,1
"org.hsqldb.ClientConnectionHTTP.read()",3,2,3
"org.hsqldb.ClientConnectionHTTP.write(Result)",1,1,1
"org.hsqldb.Collation.Collation()",1,1,1
"org.hsqldb.Collation.compare(String,String)",1,2,4
"org.hsqldb.Collation.compareIgnoreCase(String,String)",1,2,4
