Package,PDcy,PDpt
"org.hsqldb",15,15
"org.hsqldb.cmdline",3,2
"org.hsqldb.cmdline.sqltool",2,1
"org.hsqldb.dbinfo",10,1
"org.hsqldb.index",7,4
"org.hsqldb.jdbc",6,4
"org.hsqldb.jdbc.pool",2,0
"org.hsqldb.lib",3,21
"org.hsqldb.lib.java",0,7
"org.hsqldb.lib.tar",1,2
"org.hsqldb.lib.tar.rb",0,0
"org.hsqldb.navigator",7,7
"org.hsqldb.persist",11,9
"org.hsqldb.resources",1,3
"org.hsqldb.result",6,8
"org.hsqldb.rights",4,5
"org.hsqldb.rowio",7,8
"org.hsqldb.sample",4,0
"org.hsqldb.scriptio",7,4
"org.hsqldb.server",10,2
"org.hsqldb.store",1,10
"org.hsqldb.test",7,0
"org.hsqldb.types",7,9
"org.hsqldb.util",2,1
"org.hsqldb.util.preprocessor",0,0

