Chidamber-Kemerer metrics,Seg, 11 dez 2017 13:52:19 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"console.Main",1,1,1,0,16,7
"depending.Main",0,1,1,0,3,2
"example.ConfigurationsExample",0,1,1,0,9,2
"example.Hello",0,1,1,0,3,1
"filter.AbstractTestFilter",3,1,1,2,6,5
"filter.FilterProvider",1,1,1,0,4,1
"filter.IFilter",n/a,n/a,n/a,n/a,1,n/a
"filter.ccimpl.CCFilter",1,1,1,0,5,4
"filter.ccimpl.CCFilterTest",2,2,1,0,1,1
"filter.hmimpl.HMFilter",2,1,1,0,6,5
"filter.hmimpl.HMFilterTest",2,2,1,0,1,1
"find.FindFile",3,1,1,0,4,3
"find.Main",0,1,1,0,6,3
"fr.jayasoft.ivy.AbstractArtifact",6,1,6,2,31,13
"fr.jayasoft.ivy.Artifact",n/a,n/a,n/a,n/a,8,n/a
"fr.jayasoft.ivy.ArtifactId",13,1,4,0,12,9
"fr.jayasoft.ivy.ArtifactInfo",n/a,n/a,n/a,n/a,2,n/a
"fr.jayasoft.ivy.ArtifactOrigin",10,1,2,0,3,3
"fr.jayasoft.ivy.ArtifactRevisionId",9,2,3,0,30,14
"fr.jayasoft.ivy.Configuration",14,3,3,0,25,25
"fr.jayasoft.ivy.Configuration.Visibility",8,1,1,0,5,5
"fr.jayasoft.ivy.ConflictManager",n/a,n/a,n/a,n/a,2,n/a
"fr.jayasoft.ivy.DefaultArtifact",22,2,9,0,31,21
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor",9,1,4,0,31,23
"fr.jayasoft.ivy.DefaultDependencyDescriptor",29,1,2,0,107,76
"fr.jayasoft.ivy.DefaultModuleDescriptor",40,1,3,0,141,91
"fr.jayasoft.ivy.DefaultModuleDescriptor.ModuleIdMatcher",4,1,1,0,3,2
"fr.jayasoft.ivy.DefaultModuleRevision",7,1,6,0,18,13
"fr.jayasoft.ivy.DefaultPublishingDRResolver",6,1,1,1,2,1
"fr.jayasoft.ivy.DependencyArtifactDescriptor",n/a,n/a,n/a,n/a,8,n/a
"fr.jayasoft.ivy.DependencyDescriptor",n/a,n/a,n/a,n/a,20,n/a
"fr.jayasoft.ivy.DependencyResolver",n/a,n/a,n/a,n/a,13,n/a
"fr.jayasoft.ivy.Ivy",183,1,5,0,570,514
"fr.jayasoft.ivy.Ivy.ModuleSettings",1,1,3,0,5,7
"fr.jayasoft.ivy.IvyAware",n/a,n/a,n/a,n/a,1,n/a
"fr.jayasoft.ivy.IvyContext",16,1,4,0,26,18
"fr.jayasoft.ivy.IvyNode",47,1,1,0,254,254
"fr.jayasoft.ivy.IvyNode.Caller",6,1,4,0,27,13
"fr.jayasoft.ivy.IvyNode.EvictionData",5,1,4,0,6,7
"fr.jayasoft.ivy.IvyNode.ModuleIdConf",2,1,2,0,9,6
"fr.jayasoft.ivy.IvyNode.NodeConf",1,1,2,0,9,6
