Class,OCavg,WMC
"console.Main","2,33",7
"depending.Main","2,00",2
"example.ConfigurationsExample","2,00",2
"example.Hello","1,00",1
"filter.AbstractTestFilter","1,00",5
"filter.FilterProvider","1,00",1
"filter.ccimpl.CCFilter","2,00",4
"filter.ccimpl.CCFilterTest","1,00",1
"filter.hmimpl.HMFilter","5,00",5
"filter.hmimpl.HMFilterTest","1,00",1
"find.FindFile","1,00",3
"find.Main","1,50",3
"fr.jayasoft.ivy.AbstractArtifact","1,30",13
"fr.jayasoft.ivy.ArtifactId","1,12",9
"fr.jayasoft.ivy.ArtifactOrigin","1,00",3
"fr.jayasoft.ivy.ArtifactRevisionId","1,08",14
"fr.jayasoft.ivy.Configuration","1,92",25
"fr.jayasoft.ivy.Configuration.Visibility","1,67",5
"fr.jayasoft.ivy.DefaultArtifact","1,31",21
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor","1,53",23
"fr.jayasoft.ivy.DefaultDependencyDescriptor","1,73",76
"fr.jayasoft.ivy.DefaultModuleDescriptor","1,62",91
"fr.jayasoft.ivy.DefaultModuleDescriptor.ModuleIdMatcher","1,00",2
"fr.jayasoft.ivy.DefaultModuleRevision","1,08",13
"fr.jayasoft.ivy.DefaultPublishingDRResolver","1,00",1
"fr.jayasoft.ivy.Ivy","2,47",514
"fr.jayasoft.ivy.Ivy.ModuleSettings","1,40",7
"fr.jayasoft.ivy.IvyContext","1,38",18
"fr.jayasoft.ivy.IvyNode","2,49",254
"fr.jayasoft.ivy.IvyNode.Caller","1,18",13
"fr.jayasoft.ivy.IvyNode.EvictionData","1,17",7
"fr.jayasoft.ivy.IvyNode.ModuleIdConf","1,20",6
"fr.jayasoft.ivy.IvyNode.NodeConf","1,20",6
"fr.jayasoft.ivy.License","1,00",3
"fr.jayasoft.ivy.MDArtifact","1,42",17
"fr.jayasoft.ivy.Main","5,43",38
"fr.jayasoft.ivy.ModuleDescriptorSorter","3,17",19
"fr.jayasoft.ivy.ModuleId","1,33",12
"fr.jayasoft.ivy.ModuleRevisionId","1,90",38
"fr.jayasoft.ivy.ResolveData","1,00",15
"fr.jayasoft.ivy.ResolvedURL","1,40",7
"fr.jayasoft.ivy.ant.AddPathTask","1,25",15
"fr.jayasoft.ivy.ant.AntBuildTrigger","1,58",19
"fr.jayasoft.ivy.ant.AntCallTrigger","1,67",15
"fr.jayasoft.ivy.ant.AntMessageImpl","1,33",16
"fr.jayasoft.ivy.ant.IvyArtifactProperty","1,53",23
"fr.jayasoft.ivy.ant.IvyArtifactReport","2,10",42
"fr.jayasoft.ivy.ant.IvyBuildList","1,95",39
"fr.jayasoft.ivy.ant.IvyBuildNumber","2,29",48
"fr.jayasoft.ivy.ant.IvyBuildNumber.NewRevision","1,00",1
"fr.jayasoft.ivy.ant.IvyBuildNumber.Range","1,00",1
"fr.jayasoft.ivy.ant.IvyCacheFileset","2,00",8
"fr.jayasoft.ivy.ant.IvyCachePath","1,75",7
"fr.jayasoft.ivy.ant.IvyCacheTask","5,00",10
"fr.jayasoft.ivy.ant.IvyCheck","1,83",11
"fr.jayasoft.ivy.ant.IvyConfigure","1,50",27
"fr.jayasoft.ivy.ant.IvyConfigure.Credentials","1,00",8
"fr.jayasoft.ivy.ant.IvyConvertPom","1,40",7
"fr.jayasoft.ivy.ant.IvyDeliver","1,61",37
"fr.jayasoft.ivy.ant.IvyDeliver.DeliverDRResolver","5,00",10
"fr.jayasoft.ivy.ant.IvyExtractFromSources","1,62",26
"fr.jayasoft.ivy.ant.IvyExtractFromSources.Ignore","1,00",2
"fr.jayasoft.ivy.ant.IvyFindRevision","1,45",16
"fr.jayasoft.ivy.ant.IvyInfo","2,33",7
"fr.jayasoft.ivy.ant.IvyInstall","1,38",29
"fr.jayasoft.ivy.ant.IvyListModules","1,40",21
"fr.jayasoft.ivy.ant.IvyPostResolveTask","1,58",38
"fr.jayasoft.ivy.ant.IvyPublish","1,42",61
"fr.jayasoft.ivy.ant.IvyPublish.PublishArtifact","1,06",18
"fr.jayasoft.ivy.ant.IvyReport","1,71",53
"fr.jayasoft.ivy.ant.IvyRepositoryReport","1,31",47
"fr.jayasoft.ivy.ant.IvyResolve","1,44",49
"fr.jayasoft.ivy.ant.IvyRetrieve","1,00",7
"fr.jayasoft.ivy.ant.IvyTask","2,04",49
"fr.jayasoft.ivy.ant.IvyVar","1,58",19
"fr.jayasoft.ivy.ant.PackageMapping","1,00",9
"fr.jayasoft.ivy.circular.AbstractCircularDependencyStrategy","1,00",3
"fr.jayasoft.ivy.circular.CircularDependencyException","1,00",2
"fr.jayasoft.ivy.circular.CircularDependencyHelper","1,67",5
"fr.jayasoft.ivy.circular.ErrorCircularDependencyStrategy","1,00",3
"fr.jayasoft.ivy.circular.IgnoreCircularDependencyStrategy","1,00",3
"fr.jayasoft.ivy.circular.WarnCircularDependencyStrategy","1,00",3
"fr.jayasoft.ivy.conflict.AbstractConflictManager","1,00",5
"fr.jayasoft.ivy.conflict.FixedConflictManager","1,67",5
"fr.jayasoft.ivy.conflict.LatestConflictManager","1,89",17
"fr.jayasoft.ivy.conflict.LatestConflictManager.IvyNodeArtifactInfo","1,00",4
"fr.jayasoft.ivy.conflict.NoConflictManager","1,00",2
"fr.jayasoft.ivy.conflict.RegexpConflictManager","1,88",15
"fr.jayasoft.ivy.conflict.StrictConflictException","1,00",4
"fr.jayasoft.ivy.conflict.StrictConflictManager","2,00",4
"fr.jayasoft.ivy.event.AbstractTrigger","1,11",10
"fr.jayasoft.ivy.event.FilteredIvyListener","1,25",5
"fr.jayasoft.ivy.event.IvyEvent","1,08",14
"fr.jayasoft.ivy.event.IvyEventFilter","3,40",17
"fr.jayasoft.ivy.event.download.DownloadEvent","1,00",3
"fr.jayasoft.ivy.event.download.EndArtifactDownloadEvent","1,33",4
"fr.jayasoft.ivy.event.download.NeedArtifactEvent","1,00",2
"fr.jayasoft.ivy.event.download.PrepareDownloadEvent","1,00",2
