Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"fr.jayasoft.ivy.AbstractArtifact",144,4,200,2,278
"fr.jayasoft.ivy.ArtifactId",0,1,2,12,279
"fr.jayasoft.ivy.ArtifactOrigin",0,0,0,10,279
"fr.jayasoft.ivy.ArtifactRevisionId",144,4,200,5,278
"fr.jayasoft.ivy.Configuration",144,4,200,11,278
"fr.jayasoft.ivy.Configuration.Visibility",0,0,0,8,279
"fr.jayasoft.ivy.DefaultArtifact",144,5,200,17,278
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor",144,5,200,4,278
"fr.jayasoft.ivy.DefaultDependencyDescriptor",144,12,200,18,278
"fr.jayasoft.ivy.DefaultModuleDescriptor",144,25,200,17,278
"fr.jayasoft.ivy.DefaultModuleDescriptor.ModuleIdMatcher",144,3,200,1,278
"fr.jayasoft.ivy.DefaultModuleRevision",144,4,200,3,278
"fr.jayasoft.ivy.DefaultPublishingDRResolver",0,3,201,3,6
"fr.jayasoft.ivy.Ivy",144,96,200,113,278
"fr.jayasoft.ivy.Ivy.ModuleSettings",0,0,0,1,279
"fr.jayasoft.ivy.IvyContext",144,3,200,14,278
"fr.jayasoft.ivy.IvyNode",144,32,200,21,278
"fr.jayasoft.ivy.IvyNode.Caller",144,3,200,3,278
"fr.jayasoft.ivy.IvyNode.EvictionData",144,2,200,4,278
"fr.jayasoft.ivy.IvyNode.ModuleIdConf",0,1,2,1,279
"fr.jayasoft.ivy.IvyNode.NodeConf",144,1,200,1,278
"fr.jayasoft.ivy.License",0,0,0,5,279
"fr.jayasoft.ivy.MDArtifact",144,5,200,4,278
"fr.jayasoft.ivy.Main",0,17,204,0,0
"fr.jayasoft.ivy.ModuleDescriptorSorter",144,10,200,1,278
"fr.jayasoft.ivy.ModuleId",0,1,1,39,282
"fr.jayasoft.ivy.ModuleRevisionId",144,6,200,114,278
"fr.jayasoft.ivy.ResolveData",144,4,200,18,278
"fr.jayasoft.ivy.ResolvedURL",0,2,201,0,0
"fr.jayasoft.ivy.ant.AddPathTask",0,0,0,0,0
"fr.jayasoft.ivy.ant.AntBuildTrigger",0,8,208,0,0
"fr.jayasoft.ivy.ant.AntCallTrigger",0,8,208,0,0
"fr.jayasoft.ivy.ant.AntMessageImpl",0,2,201,1,44
"fr.jayasoft.ivy.ant.IvyArtifactProperty",0,7,207,1,1
"fr.jayasoft.ivy.ant.IvyArtifactReport",0,10,207,0,0
"fr.jayasoft.ivy.ant.IvyBuildList",0,10,207,1,1
"fr.jayasoft.ivy.ant.IvyBuildNumber",0,7,209,1,1
"fr.jayasoft.ivy.ant.IvyBuildNumber.NewRevision",0,0,0,1,2
"fr.jayasoft.ivy.ant.IvyBuildNumber.Range",0,0,0,1,2
"fr.jayasoft.ivy.ant.IvyCacheFileset",0,5,209,1,1
"fr.jayasoft.ivy.ant.IvyCachePath",0,5,209,1,1
"fr.jayasoft.ivy.ant.IvyCacheTask",0,11,208,2,4
"fr.jayasoft.ivy.ant.IvyCheck",0,4,207,0,0
"fr.jayasoft.ivy.ant.IvyConfigure",3,8,206,3,43
"fr.jayasoft.ivy.ant.IvyConfigure.Credentials",3,1,206,1,43
"fr.jayasoft.ivy.ant.IvyConvertPom",0,6,207,1,1
"fr.jayasoft.ivy.ant.IvyDeliver",1,6,209,3,4
"fr.jayasoft.ivy.ant.IvyDeliver.DeliverDRResolver",1,8,209,1,4
"fr.jayasoft.ivy.ant.IvyExtractFromSources",0,4,209,0,0
"fr.jayasoft.ivy.ant.IvyExtractFromSources.Ignore",0,0,0,1,1
"fr.jayasoft.ivy.ant.IvyFindRevision",0,5,207,1,1
"fr.jayasoft.ivy.ant.IvyInfo",0,9,207,0,0
"fr.jayasoft.ivy.ant.IvyInstall",0,5,207,0,0
"fr.jayasoft.ivy.ant.IvyListModules",0,6,207,1,1
"fr.jayasoft.ivy.ant.IvyPostResolveTask",0,10,207,7,7
"fr.jayasoft.ivy.ant.IvyPublish",0,8,211,1,1
"fr.jayasoft.ivy.ant.IvyPublish.PublishArtifact",0,3,201,1,2
"fr.jayasoft.ivy.ant.IvyReport",0,8,207,1,1
"fr.jayasoft.ivy.ant.IvyRepositoryReport",0,11,207,1,1
"fr.jayasoft.ivy.ant.IvyResolve",3,7,206,8,43
"fr.jayasoft.ivy.ant.IvyRetrieve",0,4,208,1,1
"fr.jayasoft.ivy.ant.IvyTask",3,12,206,41,43
"fr.jayasoft.ivy.ant.IvyVar",0,2,207,1,1
"fr.jayasoft.ivy.ant.PackageMapping",0,1,201,1,1
"fr.jayasoft.ivy.circular.AbstractCircularDependencyStrategy",144,1,200,3,278
"fr.jayasoft.ivy.circular.CircularDependencyException",144,2,200,3,278
"fr.jayasoft.ivy.circular.CircularDependencyHelper",144,3,200,4,278
"fr.jayasoft.ivy.circular.ErrorCircularDependencyStrategy",144,4,200,2,278
"fr.jayasoft.ivy.circular.IgnoreCircularDependencyStrategy",144,5,200,2,278
"fr.jayasoft.ivy.circular.WarnCircularDependencyStrategy",144,5,200,2,278
"fr.jayasoft.ivy.conflict.AbstractConflictManager",144,3,200,5,278
"fr.jayasoft.ivy.conflict.FixedConflictManager",144,3,200,2,278
"fr.jayasoft.ivy.conflict.LatestConflictManager",144,9,200,1,278
"fr.jayasoft.ivy.conflict.LatestConflictManager.IvyNodeArtifactInfo",144,3,200,1,278
"fr.jayasoft.ivy.conflict.NoConflictManager",144,2,200,2,278
"fr.jayasoft.ivy.conflict.RegexpConflictManager",0,5,201,0,0
"fr.jayasoft.ivy.conflict.StrictConflictException",0,0,0,4,279
"fr.jayasoft.ivy.conflict.StrictConflictManager",144,4,200,2,278
"fr.jayasoft.ivy.event.AbstractTrigger",0,6,201,2,2
"fr.jayasoft.ivy.event.FilteredIvyListener",144,3,200,1,278
"fr.jayasoft.ivy.event.IvyEvent",144,6,200,17,278
"fr.jayasoft.ivy.event.IvyEventFilter",144,10,200,3,278
"fr.jayasoft.ivy.event.download.DownloadEvent",144,4,200,3,278
"fr.jayasoft.ivy.event.download.EndArtifactDownloadEvent",144,8,200,1,278
"fr.jayasoft.ivy.event.download.NeedArtifactEvent",144,5,200,1,278
"fr.jayasoft.ivy.event.download.PrepareDownloadEvent",144,3,200,1,278
"fr.jayasoft.ivy.event.download.StartArtifactDownloadEvent",144,6,200,1,278
"fr.jayasoft.ivy.event.resolve.EndResolveDependencyEvent",144,8,200,1,278
"fr.jayasoft.ivy.event.resolve.EndResolveEvent",144,4,200,4,278
"fr.jayasoft.ivy.event.resolve.ResolveDependencyEvent",144,5,200,2,278
"fr.jayasoft.ivy.event.resolve.ResolveEvent",144,3,200,2,278
"fr.jayasoft.ivy.event.resolve.StartResolveDependencyEvent",144,4,200,1,278
