Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"fr.jayasoft.ivy.Artifact",144,3,200,52,278
"fr.jayasoft.ivy.ArtifactInfo",0,0,0,16,283
"fr.jayasoft.ivy.ConflictManager",144,1,200,11,278
"fr.jayasoft.ivy.DependencyArtifactDescriptor",144,3,200,7,278
"fr.jayasoft.ivy.DependencyDescriptor",144,6,200,34,278
"fr.jayasoft.ivy.DependencyResolver",144,9,200,28,278
"fr.jayasoft.ivy.IvyAware",144,1,200,6,278
"fr.jayasoft.ivy.LatestStrategy",0,1,1,10,280
"fr.jayasoft.ivy.ModuleDescriptor",144,11,200,64,278
"fr.jayasoft.ivy.PublishingDependencyRevisionResolver",144,2,200,3,278
"fr.jayasoft.ivy.ResolvedModuleRevision",144,3,200,28,278
"fr.jayasoft.ivy.circular.CircularDependencyStrategy",144,1,200,8,278
"fr.jayasoft.ivy.event.IvyListener",144,1,200,3,278
"fr.jayasoft.ivy.event.Trigger",144,2,200,4,278
"fr.jayasoft.ivy.extendable.ExtendableItem",0,0,0,16,282
"fr.jayasoft.ivy.filter.Filter",0,0,0,16,283
"fr.jayasoft.ivy.matcher.Matcher",0,0,0,20,290
"fr.jayasoft.ivy.matcher.PatternMatcher",0,1,1,24,284
"fr.jayasoft.ivy.namespace.NamespaceTransformer",144,1,200,8,278
"fr.jayasoft.ivy.parser.ModuleDescriptorParser",144,3,200,9,278
"fr.jayasoft.ivy.report.ReportOutputter",144,1,200,6,278
"fr.jayasoft.ivy.repository.Repository",144,3,200,4,278
"fr.jayasoft.ivy.repository.Resource",0,0,0,34,282
"fr.jayasoft.ivy.repository.TransferListener",144,1,200,3,278
"fr.jayasoft.ivy.resolver.HasLatestStrategy",0,1,2,2,279
"fr.jayasoft.ivy.resolver.ResourceMDParser",144,2,200,3,278
"fr.jayasoft.ivy.resolver.URLLister",0,0,0,4,280
"fr.jayasoft.ivy.tools.analyser.DependencyAnalyser",0,2,202,2,2
"fr.jayasoft.ivy.url.BasicURLHandler.HttpStatus",0,0,0,1,279
"fr.jayasoft.ivy.url.HttpClientHandler.HttpClientHelper",0,0,0,3,280
"fr.jayasoft.ivy.url.URLHandler",0,2,3,18,280
"fr.jayasoft.ivy.util.CopyProgressListener",0,1,1,7,281
"fr.jayasoft.ivy.util.MessageImpl",0,0,0,7,279
"fr.jayasoft.ivy.version.VersionMatcher",144,2,200,14,278

