Method,ev(G),iv(G),v(G)
"console.Main.error(String)",1,1,1
"console.Main.help()",1,1,1
"console.Main.main(String[])",5,5,6
"depending.Main.main(String[])",1,2,2
"example.ConfigurationsExample.main(String[])",1,5,5
"example.Hello.main(String[])",1,1,1
"filter.AbstractTestFilter.testFilter()",1,1,1
"filter.AbstractTestFilter.testFilterNull()",1,1,2
"filter.AbstractTestFilter.testFilterNullPrefix()",1,1,2
"filter.AbstractTestFilter.testFilterNullValues()",1,1,2
"filter.AbstractTestFilter.testFilterWithNullValues()",1,1,1
"filter.FilterProvider.getFilter()",1,3,3
"filter.ccimpl.CCFilter.filter(String[],String)",3,2,4
"filter.ccimpl.CCFilterTest.getIFilter()",1,1,1
"filter.hmimpl.HMFilter.filter(String[],String)",3,4,6
"filter.hmimpl.HMFilterTest.getIFilter()",1,1,1
"find.FindFile.find(Collection,String)",1,1,1
"find.FindFile.find(File,String)",1,1,1
"find.Main.getOptions()",1,1,1
"find.Main.main(String[])",1,3,3
"fr.jayasoft.ivy.AbstractArtifact.AbstractArtifact()",1,1,1
"fr.jayasoft.ivy.AbstractArtifact.equals(Object)",2,7,8
"fr.jayasoft.ivy.AbstractArtifact.getAttribute(String)",1,1,1
"fr.jayasoft.ivy.AbstractArtifact.getAttributes()",1,1,1
"fr.jayasoft.ivy.AbstractArtifact.getExtraAttribute(String)",1,1,1
"fr.jayasoft.ivy.AbstractArtifact.getExtraAttributes()",1,1,1
"fr.jayasoft.ivy.AbstractArtifact.getStandardAttribute(String)",1,1,1
"fr.jayasoft.ivy.AbstractArtifact.getStandardAttributes()",1,1,1
"fr.jayasoft.ivy.AbstractArtifact.hashCode()",1,2,2
"fr.jayasoft.ivy.AbstractArtifact.toString()",1,1,1
"fr.jayasoft.ivy.ArtifactId.ArtifactId(ModuleId,String,String,String)",1,1,1
"fr.jayasoft.ivy.ArtifactId.equals(Object)",2,4,5
"fr.jayasoft.ivy.ArtifactId.getExt()",1,1,1
"fr.jayasoft.ivy.ArtifactId.getModuleId()",1,1,1
"fr.jayasoft.ivy.ArtifactId.getName()",1,1,1
"fr.jayasoft.ivy.ArtifactId.getType()",1,1,1
"fr.jayasoft.ivy.ArtifactId.hashCode()",1,1,1
"fr.jayasoft.ivy.ArtifactId.toString()",1,1,1
"fr.jayasoft.ivy.ArtifactOrigin.ArtifactOrigin(boolean,String)",1,1,1
"fr.jayasoft.ivy.ArtifactOrigin.getLocation()",1,1,1
"fr.jayasoft.ivy.ArtifactOrigin.isLocal()",1,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.ArtifactRevisionId(ArtifactId,ModuleRevisionId)",1,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.ArtifactRevisionId(ArtifactId,ModuleRevisionId,Map)",1,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.equals(Object)",2,3,4
"fr.jayasoft.ivy.ArtifactRevisionId.getArtifactId()",1,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.getExt()",1,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.getModuleRevisionId()",1,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.getName()",1,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.getRevision()",1,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.getType()",1,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.hashCode()",1,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.newInstance(ModuleRevisionId,String,String,String)",1,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.newInstance(ModuleRevisionId,String,String,String,Map)",1,1,1
"fr.jayasoft.ivy.ArtifactRevisionId.toString()",1,1,1
"fr.jayasoft.ivy.Configuration.Configuration(String)",1,1,1
"fr.jayasoft.ivy.Configuration.Configuration(String,Visibility,String,String[])",1,1,1
"fr.jayasoft.ivy.Configuration.Configuration(String,Visibility,String,String[],boolean)",3,3,5
"fr.jayasoft.ivy.Configuration.Visibility.Visibility(String)",1,1,1
"fr.jayasoft.ivy.Configuration.Visibility.getVisibility(String)",3,2,3
"fr.jayasoft.ivy.Configuration.Visibility.toString()",1,1,1
"fr.jayasoft.ivy.Configuration.addOther(Configuration[],Visibility,Set)",1,5,5
"fr.jayasoft.ivy.Configuration.equals(Object)",2,1,2
"fr.jayasoft.ivy.Configuration.getDescription()",1,1,1
"fr.jayasoft.ivy.Configuration.getExtends()",1,1,1
"fr.jayasoft.ivy.Configuration.getName()",1,1,1
"fr.jayasoft.ivy.Configuration.getVisibility()",1,1,1
"fr.jayasoft.ivy.Configuration.hashCode()",1,1,1
"fr.jayasoft.ivy.Configuration.isTransitive()",1,1,1
"fr.jayasoft.ivy.Configuration.replaceWildcards(ModuleDescriptor)",2,5,6
"fr.jayasoft.ivy.Configuration.toString()",1,1,1
"fr.jayasoft.ivy.DefaultArtifact.DefaultArtifact(ModuleRevisionId,Date,String,String,String)",1,1,1
"fr.jayasoft.ivy.DefaultArtifact.DefaultArtifact(ModuleRevisionId,Date,String,String,String,Map)",1,1,1
"fr.jayasoft.ivy.DefaultArtifact.DefaultArtifact(ModuleRevisionId,Date,String,String,String,URL,Map)",5,1,6
"fr.jayasoft.ivy.DefaultArtifact.cloneWithAnotherMrid(Artifact,ModuleRevisionId)",1,1,1
"fr.jayasoft.ivy.DefaultArtifact.cloneWithAnotherType(Artifact,String)",1,1,1
"fr.jayasoft.ivy.DefaultArtifact.cloneWithAnotherTypeAndExt(Artifact,String,String)",1,1,1
"fr.jayasoft.ivy.DefaultArtifact.getConfigurations()",1,1,1
"fr.jayasoft.ivy.DefaultArtifact.getExt()",1,1,1
"fr.jayasoft.ivy.DefaultArtifact.getId()",1,1,1
"fr.jayasoft.ivy.DefaultArtifact.getModuleRevisionId()",1,1,1
"fr.jayasoft.ivy.DefaultArtifact.getName()",1,1,1
"fr.jayasoft.ivy.DefaultArtifact.getPublicationDate()",1,1,1
"fr.jayasoft.ivy.DefaultArtifact.getType()",1,1,1
"fr.jayasoft.ivy.DefaultArtifact.getUrl()",1,1,1
"fr.jayasoft.ivy.DefaultArtifact.newIvyArtifact(ModuleRevisionId,Date)",1,1,1
"fr.jayasoft.ivy.DefaultArtifact.newPomArtifact(ModuleRevisionId,Date)",1,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.DefaultDependencyArtifactDescriptor(DefaultDependencyDescriptor,ArtifactId,boolean,PatternMatcher)",2,1,2
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.DefaultDependencyArtifactDescriptor(DefaultDependencyDescriptor,String,String,String,URL,boolean,PatternMatcher)",4,1,4
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.DefaultDependencyArtifactDescriptor(DefaultDependencyDescriptor,String,String,String,boolean,PatternMatcher)",1,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.addConfiguration(String)",1,2,2
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.equals(Object)",2,1,2
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.getConfigurations()",1,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.getDependency()",1,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.getExt()",1,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.getId()",1,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.getMatcher()",1,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.getName()",1,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.getType()",1,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.getUrl()",1,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.hashCode()",1,1,1
"fr.jayasoft.ivy.DefaultDependencyArtifactDescriptor.toString()",1,2,3
"fr.jayasoft.ivy.DefaultDependencyDescriptor.DefaultDependencyDescriptor()",1,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.DefaultDependencyDescriptor(DependencyDescriptor,String)",1,2,2
"fr.jayasoft.ivy.DefaultDependencyDescriptor.DefaultDependencyDescriptor(ModuleDescriptor,ModuleRevisionId,boolean,boolean,boolean)",1,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.DefaultDependencyDescriptor(ModuleRevisionId,boolean)",1,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.DefaultDependencyDescriptor(ModuleRevisionId,boolean,boolean)",1,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.addDependencyArtifactExcludes(String,DependencyArtifactDescriptor)",1,1,1
"fr.jayasoft.ivy.DefaultDependencyDescriptor.addDependencyArtifactIncludes(String,DependencyArtifactDescriptor)",1,1,1
