Package,C(rec),LOC(rec),METH(rec)
"",316,28.625,2.745
"fr",316,28.625,2.745
"fr.jayasoft",316,28.625,2.745
"fr.jayasoft.ivy",316,28.625,2.745
"fr.jayasoft.ivy.ant",37,4.178,500
"fr.jayasoft.ivy.circular",7,113,19
"fr.jayasoft.ivy.conf",n/a,51,n/a
"fr.jayasoft.ivy.conflict",8,326,37
"fr.jayasoft.ivy.event",19,563,57
"fr.jayasoft.ivy.event.download",5,139,13
"fr.jayasoft.ivy.event.resolve",6,110,11
"fr.jayasoft.ivy.extendable",4,179,24
"fr.jayasoft.ivy.external",2,237,13
"fr.jayasoft.ivy.external.m2",2,237,13
"fr.jayasoft.ivy.filter",7,142,18
"fr.jayasoft.ivy.latest",9,290,28
"fr.jayasoft.ivy.matcher",14,301,51
"fr.jayasoft.ivy.namespace",9,355,49
"fr.jayasoft.ivy.parser",4,367,39
"fr.jayasoft.ivy.report",8,1.715,77
"fr.jayasoft.ivy.repository",42,4.068,344
"fr.jayasoft.ivy.repository.file",2,129,21
"fr.jayasoft.ivy.repository.sftp",3,270,24
"fr.jayasoft.ivy.repository.ssh",10,1.474,102
"fr.jayasoft.ivy.repository.url",2,156,15
"fr.jayasoft.ivy.repository.vfs",9,709,43
"fr.jayasoft.ivy.repository.vsftp",7,622,52
"fr.jayasoft.ivy.resolver",33,3.244,331
"fr.jayasoft.ivy.status",2,150,19
"fr.jayasoft.ivy.tools",5,166,13
"fr.jayasoft.ivy.tools.analyser",5,166,13
"fr.jayasoft.ivy.url",15,833,90
"fr.jayasoft.ivy.util",25,2.001,193
"fr.jayasoft.ivy.version",12,541,64
"fr.jayasoft.ivy.xml",11,1.710,62

