Package,v(G)avg,v(G)tot
"example.chained-resolvers.chainedresolvers-project.src.example","1,00",1
"example.configurations.jdbc-example.src.example","5,00",5
"example.configurations.multi-projects.filter-framework.src.filter","3,00",3
"example.configurations.multi-projects.filter-framework.src.filter.ccimpl","4,00",4
"example.configurations.multi-projects.filter-framework.src.filter.hmimpl","6,00",6
"example.configurations.multi-projects.filter-framework.test.filter","1,60",8
"example.configurations.multi-projects.filter-framework.test.filter.ccimpl","1,00",1
"example.configurations.multi-projects.filter-framework.test.filter.hmimpl","1,00",1
"example.configurations.multi-projects.myapp.src.myapp","1,00",1
"example.dependence.depending.src.depending","2,00",2
"example.dependence.standalone.src.standalone","1,67",5
"example.dual.project.src.example","1,00",1
"example.hello-ivy.src.example","1,00",1
"example.ivyrep.src.example","1,00",1
"example.multi-project.projects.console.src.console","2,67",8
"example.multi-project.projects.find.src.find","1,50",6
"example.multi-project.projects.list.src.list","2,00",8
"example.multi-project.projects.size.src.size","1,50",3
"example.multi-project.projects.sizewhere.src.sizewhere","1,33",4
"example.multi-project.projects.version.src.version","2,00",2
"fr.jayasoft.ivy","2,20",1.373
"fr.jayasoft.ivy.ant","1,74",858
"fr.jayasoft.ivy.circular","1,12",19
"fr.jayasoft.ivy.conflict","1,65",61
"fr.jayasoft.ivy.event","1,66",48
"fr.jayasoft.ivy.event.download","1,08",14
"fr.jayasoft.ivy.event.resolve","1,09",12
"fr.jayasoft.ivy.extendable","1,44",26
"fr.jayasoft.ivy.external.m2","4,92",64
"fr.jayasoft.ivy.filter","1,53",26
"fr.jayasoft.ivy.latest","2,46",69
"fr.jayasoft.ivy.matcher","1,43",67
"fr.jayasoft.ivy.namespace","1,68",79
"fr.jayasoft.ivy.parser","2,23",78
"fr.jayasoft.ivy.report","2,33",175
"fr.jayasoft.ivy.repository","1,43",97
"fr.jayasoft.ivy.repository.file","1,33",28
"fr.jayasoft.ivy.repository.sftp","2,12",51
"fr.jayasoft.ivy.repository.ssh","2,74",274
"fr.jayasoft.ivy.repository.url","2,07",31
"fr.jayasoft.ivy.repository.vfs","1,88",81
"fr.jayasoft.ivy.repository.vsftp","2,98",140
"fr.jayasoft.ivy.resolver","2,15",657
"fr.jayasoft.ivy.status","1,74",33
"fr.jayasoft.ivy.tools.analyser","2,17",26
"fr.jayasoft.ivy.url","1,74",136
"fr.jayasoft.ivy.util","2,24",416
"fr.jayasoft.ivy.version","1,63",96
"fr.jayasoft.ivy.xml","7,53",324

